Date,MASTEK.NS
2015-08-21,154.1121063232422
2015-08-24,136.17384338378906
2015-08-25,137.26498413085938
2015-08-26,138.66162109375
2015-08-27,144.46646118164062
2015-08-28,143.85543823242188
2015-08-31,140.8875274658203
2015-09-01,147.7835235595703
2015-09-02,145.29574584960938
2015-09-03,148.96194458007812
2015-09-04,142.24053955078125
2015-09-07,141.19309997558594
2015-09-08,138.6179656982422
2015-09-09,141.19309997558594
2015-09-10,140.84393310546875
2015-09-11,143.72445678710938
2015-09-14,143.98635864257812
2015-09-15,139.88369750976562
2015-09-16,140.2764892578125
2015-09-18,141.1057586669922
2015-09-21,147.2161407470703
2015-09-22,142.8079376220703
2015-09-23,143.15708923339844
2015-09-24,142.02232360839844
2015-09-28,141.89138793945312
2015-09-29,144.20462036132812
2015-09-30,143.9427032470703
2015-10-01,144.02999877929688
2015-10-05,148.96194458007812
2015-10-06,148.04539489746094
2015-10-07,149.1365203857422
2015-10-08,148.96194458007812
2015-10-09,148.96194458007812
2015-10-12,150.27133178710938
2015-10-13,151.31884765625
2015-10-14,154.37399291992188
2015-10-15,126.52820587158203
2015-10-16,132.59490966796875
2015-10-19,133.293212890625
2015-10-20,131.85293579101562
2015-10-21,130.58724975585938
2015-10-23,130.45628356933594
2015-10-26,129.1469268798828
2015-10-27,133.9915313720703
2015-10-28,133.55506896972656
2015-10-29,132.98773193359375
2015-10-30,131.5474090576172
2015-11-02,129.49606323242188
2015-11-03,129.97618103027344
2015-11-04,128.36129760742188
2015-11-05,126.35362243652344
2015-11-06,124.25862884521484
2015-11-09,124.60778045654297
2015-11-10,128.97235107421875
2015-11-13,150.05313110351562
2015-11-16,142.02232360839844
2015-11-17,138.09425354003906
2015-11-18,141.76046752929688
2015-11-19,140.49473571777344
2015-11-20,141.71681213378906
2015-11-23,148.96194458007812
2015-11-24,168.60240173339844
2015-11-26,169.4317169189453
2015-11-27,171.39573669433594
2015-11-30,175.89117431640625
2015-12-01,180.8667755126953
2015-12-02,174.53819274902344
2015-12-03,172.70509338378906
2015-12-04,164.32516479492188
2015-12-07,164.4124755859375
2015-12-08,154.548583984375
2015-12-09,142.8516082763672
2015-12-10,150.22767639160156
2015-12-11,151.7116241455078
2015-12-14,151.5806427001953
2015-12-15,160.92083740234375
2015-12-16,159.61146545410156
2015-12-17,163.0158233642578
2015-12-18,160.44070434570312
2015-12-21,162.57937622070312
2015-12-22,164.10693359375
2015-12-23,165.9836883544922
2015-12-24,166.55105590820312
2015-12-28,166.7256622314453
2015-12-29,162.09922790527344
2015-12-30,162.27381896972656
2015-12-31,163.58319091796875
