Date,GRANULES.NS
2015-08-21,122.1040267944336
2015-08-24,104.93018341064453
2015-08-25,105.40200805664062
2015-08-26,108.13848876953125
2015-08-27,117.38594055175781
2015-08-28,115.02689361572266
2015-08-31,116.9613265991211
2015-09-01,115.02689361572266
2015-09-02,113.13969421386719
2015-09-03,114.41357421875
2015-09-04,110.16725158691406
2015-09-07,104.3640365600586
2015-09-08,105.59072875976562
2015-09-09,107.5251693725586
2015-09-10,110.02574157714844
2015-09-11,109.9313735961914
2015-09-14,110.63908386230469
2015-09-15,108.5159683227539
2015-09-16,108.89338684082031
2015-09-18,114.03609466552734
2015-09-21,123.89689636230469
2015-09-22,120.54706573486328
2015-09-23,129.79449462890625
2015-09-24,133.47467041015625
2015-09-28,129.93603515625
2015-09-29,130.69094848632812
2015-09-30,132.86129760742188
2015-10-01,133.09716796875
2015-10-05,135.26747131347656
2015-10-06,140.88201904296875
2015-10-07,145.08114624023438
2015-10-08,146.3078155517578
2015-10-09,153.29055786132812
2015-10-12,148.57249450683594
2015-10-13,146.4965362548828
2015-10-14,147.20423889160156
2015-10-15,144.56207275390625
2015-10-16,143.8072509765625
2015-10-19,145.64730834960938
2015-10-20,144.09027099609375
2015-10-21,141.49534606933594
2015-10-23,138.57015991210938
2015-10-26,136.73007202148438
2015-10-27,142.29745483398438
2015-10-28,144.70372009277344
2015-10-29,142.91075134277344
2015-10-30,139.41941833496094
2015-11-02,139.89122009277344
2015-11-03,140.97637939453125
2015-11-04,138.66453552246094
2015-11-05,135.97518920898438
2015-11-06,133.61614990234375
2015-11-09,140.08680725097656
2015-11-10,136.44996643066406
2015-11-13,143.0623321533203
2015-11-16,140.55911254882812
2015-11-17,138.2448272705078
2015-11-18,137.4890899658203
2015-11-19,141.55091857910156
2015-11-20,141.267578125
2015-11-23,148.9661865234375
2015-11-24,150.71372985839844
2015-11-26,150.2886199951172
2015-11-27,146.46298217773438
2015-11-30,151.1388397216797
2015-12-01,152.93359375
2015-12-02,151.75282287597656
2015-12-03,148.82452392578125
2015-12-04,145.32943725585938
2015-12-07,149.29678344726562
2015-12-08,145.32943725585938
2015-12-09,138.48095703125
2015-12-10,141.83432006835938
2015-12-11,140.3229522705078
2015-12-14,139.37835693359375
2015-12-15,143.4402313232422
2015-12-16,142.68447875976562
2015-12-17,145.09324645996094
2015-12-18,145.61282348632812
2015-12-21,148.9189453125
2015-12-22,143.3929901123047
2015-12-23,140.60633850097656
2015-12-24,140.18128967285156
2015-12-28,142.16493225097656
2015-12-29,141.12588500976562
2015-12-30,141.5037384033203
2015-12-31,140.55911254882812
2016-01-01,142.16493225097656
2016-01-04,138.52816772460938
2016-01-05,139.7561798095703
2016-01-06,136.02491760253906
2016-01-07,131.44354248046875
2016-01-08,131.8686065673828
2016-01-11,128.2318115234375
2016-01-12,120.34429931640625
2016-01-13,118.17167663574219
2016-01-14,113.35409545898438
2016-01-15,103.24671936035156
2016-01-18,99.46824645996094
2016-01-19,109.10333251953125
2016-01-20,110.61471557617188
2016-01-21,113.44857788085938
2016-01-22,113.2596435546875
2016-01-25,115.66844177246094
2016-01-27,113.54303741455078
2016-01-28,107.11967468261719
2016-01-29,109.95348358154297
2016-02-01,107.35579681396484
2016-02-02,107.92254638671875
2016-02-03,106.12779998779297
