Date,AUROPHARMA.NS
2015-08-21,762.1468505859375
2015-08-24,676.2636108398438
2015-08-25,698.0542602539062
2015-08-26,686.1168212890625
2015-08-27,706.1544799804688
2015-08-28,716.6236572265625
2015-08-31,713.4022216796875
2015-09-01,698.9542846679688
2015-09-02,690.1906127929688
2015-09-03,696.2540893554688
2015-09-04,685.0271606445312
2015-09-07,668.4474487304688
2015-09-08,688.4852294921875
2015-09-09,676.9266967773438
2015-09-10,672.8056640625
2015-09-11,670.2477416992188
2015-09-14,675.505615234375
2015-09-15,662.052490234375
2015-09-16,656.7468872070312
2015-09-18,670.1055297851562
2015-09-21,674.179443359375
2015-09-22,677.921630859375
2015-09-23,694.0276489257812
2015-09-24,702.9332275390625
2015-09-28,707.5283203125
2015-09-29,716.1497802734375
2015-09-30,728.7504272460938
2015-10-01,728.5610961914062
2015-10-05,725.2449340820312
2015-10-06,715.4391479492188
2015-10-07,705.4439697265625
2015-10-08,711.0812377929688
2015-10-09,746.087890625
2015-10-12,745.6617431640625
2015-10-13,739.8824462890625
2015-10-14,763.5678100585938
2015-10-15,750.1619262695312
2015-10-16,760.4886474609375
2015-10-19,762.9048461914062
2015-10-20,770.4838256835938
2015-10-21,769.678466796875
2015-10-23,783.5109252929688
2015-10-26,788.9583740234375
2015-10-27,801.6064453125
2015-10-28,808.7119750976562
2015-10-29,800.232666015625
2015-10-30,791.9902954101562
2015-11-02,802.0802612304688
2015-11-03,796.2536010742188
2015-11-04,776.7367553710938
2015-11-05,775.9315795898438
2015-11-06,771.2891845703125
2015-11-09,811.601806640625
2015-11-10,787.5847778320312
2015-11-13,785.5477294921875
2015-11-16,777.1157836914062
2015-11-17,787.2532348632812
2015-11-18,772.8524780273438
2015-11-19,774.5589599609375
2015-11-20,788.6859741210938
2015-11-23,803.4764404296875
2015-11-24,791.9095458984375
2015-11-26,781.3379516601562
2015-11-27,774.6064453125
2015-11-30,767.7327880859375
2015-12-01,783.708251953125
2015-12-02,781.3379516601562
2015-12-03,778.161865234375
2015-12-04,765.030517578125
2015-12-07,760.0055541992188
2015-12-08,756.4977416992188
2015-12-09,745.9260864257812
2015-12-10,762.7078247070312
2015-12-11,767.1163940429688
2015-12-14,781.0062866210938
2015-12-15,780.3900146484375
2015-12-16,777.9249267578125
2015-12-17,789.4916381835938
2015-12-18,787.7377319335938
2015-12-21,792.5258178710938
2015-12-22,796.98193359375
2015-12-23,824.0031127929688
2015-12-24,826.2784423828125
2015-12-28,826.5155639648438
2015-12-29,841.3533935546875
2015-12-30,825.0459594726562
2015-12-31,830.49755859375
2016-01-01,835.6648559570312
2016-01-04,800.4898681640625
2016-01-05,818.6937255859375
2016-01-06,822.20166015625
2016-01-07,797.8351440429688
2016-01-08,800.8217163085938
