Date,COCE5.SA
2015-08-24,24.562265396118164
2015-08-25,24.81275749206543
2015-08-26,25.404207229614258
2015-08-27,26.43400764465332
2015-08-28,25.98868751525879
2015-08-31,26.44096565246582
2015-09-01,25.60599136352539
2015-09-02,25.738189697265625
2015-09-03,26.058269500732422
2015-09-04,26.044347763061523
2015-09-08,25.612945556640625
2015-09-09,25.745149612426758
2015-09-10,25.536409378051758
2015-09-11,25.049341201782227
2015-09-14,25.014545440673828
2015-09-15,25.494659423828125
2015-09-16,25.494659423828125
2015-09-17,25.22329330444336
2015-09-18,24.631847381591797
2015-09-21,24.562265396118164
2015-09-22,24.666641235351562
2015-09-23,24.005615234375
2015-09-24,23.998659133911133
2015-09-25,24.123899459838867
2015-09-28,23.657705307006836
2015-09-29,23.275009155273438
2015-09-30,24.137821197509766
2015-10-01,23.7968692779541
2015-10-02,24.0751953125
2015-10-05,24.21435546875
2015-10-06,24.62489128112793
2015-10-07,26.44096565246582
2015-10-08,26.580129623413086
2015-10-09,26.77495002746582
2015-10-13,26.719289779663086
2015-10-14,26.44096565246582
2015-10-15,26.78191375732422
2015-10-16,26.621875762939453
2015-10-19,26.44096565246582
2015-10-20,26.78887367248535
2015-10-21,26.67058753967285
2015-10-22,26.77495002746582
2015-10-23,27.136783599853516
2015-10-26,27.129823684692383
2015-10-27,27.49164390563965
2015-10-28,26.969783782958984
2015-10-29,26.747119903564453
2015-10-30,27.484689712524414
2015-11-03,27.108945846557617
2015-11-04,26.92803955078125
2015-11-05,26.962827682495117
2015-11-06,26.948911666870117
2015-11-09,26.78887367248535
2015-11-10,27.32465171813965
2015-11-11,26.225261688232422
2015-11-12,26.44096565246582
2015-11-13,26.232223510742188
2015-11-16,26.093061447143555
2015-11-17,25.898235321044922
2015-11-18,25.745149612426758
2015-11-19,26.44096565246582
2015-11-23,26.621875762939453
2015-11-24,26.44096565246582
2015-11-25,26.427053451538086
2015-11-26,26.61492156982422
2015-11-27,26.183515548706055
2015-11-30,26.023479461669922
2015-12-01,25.99564552307129
2015-12-02,26.016521453857422
2015-12-03,25.91214942932129
2015-12-04,25.049341201782227
2015-12-07,25.153715133666992
2015-12-08,25.38332748413086
2015-12-09,26.399219512939453
2015-12-10,25.64773941040039
2015-12-11,25.939979553222656
2015-12-14,25.459871292114258
2015-12-15,25.146751403808594
2015-12-16,25.60599136352539
2015-12-17,25.258079528808594
2015-12-18,24.35352325439453
2015-12-21,24.35352325439453
2015-12-22,24.339603424072266
2015-12-23,24.318735122680664
2015-12-28,24.339603424072266
2015-12-29,24.777969360351562
2015-12-30,25.049341201782227
2016-01-04,24.764049530029297
2016-01-05,24.5065975189209
2016-01-06,24.62489128112793
2016-01-07,23.936037063598633
