Date,SCHW
2015-08-03,30.665515899658203
2015-08-04,31.116226196289062
2015-08-05,31.3198184967041
2015-08-06,31.07194709777832
2015-08-07,31.009986877441406
2015-08-10,31.35523223876953
2015-08-11,30.753273010253906
2015-08-12,29.96539878845215
2015-08-13,30.151304244995117
2015-08-14,30.39031410217285
2015-08-17,30.13359832763672
2015-08-18,30.027374267578125
2015-08-19,29.301469802856445
2015-08-20,28.495899200439453
2015-08-21,27.380496978759766
2015-08-24,26.15886688232422
2015-08-25,25.494935989379883
2015-08-26,26.327064514160156
2015-08-27,26.87590980529785
2015-08-28,27.176897048950195
2015-08-31,26.89361000061035
2015-09-01,25.75165367126465
2015-09-02,26.026084899902344
2015-09-03,26.344764709472656
2015-09-04,25.760501861572266
2015-09-08,27.530988693237305
2015-09-09,27.07066535949707
2015-09-10,27.088363647460938
2015-09-11,26.990991592407227
2015-09-14,26.76082992553711
2015-09-15,27.283124923706055
2015-09-16,27.539844512939453
2015-09-17,26.362476348876953
2015-09-18,25.185096740722656
2015-09-21,25.716245651245117
2015-09-22,25.07887077331543
2015-09-23,25.211660385131836
2015-09-24,24.680509567260742
2015-09-25,25.15854263305664
2015-09-28,24.149375915527344
2015-09-29,24.41494369506836
2015-09-30,25.28247833251953
2015-10-01,25.27362632751465
2015-10-02,24.432649612426758
2015-10-05,25.11428451538086
2015-10-06,24.485763549804688
2015-10-07,24.901819229125977
2015-10-08,25.07887077331543
2015-10-09,24.981496810913086
2015-10-12,25.131988525390625
2015-10-13,24.86641502380371
2015-10-14,24.59198760986328
2015-10-15,25.317882537841797
2015-10-16,25.388713836669922
2015-10-19,25.229360580444336
2015-10-20,25.981821060180664
2015-10-21,25.548046112060547
2015-10-22,26.07034683227539
2015-10-23,26.937875747680664
2015-10-26,26.955585479736328
2015-10-27,26.424434661865234
2015-10-28,27.38934898376465
2015-10-29,27.44247055053711
2015-10-30,27.017547607421875
2015-11-02,27.77000617980957
2015-11-03,27.876230239868164
2015-11-04,27.885108947753906
2015-11-05,28.000408172607422
2015-11-06,29.721059799194336
2015-11-09,29.703310012817383
2015-11-10,29.561403274536133
2015-11-11,29.738784790039062
2015-11-12,29.082460403442383
2015-11-13,28.656736373901367
2015-11-16,28.905073165893555
2015-11-17,29.10019874572754
2015-11-18,29.623491287231445
2015-11-19,29.30419158935547
2015-11-20,29.570268630981445
2015-11-23,29.525922775268555
2015-11-24,29.712175369262695
2015-11-25,29.880695343017578
2015-11-27,29.925039291381836
2015-11-30,29.898433685302734
2015-12-01,30.173383712768555
2015-12-02,29.792007446289062
2015-12-03,29.2509765625
2015-12-04,30.60797691345215
2015-12-07,30.22660255432129
2015-12-08,30.031475067138672
2015-12-09,29.242116928100586
2015-12-10,29.499319076538086
2015-12-11,28.177791595458984
2015-12-14,28.603515625
2015-12-15,29.428363800048828
2015-12-16,29.98712921142578
2015-12-17,29.454975128173828
2015-12-18,28.301958084106445
2015-12-21,28.568037033081055
2015-12-22,29.180023193359375
2015-12-23,29.321935653686523
2015-12-24,29.313066482543945
2015-12-28,29.36627769470215
2015-12-29,29.76539421081543
2015-12-30,29.490455627441406
2015-12-31,29.20663070678711
2016-01-04,28.364046096801758
2016-01-05,28.275352478027344
2016-01-06,27.308597564697266
2016-01-07,25.880638122558594
2016-01-08,25.720989227294922
2016-01-11,25.490388870239258
2016-01-12,25.93385124206543
2016-01-13,24.57684898376465
2016-01-14,24.940494537353516
2016-01-15,23.96487045288086
2016-01-19,23.512535095214844
2016-01-20,22.412738800048828
2016-01-21,21.62337303161621
2016-01-22,22.909425735473633
2016-01-25,22.32404899597168
2016-01-26,22.572391510009766
2016-01-27,22.395002365112305
2016-01-28,22.013626098632812
2016-01-29,22.643341064453125
2016-02-01,22.42160987854004
2016-02-02,21.3839054107666
2016-02-03,21.62337303161621
2016-02-04,22.14666748046875
2016-02-05,21.605634689331055
2016-02-08,20.940433502197266
2016-02-09,20.700965881347656
2016-02-10,20.185218811035156
2016-02-11,19.758390426635742
2016-02-12,20.29192543029785
2016-02-16,20.967727661132812
2016-02-17,21.768024444580078
2016-02-18,21.483476638793945
2016-02-19,21.732454299926758
2016-02-22,21.82137680053711
2016-02-23,21.456796646118164
2016-02-24,21.056655883789062
2016-02-25,21.421228408813477
2016-02-26,22.63945198059082
2016-02-29,22.274871826171875
2016-03-01,23.466428756713867
2016-03-02,23.777650833129883
2016-03-03,24.106658935546875
2016-03-04,24.142236709594727
2016-03-07,24.480133056640625
2016-03-08,23.715410232543945
2016-03-09,23.60869789123535
2016-03-10,23.68873405456543
2016-03-11,25.075910568237305
2016-03-14,24.755788803100586
2016-03-15,24.6668701171875
2016-03-16,23.937713623046875
2016-03-17,24.604623794555664
2016-03-18,25.227073669433594
2016-03-21,25.147045135498047
2016-03-22,25.26264762878418
2016-03-23,24.924747467041016
2016-03-24,24.978097915649414
2016-03-28,24.978097915649414
2016-03-29,24.91585350036621
2016-03-30,25.04922866821289
2016-03-31,24.91585350036621
2016-04-01,25.23597526550293
2016-04-04,24.88916778564453
2016-04-05,24.355640411376953
2016-04-06,24.746896743774414
2016-04-07,23.466428756713867
2016-04-08,23.662057876586914
2016-04-11,24.044418334960938
2016-04-12,24.40899658203125
2016-04-13,25.449382781982422
2016-04-14,25.55608367919922
2016-04-15,25.369354248046875
2016-04-18,25.65390396118164
2016-04-19,25.582765579223633
2016-04-20,25.867311477661133
2016-04-21,25.90287971496582
2016-04-22,26.427520751953125
2016-04-25,26.34749412536621
2016-04-26,26.55200958251953
2016-04-27,26.587583541870117
