Date,JUP.L
2015-08-24,408.00689697265625
2015-08-25,433.26507568359375
2015-08-26,424.3153076171875
2015-08-27,436.7454528808594
2015-08-28,443.8057861328125
2015-09-01,430.3811950683594
2015-09-02,425.2102355957031
2015-09-03,437.7398986816406
2015-09-04,422.92303466796875
2015-09-07,426.9007873535156
2015-09-08,435.651611328125
2015-09-09,454.0482177734375
2015-09-10,446.49072265625
2015-09-11,447.783447265625
2015-09-14,444.9990234375
2015-09-15,448.3800048828125
2015-09-16,455.04266357421875
2015-09-17,454.7443542480469
2015-09-18,447.68402099609375
2015-09-21,448.47955322265625
2015-09-22,433.3643798828125
2015-09-23,438.535400390625
2015-09-24,429.2873840332031
2015-09-25,443.5074157714844
2015-09-28,433.7622375488281
2015-09-29,422.4258728027344
2015-09-30,430.9778137207031
2015-10-01,434.1600341796875
2015-10-02,429.8840026855469
2015-10-05,434.2594299316406
2015-10-06,438.0382385253906
2015-10-07,428.5912780761719
2015-10-08,425.8069763183594
2015-10-09,424.51416015625
2015-10-12,425.8069763183594
2015-10-13,428.8896179199219
2015-10-14,417.8516540527344
2015-10-15,434.1600341796875
2015-10-16,438.83367919921875
2015-10-19,437.54095458984375
2015-10-20,441.8169250488281
2015-10-21,443.4079895019531
2015-10-22,437.54095458984375
2015-10-23,447.88287353515625
2015-10-26,448.47955322265625
2015-10-27,443.5074157714844
2015-10-28,444.4024353027344
2015-10-29,447.2862854003906
2015-10-30,448.3800048828125
2015-11-02,450.6672058105469
2015-11-03,447.485107421875
2015-11-04,447.2862854003906
2015-11-05,447.38568115234375
2015-11-06,448.9767150878906
2015-11-09,460.1141052246094
2015-11-10,456.9320068359375
2015-11-11,467.4727478027344
2015-11-12,457.03143310546875
2015-11-13,455.14202880859375
2015-11-16,455.7386779785156
2015-11-17,463.69403076171875
2015-11-18,460.8102111816406
2015-11-19,460.4125061035156
2015-11-20,456.5341796875
2015-11-23,458.42364501953125
2015-11-24,451.9599304199219
2015-11-25,460.8102111816406
2015-11-26,462.3018798828125
2015-11-27,469.7599792480469
2015-11-30,467.969970703125
2015-12-01,467.7711181640625
2015-12-02,469.859375
2015-12-03,460.8102111816406
2015-12-04,459.71636962890625
2015-12-07,461.50634765625
2015-12-08,455.14202880859375
2015-12-09,456.0370178222656
2015-12-10,450.1700134277344
2015-12-11,439.03253173828125
2015-12-14,434.65716552734375
2015-12-15,444.10406494140625
2015-12-16,443.2091369628906
2015-12-17,457.4292297363281
2015-12-18,454.9432373046875
2015-12-21,443.0102844238281
2015-12-22,439.5298156738281
2015-12-23,443.0102844238281
2015-12-24,445.7945861816406
2015-12-29,452.8549499511719
2015-12-30,451.56219482421875
2015-12-31,449.1756286621094
2016-01-04,439.2314758300781
2016-01-05,441.51861572265625
2016-01-06,435.55218505859375
2016-01-07,424.9119567871094
2016-01-08,420.3377685546875
2016-01-11,417.1555480957031
2016-01-12,435.55218505859375
2016-01-13,430.08294677734375
2016-01-14,418.1500244140625
2016-01-15,382.6495056152344
2016-01-18,387.02490234375
2016-01-19,389.1131286621094
2016-01-20,379.4673767089844
2016-01-21,393.78692626953125
2016-01-22,401.543212890625
2016-01-25,401.543212890625
2016-01-26,403.8304443359375
2016-01-27,406.1175842285156
2016-01-28,403.1344299316406
2016-01-29,413.0785217285156
2016-02-01,411.8852233886719
2016-02-02,404.9242858886719
2016-02-03,394.18463134765625
2016-02-04,397.86395263671875
2016-02-05,392.5935974121094
2016-02-08,378.07525634765625
2016-02-09,369.02606201171875
2016-02-10,384.7377624511719
2016-02-11,360.6729431152344
2016-02-12,366.3411560058594
2016-02-15,374.495361328125
