Date,BR
2015-08-03,45.59517288208008
2015-08-04,45.62874984741211
2015-08-05,45.64556884765625
2015-08-06,45.4272346496582
2015-08-07,47.06461715698242
2015-08-10,47.97149658203125
2015-08-11,47.232566833496094
2015-08-12,46.87148666381836
2015-08-13,47.173797607421875
2015-08-14,47.27455520629883
2015-08-17,47.63561248779297
2015-08-18,47.28293991088867
2015-08-19,46.82111358642578
2015-08-20,45.62874984741211
2015-08-21,44.40279769897461
2015-08-24,42.82419204711914
2015-08-25,42.4967041015625
2015-08-26,43.99134826660156
2015-08-27,44.78908157348633
2015-08-28,44.94860076904297
2015-08-31,44.32724380493164
2015-09-01,42.83259201049805
2015-09-02,43.45396041870117
2015-09-03,43.46235275268555
2015-09-04,42.6562614440918
2015-09-08,44.36921310424805
2015-09-09,44.14251708984375
2015-09-10,43.98296356201172
2015-09-11,44.54035186767578
2015-09-14,44.27010726928711
2015-09-15,44.650146484375
2015-09-16,46.313865661621094
2015-09-17,46.23784637451172
2015-09-18,45.764923095703125
2015-09-21,46.4489860534668
2015-09-22,46.516544342041016
2015-09-23,46.61790084838867
2015-09-24,46.49965286254883
2015-09-25,46.83746337890625
2015-09-28,46.119632720947266
2015-09-29,46.4489860534668
2015-09-30,46.74456024169922
2015-10-01,46.42365646362305
2015-10-02,47.994468688964844
2015-10-05,48.45051956176758
2015-10-06,47.81711959838867
2015-10-07,47.690433502197266
2015-10-08,48.180259704589844
2015-10-09,48.41672134399414
2015-10-12,48.560302734375
2015-10-13,48.163368225097656
2015-10-14,47.71577072143555
2015-10-15,48.37449645996094
2015-10-16,48.95722579956055
2015-10-19,49.37950134277344
2015-10-20,49.261253356933594
2015-10-21,48.86431884765625
2015-10-22,49.89464569091797
2015-10-23,50.384483337402344
2015-10-26,50.2578010559082
2015-10-27,49.92844009399414
2015-10-28,50.5871696472168
2015-10-29,50.46049118041992
2015-10-30,50.3169059753418
2015-11-02,50.36759567260742
2015-11-03,50.08045196533203
2015-11-04,49.76798629760742
2015-11-05,48.41672134399414
2015-11-06,48.28160858154297
2015-11-09,48.08734893798828
2015-11-10,48.15492630004883
2015-11-11,48.08734893798828
2015-11-12,47.605987548828125
2015-11-13,46.22096252441406
2015-11-16,46.58411407470703
2015-11-17,46.3983154296875
2015-11-18,46.55876159667969
2015-11-19,46.803672790527344
2015-11-20,47.16682815551758
2015-11-23,46.364524841308594
2015-11-24,46.516544342041016
2015-11-25,46.364524841308594
2015-11-27,46.53343963623047
2015-11-30,46.43208694458008
2015-12-01,46.62632751464844
2015-12-02,46.153411865234375
2015-12-03,45.63823318481445
2015-12-04,46.40675735473633
2015-12-07,46.153411865234375
2015-12-08,45.731136322021484
2015-12-09,44.39678955078125
2015-12-10,44.89790725708008
2015-12-11,44.73653793334961
2015-12-14,45.16970443725586
2015-12-15,45.5774040222168
2015-12-16,46.23991775512695
2015-12-17,45.75577926635742
2015-12-18,45.483978271484375
2015-12-21,45.74728775024414
2015-12-22,46.01909255981445
2015-12-23,46.40131378173828
2015-12-24,46.375823974609375
2015-12-28,46.50322723388672
2015-12-29,46.579673767089844
2015-12-30,46.324859619140625
2015-12-31,45.636863708496094
2016-01-04,44.49871063232422
2016-01-05,44.95736312866211
2016-01-06,44.6091423034668
2016-01-07,43.17369079589844
2016-01-08,42.876399993896484
2016-01-11,43.037776947021484
2016-01-12,43.54740524291992
2016-01-13,42.16292190551758
2016-01-14,43.0887451171875
2016-01-15,42.816951751708984
2016-01-19,43.15670394897461
2016-01-20,42.67255401611328
2016-01-21,42.58761978149414
2016-01-22,44.04005432128906
2016-01-25,43.768245697021484
2016-01-26,44.243892669677734
2016-01-27,44.3458251953125
2016-01-28,44.481712341308594
2016-01-29,45.49246597290039
2016-02-01,45.74728775024414
2016-02-02,44.626121520996094
2016-02-03,44.999839782714844
2016-02-04,44.78748321533203
2016-02-05,43.73426818847656
2016-02-08,44.12498474121094
2016-02-09,44.35431671142578
2016-02-10,45.46698760986328
2016-02-11,45.3565788269043
2016-02-12,46.16347885131836
2016-02-16,46.78352355957031
2016-02-17,47.08079147338867
2016-02-18,47.1572380065918
2016-02-19,47.35260772705078
2016-02-22,47.683860778808594
2016-02-23,48.006629943847656
2016-02-24,47.32711410522461
2016-02-25,48.0915641784668
2016-02-26,48.0490837097168
2016-02-29,47.67536163330078
2016-03-01,48.88148498535156
2016-03-02,48.771053314208984
2016-03-03,48.84749221801758
2016-03-04,48.83901596069336
2016-03-07,48.66062927246094
2016-03-08,48.006629943847656
2016-03-09,48.15951919555664
2016-03-10,47.64717102050781
2016-03-11,47.988731384277344
2016-03-14,47.99726486206055
2016-03-15,47.94602584838867
2016-03-16,48.313209533691406
2016-03-17,48.99632263183594
2016-03-18,49.50864028930664
2016-03-21,49.26103210449219
2016-03-22,49.18417739868164
2016-03-23,48.936553955078125
2016-03-24,48.64622116088867
2016-03-28,49.320796966552734
2016-03-29,50.396697998046875
2016-03-30,50.53331756591797
2016-03-31,50.64432907104492
2016-04-01,50.738258361816406
2016-04-04,50.362548828125
2016-04-05,50.02098846435547
2016-04-06,50.738258361816406
2016-04-07,50.055137634277344
2016-04-08,50.302764892578125
2016-04-11,50.43085479736328
2016-04-12,49.96976089477539
2016-04-13,51.002967834472656
2016-04-14,50.98588943481445
2016-04-15,50.883419036865234
2016-04-18,51.540924072265625
2016-04-19,52.1301155090332
2016-04-20,51.600685119628906
2016-04-21,51.105438232421875
2016-04-22,51.30183792114258
2016-04-25,51.156673431396484
2016-04-26,51.55800247192383
2016-04-27,51.814170837402344
