Date,NOVN.SW
2015-08-24,49.9692268371582
2015-08-25,51.67019271850586
2015-08-26,50.5548095703125
2015-08-27,52.6182746887207
2015-08-28,52.53462219238281
2015-08-31,52.8134651184082
2015-09-01,51.1403923034668
2015-09-02,51.11250305175781
2015-09-03,52.088462829589844
2015-09-04,51.55865478515625
2015-09-07,52.1163444519043
2015-09-08,52.14423751831055
2015-09-09,52.869232177734375
2015-09-10,52.339420318603516
2015-09-11,52.20000457763672
2015-09-14,51.47500228881836
2015-09-15,52.088462829589844
2015-09-16,52.8134651184082
2015-09-17,52.59038543701172
2015-09-18,52.060577392578125
2015-09-21,52.562503814697266
2015-09-22,50.164424896240234
2015-09-23,50.387508392333984
2015-09-24,49.29999923706055
2015-09-25,50.94519805908203
2015-09-28,49.523075103759766
2015-09-29,48.71442794799805
2015-09-30,49.85770034790039
2015-10-01,49.7182731628418
2015-10-02,49.746158599853516
2015-10-05,51.1403923034668
2015-10-06,50.72211837768555
2015-10-07,49.49518966674805
2015-10-08,49.55096435546875
2015-10-09,49.29999923706055
2015-10-12,49.55096435546875
2015-10-13,49.21634292602539
2015-10-14,48.770198822021484
2015-10-15,49.355770111083984
2015-10-16,50.359619140625
2015-10-19,50.41538619995117
2015-10-20,49.578853607177734
2015-10-21,48.90961837768555
2015-10-22,49.88557052612305
2015-10-23,50.41538619995117
2015-10-26,50.49904251098633
2015-10-27,49.7182731628418
2015-10-28,49.99711990356445
2015-10-29,50.359619140625
2015-10-30,50.10865020751953
2015-11-02,49.88557052612305
2015-11-03,49.80192565917969
2015-11-04,49.7182731628418
2015-11-05,50.08076858520508
2015-11-06,50.136539459228516
2015-11-09,49.467308044433594
2015-11-10,49.272117614746094
2015-11-11,49.327884674072266
2015-11-12,48.825958251953125
2015-11-13,48.547115325927734
2015-11-16,48.63076400756836
2015-11-17,49.99711990356445
2015-11-18,50.025001525878906
2015-11-19,50.19231414794922
2015-11-20,50.387508392333984
2015-11-23,49.578853607177734
2015-11-24,49.07693099975586
2015-11-25,49.24422836303711
2015-11-26,49.327884674072266
2015-11-27,49.49518966674805
2015-11-30,49.04903793334961
2015-12-01,49.10480880737305
2015-12-02,48.85384750366211
2015-12-03,47.87788772583008
2015-12-04,47.543277740478516
2015-12-07,47.82211685180664
2015-12-08,47.208656311035156
2015-12-09,46.623069763183594
2015-12-10,47.013465881347656
2015-12-11,46.59518814086914
2015-12-14,45.84230422973633
2015-12-15,47.06922912597656
