Date,ATO.PA
2015-08-24,3318.62451171875
2015-08-25,3381.26904296875
2015-08-26,3340.1904296875
2015-08-27,3468.047119140625
2015-08-28,3486.5322265625
2015-08-31,3477.80322265625
2015-09-01,3423.887939453125
2015-09-02,3382.2958984375
2015-09-03,3425.941650390625
2015-09-04,3393.079345703125
2015-09-07,3387.430419921875
2015-09-08,3431.076416015625
2015-09-09,3482.93798828125
2015-09-10,3478.830322265625
2015-09-11,3447.508056640625
2015-09-14,3441.859375
2015-09-15,3488.072509765625
2015-09-16,3563.554443359375
2015-09-17,3586.6611328125
2015-09-18,3553.798583984375
2015-09-21,3572.79736328125
2015-09-22,3486.01904296875
2015-09-23,3507.585205078125
2015-09-24,3447.508056640625
2015-09-25,3529.66455078125
2015-09-28,3487.5595703125
2015-09-29,3431.589599609375
2015-09-30,3519.395263671875
2015-10-01,3505.017578125
2015-10-02,3499.36962890625
2015-10-05,3624.658935546875
2015-10-06,3637.495849609375
2015-10-07,3594.363525390625
2015-10-08,3617.983642578125
2015-10-09,3594.876708984375
2015-10-12,3572.283447265625
2015-10-13,3594.363525390625
2015-10-14,3573.310546875
2015-10-15,3564.581298828125
2015-10-16,3596.9306640625
2015-10-19,3616.442626953125
2015-10-20,3573.310546875
2015-10-21,3619.01025390625
2015-10-22,3657.0078125
2015-10-23,3748.407470703125
2015-10-26,3744.81298828125
2015-10-27,3692.438232421875
2015-10-28,3714.517578125
2015-10-29,3740.705322265625
2015-10-30,3725.300537109375
2015-11-02,3761.24462890625
2015-11-03,3743.786376953125
2015-11-04,4063.6845703125
2015-11-05,3971.771240234375
2015-11-06,3928.125732421875
2015-11-09,3873.696533203125
2015-11-10,3845.45556640625
2015-11-11,3877.291259765625
2015-11-12,3855.724609375
2015-11-13,3832.1044921875
2015-11-16,3851.103271484375
2015-11-17,3917.85595703125
2015-11-18,3891.668701171875
2015-11-19,3926.071533203125
2015-11-20,3929.666015625
2015-11-23,3936.341796875
2015-11-24,3867.534912109375
2015-11-25,3926.071533203125
2015-11-26,3892.6953125
2015-11-27,3911.694091796875
2015-11-30,3978.959716796875
2015-12-01,3975.365478515625
2015-12-02,4000.012939453125
2015-12-03,3967.14990234375
2015-12-04,3998.47265625
2015-12-07,4071.38720703125
2015-12-08,4006.68798828125
2015-12-09,3989.229736328125
2015-12-10,4008.228759765625
2015-12-11,3948.664794921875
2015-12-14,3918.369140625
2015-12-15,4071.38720703125
2015-12-16,4016.4443359375
2015-12-17,4053.414794921875
2015-12-18,3965.095703125
2015-12-21,3928.125732421875
2015-12-22,3878.831787109375
2015-12-23,3946.09765625
2015-12-24,3912.720947265625
2015-12-28,3922.4775390625
2015-12-29,3998.986083984375
2015-12-30,3981.52783203125
2016-01-04,3866.50830078125
2016-01-05,3911.180908203125
2016-01-06,3896.80322265625
2016-01-07,3811.5654296875
2016-01-08,3712.9775390625
2016-01-11,3710.923095703125
2016-01-12,3764.32568359375
2016-01-13,3757.136474609375
2016-01-14,3686.789794921875
2016-01-15,3591.795654296875
2016-01-18,3557.90625
2016-01-19,3648.792236328125
2016-01-20,3560.987060546875
2016-01-21,3622.6044921875
2016-01-22,3722.7333984375
2016-01-25,3711.9501953125
2016-01-26,3701.680908203125
2016-01-27,3723.76025390625
2016-01-28,3640.57666015625
2016-01-29,3735.570556640625
2016-02-01,3717.5986328125
2016-02-02,3678.060546875
2016-02-03,3539.934326171875
2016-02-04,3540.96142578125
2016-02-05,3448.021484375
2016-02-08,3271.38427734375
2016-02-09,3321.19189453125
2016-02-10,3395.1328125
2016-02-11,3217.468505859375
2016-02-12,3229.7919921875
2016-02-15,3277.032470703125
2016-02-16,3246.737060546875
2016-02-17,3323.245849609375
2016-02-18,3334.5419921875
2016-02-19,3353.540771484375
2016-02-22,3368.945556640625
2016-02-23,3311.948974609375
2016-02-24,3414.644775390625
2016-02-25,3388.971435546875
2016-02-26,3442.886474609375
2016-02-29,3453.15625
2016-03-01,3523.503173828125
2016-03-02,3510.152587890625
2016-03-03,3477.2900390625
2016-03-04,3467.020263671875
2016-03-07,3482.424560546875
2016-03-08,3427.482177734375
2016-03-09,3456.237060546875
2016-03-10,3459.83154296875
2016-03-11,3506.557861328125
2016-03-14,3563.041015625
2016-03-15,3582.55322265625
2016-03-16,3578.445556640625
2016-03-17,3549.690673828125
2016-03-18,3633.3876953125
2016-03-21,3635.44189453125
2016-03-22,3644.1708984375
2016-03-23,3662.65625
2016-03-24,3636.46875
2016-03-29,3655.467529296875
2016-03-30,3689.870849609375
2016-03-31,3675.493408203125
2016-04-01,3674.466064453125
2016-04-04,3699.11328125
2016-04-05,3672.925537109375
2016-04-06,3668.304443359375
2016-04-07,3650.332763671875
2016-04-08,3683.195556640625
2016-04-11,3669.33154296875
2016-04-12,3669.844970703125
2016-04-13,3804.890380859375
2016-04-14,3887.56103515625
2016-04-15,3856.238525390625
2016-04-18,3876.77783203125
2016-04-19,3900.9111328125
2016-04-20,3841.347412109375
2016-04-21,4072.927001953125
2016-04-22,4035.95654296875
2016-04-25,4013.363037109375
2016-04-26,4005.14794921875
2016-04-27,4025.686767578125
2016-04-28,4035.443115234375
2016-04-29,3989.229736328125
2016-05-02,3986.14892578125
2016-05-03,3970.231201171875
2016-05-04,4012.336181640625
2016-05-05,4023.63330078125
2016-05-06,4016.4443359375
2016-05-09,4061.116943359375
2016-05-10,4090.3857421875
2016-05-11,4138.65283203125
2016-05-12,4082.170166015625
2016-05-13,4110.9248046875
2016-05-16,4077.03515625
2016-05-17,4149.43603515625
2016-05-18,4154.05712890625
2016-05-19,4119.654296875
2016-05-20,4192.568359375
2016-05-23,4171.001953125
2016-05-24,4197.703125
2016-05-25,4232.61962890625
2016-05-26,4263.94140625
2016-05-27,4252.6455078125
2016-05-30,4249.05078125
2016-05-31,4264.96826171875
2016-06-01,4178.19091796875
2016-06-02,4284.63623046875
2016-06-03,4274.1806640625
2016-06-06,4236.54150390625
2016-06-07,4251.1787109375
2016-06-08,4234.97265625
2016-06-09,4206.74365234375
2016-06-10,4133.55517578125
2016-06-13,4076.57275390625
2016-06-14,4046.252197265625
2016-06-15,4085.4599609375
2016-06-16,4006.52197265625
2016-06-17,4074.48193359375
2016-06-20,4257.97509765625
2016-06-21,4284.11279296875
2016-06-22,4278.36328125
