Date,PNW
2015-08-03,41.7785758972168
2015-08-04,41.022891998291016
2015-08-05,41.0566291809082
2015-08-06,41.50193786621094
2015-08-07,42.25087356567383
2015-08-10,42.0012321472168
2015-08-11,42.56126022338867
2015-08-12,43.02680587768555
2015-08-13,43.08753204345703
2015-08-14,43.4316291809082
2015-08-17,43.755496978759766
2015-08-18,43.43838882446289
2015-08-19,43.580078125
2015-08-20,43.41139602661133
2015-08-21,42.68944549560547
2015-08-24,41.623382568359375
2015-08-25,40.21997833251953
2015-08-26,40.705772399902344
2015-08-27,41.009403228759766
2015-08-28,40.80698776245117
2015-08-31,40.16599655151367
2015-09-01,39.14042282104492
2015-09-02,39.14042282104492
2015-09-03,39.315860748291016
2015-09-04,38.863792419433594
2015-09-08,40.267208099365234
2015-09-09,39.96358108520508
2015-09-10,39.848880767822266
2015-09-11,40.3414192199707
2015-09-14,40.40214538574219
2015-09-15,40.60456848144531
2015-09-16,41.21855926513672
2015-09-17,41.67736053466797
2015-09-18,41.67736053466797
2015-09-21,42.02822494506836
2015-09-22,41.96749496459961
2015-09-23,41.98774337768555
2015-09-24,42.257633209228516
2015-09-25,42.858131408691406
2015-09-28,42.62196731567383
2015-09-29,42.655704498291016
2015-09-30,43.276451110839844
2015-10-01,42.80413818359375
2015-10-02,43.12800598144531
2015-10-05,43.2359619140625
2015-10-06,42.460052490234375
2015-10-07,42.4465446472168
2015-10-08,43.222476959228516
2015-10-09,43.16851043701172
2015-10-12,43.60032272338867
2015-10-13,43.66103744506836
2015-10-14,43.836456298828125
2015-10-15,44.382991790771484
2015-10-16,44.43022155761719
2015-10-19,44.21430206298828
2015-10-20,44.355995178222656
2015-10-21,44.25479507446289
2015-10-22,44.963253021240234
2015-10-23,44.33576583862305
2015-10-26,44.382991790771484
2015-10-27,44.20082473754883
2015-10-28,43.50585174560547
2015-10-29,43.039146423339844
2015-10-30,43.27080154418945
2015-11-02,43.7204704284668
2015-11-03,43.58421325683594
2015-11-04,44.4154167175293
2015-11-05,44.088382720947266
2015-11-06,41.92859649658203
2015-11-09,42.242008209228516
2015-11-10,43.086849212646484
2015-11-11,43.148155212402344
2015-11-12,42.296512603759766
2015-11-13,41.95585250854492
2015-11-16,42.875633239746094
2015-11-17,42.139801025390625
2015-11-18,42.33739471435547
2015-11-19,42.834747314453125
2015-11-20,43.15496826171875
2015-11-23,42.834747314453125
2015-11-24,42.964202880859375
2015-11-25,42.70529556274414
2015-11-27,42.889259338378906
2015-11-30,43.168601989746094
2015-12-01,43.27761459350586
2015-12-02,42.28287124633789
2015-12-03,41.6356315612793
2015-12-04,42.50090408325195
2015-12-07,43.011898040771484
2015-12-08,43.29804229736328
2015-12-09,43.00507354736328
2015-12-10,41.70375442504883
2015-12-11,41.92177963256836
2015-12-14,41.86726760864258
