Date,GSPL.NS
2015-08-21,114.60335540771484
2015-08-24,109.53600311279297
2015-08-25,111.4362564086914
2015-08-26,109.35501098632812
2015-08-27,109.94319915771484
2015-08-28,110.03368377685547
2015-08-31,111.48149871826172
2015-09-01,109.21928405761719
2015-09-02,108.58587646484375
2015-09-03,108.85735321044922
2015-09-04,107.59050750732422
2015-09-07,106.59513854980469
2015-09-08,108.22392272949219
2015-09-09,107.99769592285156
2015-09-10,106.91184997558594
2015-09-11,106.14269256591797
2015-09-14,106.91184997558594
2015-09-15,108.785888671875
2015-09-16,106.77471923828125
2015-09-18,105.72341918945312
2015-09-21,105.72341918945312
2015-09-22,102.24958801269531
2015-09-23,103.62083435058594
2015-09-24,107.3232192993164
2015-09-28,105.22063446044922
2015-09-29,105.90626525878906
2015-09-30,107.59746551513672
2015-10-01,106.9118423461914
2015-10-05,107.91741943359375
2015-10-06,106.04337310791016
2015-10-07,105.86054992675781
2015-10-08,107.963134765625
2015-10-09,107.963134765625
2015-10-12,106.82041931152344
2015-10-13,105.9976806640625
2015-10-14,113.58527374267578
2015-10-15,114.91079711914062
2015-10-16,115.64214324951172
2015-10-19,117.01339721679688
2015-10-20,115.18505096435547
2015-10-21,115.68785095214844
2015-10-23,117.15050506591797
2015-10-26,116.73912811279297
2015-10-27,116.83055877685547
2015-10-28,115.7792739868164
2015-10-29,115.18505096435547
2015-10-30,118.33893585205078
2015-11-02,115.0936508178711
2015-11-03,115.23076629638672
2015-11-04,116.69343566894531
2015-11-05,117.01339721679688
2015-11-06,116.78484344482422
2015-11-09,117.19621276855469
2015-11-10,116.2363510131836
2015-11-13,114.31660461425781
2015-11-16,111.9854736328125
2015-11-17,111.89405822753906
2015-11-18,113.58527374267578
2015-11-19,114.5908432006836
2015-11-20,117.15050506591797
2015-11-23,119.938720703125
2015-11-24,119.20738983154297
2015-11-26,119.7558822631836
2015-11-27,122.13273620605469
2015-11-30,123.68680572509766
2015-12-01,124.50955963134766
2015-12-02,123.27545166015625
2015-12-03,122.0870132446289
2015-12-04,121.584228515625
2015-12-07,120.57862854003906
2015-12-08,120.94432830810547
2015-12-09,120.76148223876953
2015-12-10,119.66445922851562
2015-12-11,118.8874282836914
2015-12-14,116.87625885009766
2015-12-15,116.55631256103516
2015-12-16,116.87625885009766
2015-12-17,117.5618896484375
2015-12-18,116.78484344482422
2015-12-21,118.33893585205078
2015-12-22,124.87522888183594
2015-12-23,123.36682891845703
2015-12-24,122.81835174560547
2015-12-28,125.65225982666016
2015-12-29,124.9666519165039
2015-12-30,126.0179443359375
2015-12-31,125.14946746826172
2016-01-01,129.99456787109375
2016-01-04,127.29777526855469
2016-01-05,136.57656860351562
2016-01-06,131.5943603515625
2016-01-07,127.25204467773438
2016-01-08,133.92547607421875
2016-01-11,134.79393005371094
2016-01-12,130.7716064453125
2016-01-13,130.7716064453125
2016-01-14,132.05140686035156
2016-01-15,130.9087371826172
2016-01-18,127.8919677734375
2016-01-19,127.29777526855469
2016-01-20,124.23529815673828
2016-01-21,122.49839782714844
2016-01-22,125.4237289428711
2016-01-25,126.42930603027344
2016-01-27,124.18959045410156
2016-01-28,124.32671356201172
2016-01-29,126.9778060913086
2016-02-01,124.18959045410156
2016-02-02,121.94988250732422
2016-02-03,124.00675964355469
2016-02-04,124.32671356201172
2016-02-05,123.86964416503906
2016-02-08,127.06924438476562
2016-02-09,122.5898208618164
2016-02-10,121.17285919189453
2016-02-11,117.65331268310547
2016-02-12,122.26984405517578
2016-02-15,120.16726684570312
2016-02-16,117.65331268310547
2016-02-17,119.98442840576172
2016-02-18,119.8016128540039
2016-02-19,118.75030517578125
2016-02-22,117.9732666015625
2016-02-23,117.3333511352539
2016-02-24,116.83055877685547
2016-02-25,115.55072021484375
2016-02-26,114.45372009277344
2016-02-29,115.96208953857422
2016-03-01,122.2241439819336
2016-03-02,120.532958984375
2016-03-03,120.67005920410156
2016-03-04,119.89302062988281
2016-03-08,118.79601287841797
2016-03-09,117.9732666015625
2016-03-10,120.12156677246094
2016-03-11,116.51058959960938
2016-03-14,115.23076629638672
2016-03-15,111.71121215820312
2016-03-16,113.90522003173828
2016-03-17,118.79601287841797
2016-03-18,121.99559783935547
2016-03-21,126.1550521850586
2016-03-22,126.65785217285156
2016-03-23,123.96107482910156
2016-03-28,121.26425170898438
2016-03-29,124.28102111816406
2016-03-30,127.8005599975586
2016-03-31,129.5374755859375
2016-04-01,123.68680572509766
2016-04-04,126.47502136230469
2016-04-05,124.37244415283203
2016-04-06,125.19519805908203
2016-04-07,123.50398254394531
2016-04-08,125.14946746826172
2016-04-11,125.24090576171875
2016-04-12,125.83509826660156
2016-04-13,125.19519805908203
2016-04-18,125.65225982666016
2016-04-20,127.29777526855469
2016-04-21,129.35462951660156
2016-04-22,131.0001220703125
2016-04-25,129.4917755126953
2016-04-26,127.93766784667969
2016-04-27,126.56645202636719
2016-04-28,125.14946746826172
2016-04-29,125.88079833984375
2016-05-02,127.52632904052734
2016-05-03,126.33789825439453
2016-05-04,125.88079833984375
2016-05-05,126.70357513427734
2016-05-06,124.82952880859375
2016-05-09,126.8406753540039
2016-05-10,126.9778060913086
2016-05-11,129.35462951660156
2016-05-12,128.39474487304688
2016-05-13,127.02351379394531
2016-05-16,127.52632904052734
2016-05-17,127.11493682861328
2016-05-18,125.56086730957031
2016-05-19,124.23529815673828
2016-05-20,122.2241439819336
2016-05-23,121.53852081298828
2016-05-24,121.3556900024414
2016-05-25,121.44709777832031
2016-05-26,122.13273620605469
2016-05-27,123.36682891845703
