Date,DOW
2019-03-20,35.140586853027344
2019-03-21,34.56195831298828
2019-03-22,34.293819427490234
2019-03-25,34.68191909790039
2019-03-26,34.47022247314453
2019-03-27,35.352264404296875
2019-03-28,35.881492614746094
2019-03-29,36.431888580322266
2019-04-01,37.75141906738281
2019-04-02,39.691925048828125
2019-04-03,40.136470794677734
2019-04-04,42.13340759277344
2019-04-05,40.3904914855957
2019-04-08,40.32697677612305
2019-04-09,39.7060432434082
2019-04-10,39.310882568359375
2019-04-11,38.73225784301758
2019-04-12,41.13847351074219
2019-04-15,40.77153778076172
2019-04-16,41.279598236083984
2019-04-17,41.1525764465332
2019-04-18,40.76448440551758
2019-04-22,40.84915542602539
2019-04-23,40.6727409362793
2019-04-24,39.50139617919922
2019-04-25,39.0427360534668
2019-04-26,38.98627853393555
2019-04-29,39.162681579589844
2019-04-30,40.030616760253906
2019-05-01,39.607242584228516
2019-05-02,37.18692398071289
2019-05-03,37.610294342041016
2019-05-06,37.72319412231445
2019-05-07,37.36332702636719
2019-05-08,37.03167724609375
2019-05-09,37.34921646118164
2019-05-10,37.447994232177734
2019-05-13,35.95205307006836
2019-05-14,37.03167724609375
2019-05-15,37.36332702636719
2019-05-16,37.384498596191406
2019-05-17,35.846214294433594
2019-05-20,35.33816146850586
2019-05-21,35.726253509521484
2019-05-22,35.42988967895508
2019-05-23,34.371437072753906
2019-05-24,34.71719741821289
2019-05-28,34.265586853027344
2019-05-29,34.371437072753906
2019-05-30,34.70075988769531
2019-05-31,33.476539611816406
2019-06-03,34.33563995361328
2019-06-04,35.74600601196289
2019-06-05,36.03953552246094
2019-06-06,36.554988861083984
2019-06-07,36.72682189941406
2019-06-10,36.9559211730957
2019-06-11,37.25659942626953
2019-06-12,37.57876205444336
2019-06-13,37.85797882080078
2019-06-14,36.61943054199219
2019-06-17,35.330780029296875
2019-06-18,35.51690673828125
2019-06-19,34.72224044799805
2019-06-20,35.03009033203125
2019-06-21,34.622013092041016
2019-06-24,35.49542236328125
2019-06-25,35.57418441772461
2019-06-26,36.118289947509766
2019-06-27,36.447608947753906
2019-06-28,35.30214309692383
2019-07-01,35.910667419433594
2019-07-02,35.36656951904297
2019-07-03,35.31645965576172
2019-07-05,35.30214309692383
2019-07-08,34.7365608215332
2019-07-09,34.271209716796875
2019-07-10,34.0421142578125
2019-07-11,34.20677185058594
2019-07-12,35.588504791259766
2019-07-15,36.46193313598633
2019-07-16,37.457061767578125
2019-07-17,36.94158935546875
2019-07-18,37.048988342285156
