Date,KINV-B.ST
2015-08-24,100.89073944091797
2015-08-25,104.43921661376953
2015-08-26,102.29261016845703
2015-08-27,105.14015197753906
2015-08-28,105.79728698730469
2015-08-31,104.83349609375
2015-09-01,103.91352081298828
2015-09-02,104.8772964477539
2015-09-03,108.68864440917969
2015-09-04,104.7458724975586
2015-09-07,106.2791748046875
2015-09-08,106.89249420166016
2015-09-09,108.07530975341797
2015-09-10,106.0163345336914
2015-09-11,105.97250366210938
2015-09-14,103.78209686279297
2015-09-15,103.47543334960938
2015-09-16,106.06013488769531
2015-09-17,106.32299041748047
2015-09-18,103.6944808959961
2015-09-21,104.0887451171875
2015-09-22,101.50404357910156
2015-09-23,102.64305877685547
2015-09-24,99.88314056396484
2015-09-25,103.0811538696289
2015-09-28,101.06596374511719
2015-09-29,102.64305877685547
2015-09-30,104.65825653076172
2015-10-01,105.40299987792969
2015-10-02,106.06013488769531
2015-10-05,109.2143325805664
2015-10-06,111.0104751586914
2015-10-07,110.48478698730469
2015-10-08,111.7552261352539
2015-10-09,112.89423370361328
2015-10-12,112.06188201904297
2015-10-13,111.0542984008789
2015-10-14,110.52857971191406
2015-10-15,110.79142761230469
2015-10-16,111.57998657226562
2015-10-19,111.40474700927734
2015-10-20,111.66761779785156
2015-10-21,112.4561538696289
2015-10-22,112.8066177368164
2015-10-23,119.99119567871094
2015-10-26,120.12263488769531
2015-10-27,118.98362731933594
2015-10-28,119.15884399414062
2015-10-29,119.33406066894531
2015-10-30,119.59693145751953
2015-11-02,117.80078125
2015-11-03,118.06361389160156
2015-11-04,118.19506072998047
2015-11-05,116.92462158203125
2015-11-06,116.88081359863281
2015-11-09,116.88081359863281
2015-11-10,116.57414245605469
2015-11-11,117.36270904541016
2015-11-12,115.47892761230469
2015-11-13,114.42753601074219
2015-11-16,114.42753601074219
2015-11-17,118.28266906738281
2015-11-18,117.84458923339844
2015-11-19,117.01222229003906
2015-11-20,117.66936492919922
2015-11-23,117.66936492919922
2015-11-24,114.99705505371094
2015-11-25,115.6103515625
2015-11-26,116.26749420166016
2015-11-27,116.00463104248047
2015-11-30,116.00463104248047
2015-12-01,117.97600555419922
2015-12-02,119.59693145751953
2015-12-03,116.66175842285156
2015-12-04,114.16468811035156
2015-12-07,114.16468811035156
2015-12-08,110.65999603271484
2015-12-09,111.66761779785156
2015-12-10,109.43338775634766
2015-12-11,107.11152648925781
2015-12-14,107.11152648925781
2015-12-15,109.34577178955078
2015-12-16,109.60859680175781
2015-12-17,112.06188201904297
2015-12-18,112.06188201904297
2015-12-21,112.3247299194336
2015-12-22,110.83525085449219
2015-12-23,113.68278503417969
2015-12-28,113.81421661376953
2015-12-29,113.81421661376953
2015-12-30,114.77800750732422
2016-01-04,110.44096374511719
2016-01-05,109.0390853881836
2016-01-07,105.09632873535156
2016-01-08,104.61445617675781
2016-01-11,104.7458724975586
2016-01-12,105.35919952392578
2016-01-13,104.70207214355469
2016-01-14,101.81070709228516
2016-01-15,98.52508544921875
2016-01-18,97.9993896484375
2016-01-19,99.7079086303711
2016-01-20,96.24703979492188
2016-01-21,96.90416717529297
2016-01-22,99.31362915039062
2016-01-25,98.26224517822266
2016-01-26,97.6927261352539
2016-01-27,97.91177368164062
2016-01-28,95.06421661376953
2016-01-29,96.37847137451172
2016-02-01,95.67754364013672
2016-02-02,93.9251937866211
2016-02-03,91.60336303710938
2016-02-04,91.4281234741211
2016-02-05,90.90242004394531
2016-02-08,87.31012725830078
2016-02-09,88.09868621826172
2016-02-10,89.9824447631836
2016-02-11,83.71784210205078
2016-02-12,84.98827362060547
2016-02-15,88.79962158203125
2016-02-16,87.70440673828125
2016-02-17,93.09284210205078
2016-02-18,92.43571472167969
2016-02-19,92.6547622680664
2016-02-22,94.8013687133789
2016-02-23,93.44330596923828
2016-02-24,90.90242004394531
2016-02-25,92.5233383178711
2016-02-26,93.88139343261719
2016-02-29,93.5747299194336
2016-03-01,95.63373565673828
2016-03-02,95.50231170654297
2016-03-03,96.50989532470703
2016-03-04,97.78034210205078
2016-03-07,97.1670150756836
2016-03-08,96.42227935791016
2016-03-09,97.29845428466797
2016-03-10,95.98419952392578
2016-03-11,98.65650939941406
2016-03-14,98.7441177368164
2016-03-15,97.82415008544922
2016-03-16,97.12321472167969
2016-03-17,96.8165512084961
2016-03-18,99.13839721679688
2016-03-21,99.7079086303711
2016-03-22,100.75931549072266
2016-03-23,100.1897964477539
2016-03-24,98.56889343261719
2016-03-29,99.4012451171875
2016-03-30,101.76689910888672
2016-03-31,100.89073944091797
2016-04-01,101.02215576171875
2016-04-04,99.79551696777344
2016-04-05,96.29085540771484
2016-04-06,97.42987060546875
2016-04-07,95.94039154052734
2016-04-08,99.31362915039062
2016-04-11,99.83932495117188
2016-04-12,100.40884399414062
2016-04-13,103.47543334960938
2016-04-14,105.40299987792969
2016-04-15,104.35160064697266
2016-04-18,104.43921661376953
2016-04-19,109.74003601074219
2016-04-20,111.14190673828125
2016-04-21,111.36094665527344
2016-04-22,111.49237060546875
2016-04-25,111.44857788085938
2016-04-26,111.97425842285156
2016-04-27,108.64482116699219
2016-04-28,105.14015197753906
2016-04-29,101.19740295410156
2016-05-02,100.71551513671875
2016-05-03,98.13081359863281
2016-05-04,96.50989532470703
2016-05-06,96.29085540771484
2016-05-09,97.60511016845703
2016-05-10,97.56129455566406
2016-05-11,96.68512725830078
2016-05-12,96.50989532470703
2016-05-13,97.73653411865234
2016-05-16,99.05078887939453
2016-05-17,98.349853515625
2016-05-18,99.22601318359375
2016-05-19,97.29845428466797
2016-05-20,97.6927261352539
2016-05-23,98.349853515625
2016-05-24,96.72893524169922
2016-05-25,98.78792572021484
2016-05-26,101.40215301513672
2016-05-27,95.80496978759766
2016-05-30,95.52511596679688
2016-05-31,94.685546875
2016-06-01,93.00638580322266
2016-06-02,94.77882385253906
2016-06-03,92.81981658935547
2016-06-07,95.05868530273438
2016-06-08,94.63890075683594
2016-06-09,93.42618560791016
2016-06-10,90.39437103271484
2016-06-13,87.96893310546875
2016-06-14,85.9632797241211
2016-06-15,87.6890640258789
2016-06-16,87.96893310546875
2016-06-17,89.08836364746094
2016-06-20,92.49331665039062
2016-06-21,92.91310119628906
2016-06-22,93.61276245117188
2016-06-23,95.43183135986328
2016-06-27,86.14984893798828
2016-06-28,88.2954330444336
2016-06-29,91.09402465820312
2016-06-30,93.28623962402344
2016-07-01,95.01203918457031
2016-07-04,94.3124008178711
2016-07-05,91.886962890625
2016-07-06,91.37388610839844
2016-07-07,93.05303192138672
