Date,CELLO.NS
2023-11-06,788.4360961914062
2023-11-07,795.85546875
2023-11-08,797.3492431640625
2023-11-09,781.9629516601562
2023-11-10,786.3447265625
2023-11-13,782.6102294921875
2023-11-15,784.2036743164062
2023-11-16,787.589599609375
2023-11-17,781.9629516601562
2023-11-20,782.8093872070312
2023-11-21,781.86328125
2023-11-22,767.423095703125
2023-11-23,772.6514282226562
2023-11-24,777.8797607421875
2023-11-28,817.2169189453125
2023-11-29,815.5737915039062
2023-11-30,801.4323120117188
2023-12-01,792.369873046875
2023-12-04,787.8385620117188
2023-12-05,786.79296875
2023-12-06,806.5610961914062
2023-12-07,807.2084350585938
2023-12-08,810.0466918945312
2023-12-11,784.9007568359375
2023-12-12,781.2658081054688
2023-12-13,788.88427734375
2023-12-14,781.7637329101562
2023-12-15,788.1871948242188
2023-12-18,796.5027465820312
2023-12-19,784.35302734375
2023-12-20,759.2569580078125
2023-12-21,771.904541015625
2023-12-22,766.0288696289062
2023-12-26,762.3441772460938
2023-12-27,775.4400024414062
2023-12-28,791.224609375
2023-12-29,783.9049072265625
2024-01-01,793.31591796875
2024-01-02,803.2249145507812
2024-01-03,824.83544921875
2024-01-04,867.6083984375
2024-01-05,853.7158813476562
2024-01-08,874.0317993164062
2024-01-09,877.616943359375
2024-01-10,883.9407348632812
2024-01-11,877.2683715820312
2024-01-12,896.8373413085938
2024-01-15,896.8373413085938
2024-01-16,891.4097900390625
2024-01-17,872.9363403320312
2024-01-18,866.4132690429688
2024-01-19,863.8240966796875
2024-01-23,852.769775390625
2024-01-24,844.8027954101562
2024-01-25,835.3916625976562
2024-01-29,856.6039428710938
2024-01-30,858.595703125
2024-01-31,841.715576171875
2024-02-01,827.5740966796875
2024-02-02,858.2471313476562
2024-02-05,839.2258911132812
2024-02-06,865.0689086914062
2024-02-07,848.437744140625
2024-02-08,855.5582275390625
2024-02-09,841.0682373046875
2024-02-12,821.7980346679688
2024-02-13,812.536376953125
2024-02-14,818.4617919921875
2024-02-15,816.868408203125
2024-02-16,828.470458984375
2024-02-19,806.51123046875
2024-02-20,805.814208984375
2024-02-21,818.8103637695312
2024-02-22,797.5982055664062
2024-02-23,834.2465209960938
2024-02-26,839.325439453125
2024-02-27,872.1893920898438
2024-02-28,850.5787963867188
2024-02-29,849.8817749023438
2024-03-01,823.640380859375
2024-03-04,821.8477783203125
2024-03-05,810.295654296875
2024-03-06,801.8804931640625
2024-03-07,801.1834106445312
2024-03-11,803.1751098632812
2024-03-12,779.87158203125
2024-03-13,720.417724609375
2024-03-14,746.3603515625
2024-03-15,745.8624267578125
2024-03-18,781.1163940429688
2024-03-19,785.7970581054688
2024-03-20,781.5147705078125
2024-03-21,781.7637329101562
2024-03-22,782.7596435546875
2024-03-26,763.240478515625
2024-03-27,773.2489624023438
2024-03-28,770.8091430664062
2024-04-01,782.2616577148438
2024-04-02,784.40283203125
2024-04-03,792.170654296875
2024-04-04,807.0092163085938
2024-04-05,818.5614624023438
2024-04-08,819.0593872070312
2024-04-09,813.9306030273438
2024-04-10,828.6197509765625
2024-04-12,830.561767578125
2024-04-15,819.8062744140625
2024-04-16,843.0101928710938
2024-04-18,853.1681518554688
2024-04-19,849.333984375
2024-04-22,878.5132446289062
2024-04-23,889.9159545898438
2024-04-24,945.9839477539062
2024-04-25,925.7177734375
2024-04-26,926.9627075195312
2024-04-29,924.6721801757812
2024-04-30,901.0698852539062
2024-05-02,913.9166870117188
2024-05-03,907.144775390625
2024-05-06,927.3610229492188
2024-05-07,907.7422485351562
2024-05-08,893.9991455078125
2024-05-09,875.8741455078125
2024-05-10,868.6043090820312
2024-05-13,871.890625
2024-05-14,893.451416015625
2024-05-15,936.6724853515625
2024-05-16,921.5849609375
2024-05-17,939.0128173828125
2024-05-21,917.4520263671875
2024-05-22,913.9664916992188
2024-05-23,920.340087890625
2024-05-24,915.6096801757812
2024-05-27,869.69970703125
2024-05-28,843.6575317382812
2024-05-29,859.3426513671875
2024-05-30,855.4088745117188
2024-05-31,843.2591552734375
2024-06-03,856.7034912109375
2024-06-04,830.312744140625
2024-06-05,822.8934936523438
2024-06-06,826.4288330078125
2024-06-07,842.9105834960938
2024-06-10,860.73681640625
2024-06-11,874.38037109375
2024-06-12,861.3343505859375
2024-06-13,874.23095703125
2024-06-14,870.5960083007812
2024-06-18,896.5386352539062
2024-06-19,896.0406494140625
2024-06-20,885.6337280273438
2024-06-21,905.0533447265625
2024-06-24,885.9324951171875
2024-06-25,909.7837524414062
2024-06-26,886.2810668945312
2024-06-27,879.2103271484375
2024-06-28,876.8202514648438
2024-07-01,886.9782104492188
2024-07-02,897.3353271484375
2024-07-03,956.141845703125
2024-07-04,985.5202026367188
2024-07-05,965.403564453125
2024-07-08,957.1377563476562
2024-07-09,969.9845581054688
2024-07-10,954.5484619140625
2024-07-11,949.668701171875
2024-07-12,975.3125
2024-07-15,968.1920166015625
2024-07-16,986.2173461914062
2024-07-18,967.2459106445312
2024-07-19,936.6724853515625
2024-07-22,945.4860229492188
2024-07-23,944.6394653320312
2024-07-24,955.5941162109375
2024-07-25,963.4118041992188
2024-07-26,962.3162841796875
2024-07-29,959.4282836914062
2024-07-30,955.04638671875
2024-07-31,949.0213623046875
2024-08-01,930.6972045898438
2024-08-02,948.851318359375
2024-08-05,905.81005859375
2024-08-06,909.5505981445312
2024-08-07,911.6952514648438
2024-08-08,919.4755249023438
2024-08-09,918.2286987304688
2024-08-12,906.9572143554688
2024-08-13,879.925537109375
2024-08-14,886.2096557617188
2024-08-16,877.2822265625
