Date,BMGB4.SA
2019-11-29,5.844534397125244
2019-12-02,5.97673225402832
2019-12-03,5.96977424621582
2019-12-04,5.907153606414795
2019-12-05,5.823660850524902
2019-12-06,5.8097453117370605
2019-12-09,5.921070098876953
2019-12-10,6.0393524169921875
2019-12-11,6.199380397796631
2019-12-12,6.505523204803467
2019-12-13,6.776876926422119
2019-12-16,6.644678592681885
2019-12-17,6.575100898742676
2019-12-18,6.609890460968018
2019-12-19,6.561185359954834
2019-12-20,6.234169960021973
2019-12-23,6.324621200561523
2019-12-26,6.609890460968018
2019-12-27,6.679468154907227
2019-12-30,6.8116655349731445
2020-01-02,6.672510623931885
2020-01-03,6.616847515106201
2020-01-06,6.463776588439941
2020-01-07,6.470735549926758
2020-01-08,6.435945510864258
2020-01-09,6.4568190574646
2020-01-10,6.470735549926758
2020-01-13,6.790792465209961
2020-01-14,6.825581073760986
2020-01-15,6.85341215133667
2020-01-16,6.8882012367248535
2020-01-17,7.069104194641113
2020-01-20,7.166512489318848
2020-01-21,7.166512489318848
2020-01-22,7.083019733428955
2020-01-23,7.096935272216797
2020-01-24,7.166512489318848
2020-01-27,7.089976787567139
2020-01-28,7.096935272216797
2020-01-29,6.8882012367248535
2020-01-30,6.728172302246094
2020-01-31,6.644678592681885
2020-02-03,6.700341701507568
2020-02-04,6.714256286621094
2020-02-05,6.7420878410339355
2020-02-06,6.7420878410339355
2020-02-07,6.602931499481201
2020-02-10,6.394198417663574
2020-02-11,6.428987503051758
2020-02-12,6.394198417663574
2020-02-13,6.373325824737549
2020-02-14,5.253123760223389
2020-02-17,5.14875602722168
2020-02-18,5.002642631530762
2020-02-19,5.0443902015686035
2020-02-20,5.113967418670654
2020-02-21,5.009600639343262
2020-02-26,4.647796154022217
2020-02-27,4.522556304931641
2020-02-28,4.348611354827881
2020-03-02,4.522556304931641
2020-03-03,4.557344913482666
2020-03-04,4.522556304931641
2020-03-05,4.425147533416748
2020-03-06,4.1190056800842285
2020-03-09,3.631960868835449
2020-03-10,3.7154541015625
2020-03-11,3.3397340774536133
