Date,JIOFIN.NS
2023-08-21,248.89999389648438
2023-08-22,236.4499969482422
2023-08-23,224.64999389648438
2023-08-24,213.4499969482422
2023-08-25,214.5
2023-08-28,211.14999389648438
2023-08-29,220.25
2023-08-30,231.25
2023-08-31,233.5
2023-09-01,245.14999389648438
2023-09-04,253.4499969482422
2023-09-05,255.0500030517578
2023-09-06,252.85000610351562
2023-09-07,251.8000030517578
2023-09-08,253.1999969482422
2023-09-11,250.14999389648438
2023-09-12,244.25
2023-09-13,240.1999969482422
2023-09-14,242.5500030517578
2023-09-15,239.39999389648438
2023-09-18,233.1999969482422
2023-09-20,229.64999389648438
2023-09-21,227.64999389648438
2023-09-22,227.8000030517578
2023-09-25,229.75
2023-09-26,230.39999389648438
2023-09-27,227.35000610351562
2023-09-28,225.0500030517578
2023-09-29,231.1999969482422
2023-10-03,231.39999389648438
2023-10-04,224.64999389648438
2023-10-05,225.39999389648438
2023-10-06,225.10000610351562
2023-10-09,219.64999389648438
2023-10-10,220.14999389648438
2023-10-11,225.10000610351562
2023-10-12,225.14999389648438
2023-10-13,224.5500030517578
2023-10-16,224.8000030517578
2023-10-17,220.9499969482422
2023-10-18,216.0
2023-10-19,214.1999969482422
2023-10-20,214.1999969482422
2023-10-23,206.60000610351562
2023-10-25,210.14999389648438
2023-10-26,215.85000610351562
2023-10-27,222.89999389648438
2023-10-30,219.0
2023-10-31,219.0
2023-11-01,217.64999389648438
2023-11-02,217.35000610351562
2023-11-03,219.0500030517578
2023-11-06,217.14999389648438
2023-11-07,217.1999969482422
2023-11-08,214.14999389648438
2023-11-09,215.14999389648438
2023-11-10,221.9499969482422
2023-11-13,224.75
2023-11-15,224.14999389648438
2023-11-16,226.9499969482422
2023-11-17,220.8000030517578
2023-11-20,215.5
2023-11-21,220.1999969482422
2023-11-22,221.89999389648438
2023-11-23,221.25
2023-11-24,226.5
2023-11-28,226.35000610351562
2023-11-29,226.0500030517578
2023-11-30,229.39999389648438
2023-12-01,225.5
2023-12-04,230.10000610351562
2023-12-05,242.5
2023-12-06,247.0500030517578
2023-12-07,249.14999389648438
2023-12-08,244.25
2023-12-11,245.60000610351562
2023-12-12,240.5500030517578
2023-12-13,239.75
2023-12-14,238.60000610351562
2023-12-15,237.64999389648438
2023-12-18,240.14999389648438
2023-12-19,238.3000030517578
2023-12-20,232.10000610351562
2023-12-21,238.0
2023-12-22,236.75
2023-12-26,234.6999969482422
2023-12-27,234.0
2023-12-28,233.35000610351562
2023-12-29,232.9499969482422
2024-01-01,234.5500030517578
2024-01-02,235.35000610351562
2024-01-03,234.5
2024-01-04,241.39999389648438
2024-01-05,243.64999389648438
2024-01-08,242.39999389648438
2024-01-09,242.14999389648438
2024-01-10,240.9499969482422
2024-01-11,251.5500030517578
2024-01-12,255.0500030517578
2024-01-15,266.75
2024-01-16,248.85000610351562
2024-01-17,242.5500030517578
2024-01-19,246.25
2024-01-23,240.39999389648438
2024-01-24,239.75
2024-01-25,239.85000610351562
2024-01-29,251.0
2024-01-30,247.6999969482422
2024-01-31,248.25
2024-02-01,252.39999389648438
2024-02-02,253.8000030517578
2024-02-05,289.1000061035156
2024-02-06,270.95001220703125
2024-02-07,268.5
2024-02-08,262.79998779296875
2024-02-09,273.0
2024-02-12,271.45001220703125
2024-02-13,272.75
2024-02-14,273.0
2024-02-15,274.04998779296875
2024-02-16,271.8999938964844
2024-02-19,274.0
2024-02-20,281.70001220703125
2024-02-21,290.1000061035156
2024-02-22,302.8500061035156
2024-02-23,333.95001220703125
2024-02-26,327.79998779296875
2024-02-27,318.5
2024-02-28,308.29998779296875
2024-02-29,310.0
2024-03-01,317.8999938964844
2024-03-04,322.6000061035156
2024-03-05,321.70001220703125
2024-03-06,326.3500061035156
2024-03-07,333.8999938964844
2024-03-11,355.6499938964844
2024-03-12,361.8500061035156
2024-03-13,328.20001220703125
2024-03-14,338.3500061035156
2024-03-15,344.75
2024-03-18,352.54998779296875
2024-03-19,353.29998779296875
2024-03-20,337.5
2024-03-21,338.70001220703125
2024-03-22,344.6499938964844
2024-03-26,346.1499938964844
2024-03-27,350.70001220703125
2024-03-28,353.75
2024-04-01,356.95001220703125
2024-04-02,357.1000061035156
2024-04-03,357.1000061035156
2024-04-04,361.29998779296875
2024-04-05,373.20001220703125
2024-04-08,369.25
2024-04-09,367.70001220703125
2024-04-10,370.45001220703125
2024-04-12,372.20001220703125
2024-04-15,354.29998779296875
2024-04-16,361.8500061035156
2024-04-18,378.3999938964844
2024-04-19,370.1000061035156
2024-04-22,382.70001220703125
2024-04-23,387.95001220703125
2024-04-24,381.8500061035156
2024-04-25,382.29998779296875
2024-04-26,381.75
2024-04-29,380.5
2024-04-30,377.0
2024-05-02,379.6499938964844
2024-05-03,375.8999938964844
2024-05-06,370.25
2024-05-07,356.25
2024-05-08,355.20001220703125
2024-05-09,345.3999938964844
2024-05-10,347.8500061035156
2024-05-13,341.3500061035156
2024-05-14,352.45001220703125
2024-05-15,353.8500061035156
2024-05-16,355.04998779296875
2024-05-17,357.20001220703125
2024-05-21,357.75
2024-05-22,357.6499938964844
2024-05-23,367.75
2024-05-24,365.3999938964844
2024-05-27,360.04998779296875
2024-05-28,356.8500061035156
2024-05-29,349.20001220703125
2024-05-30,347.75
2024-05-31,344.3500061035156
2024-06-03,356.1000061035156
2024-06-04,332.95001220703125
2024-06-05,345.6000061035156
2024-06-06,349.3999938964844
2024-06-07,353.1499938964844
2024-06-10,350.3500061035156
2024-06-11,350.25
2024-06-12,360.95001220703125
2024-06-13,360.79998779296875
