Date,MTB
2015-08-03,98.76277923583984
2015-08-04,99.065185546875
2015-08-05,99.96472930908203
2015-08-06,99.49603271484375
2015-08-07,98.853515625
2015-08-10,100.34268951416016
2015-08-11,99.01222229003906
2015-08-12,97.47772216796875
2015-08-13,97.90860748291016
2015-08-14,98.62671661376953
2015-08-17,98.95934295654297
2015-08-18,99.15589141845703
2015-08-19,98.20338439941406
2015-08-20,94.82437133789062
2015-08-21,92.44319152832031
2015-08-24,87.77151489257812
2015-08-25,85.39033508300781
2015-08-26,88.96589660644531
2015-08-27,91.21858215332031
2015-08-28,90.4962387084961
2015-08-31,89.90316772460938
2015-09-01,85.65283203125
2015-09-02,87.64494323730469
2015-09-03,89.91837310791016
2015-09-04,89.00598907470703
2015-09-08,91.34782409667969
2015-09-09,91.55313873291016
2015-09-10,91.54552459716797
2015-09-11,92.02452850341797
2015-09-14,92.58719635009766
2015-09-15,93.3703842163086
2015-09-16,92.82290649414062
2015-09-17,91.53031158447266
2015-09-18,89.97161102294922
2015-09-21,91.2869644165039
2015-09-22,89.71307373046875
2015-09-23,89.71307373046875
2015-09-24,90.51905822753906
2015-09-25,92.16138458251953
2015-09-28,91.18055725097656
2015-09-29,91.31742858886719
2015-09-30,92.72406768798828
2015-10-01,89.07440948486328
2015-10-02,88.70183563232422
2015-10-05,89.93357849121094
2015-10-06,89.28730010986328
2015-10-07,90.95244598388672
2015-10-08,91.3934555053711
2015-10-09,90.92205047607422
2015-10-12,91.37065124511719
2015-10-13,90.671142578125
2015-10-14,88.28365325927734
2015-10-15,90.71673583984375
2015-10-16,88.96036529541016
2015-10-19,86.23831939697266
2015-10-20,87.81983947753906
2015-10-21,87.56891632080078
2015-10-22,90.32899475097656
2015-10-23,93.21829986572266
2015-10-26,93.68970489501953
2015-10-27,93.64408111572266
2015-10-28,96.01460266113281
2015-10-29,94.07229614257812
2015-10-30,91.6482162475586
2015-11-02,91.96936798095703
2015-11-03,91.8699951171875
2015-11-04,91.42648315429688
2015-11-05,92.22175598144531
2015-11-06,94.56171417236328
2015-11-09,94.53874969482422
2015-11-10,94.43936920166016
2015-11-11,95.24990844726562
2015-11-12,94.85991668701172
2015-11-13,93.64407348632812
2015-11-16,94.42406463623047
2015-11-17,95.02816009521484
2015-11-18,95.81582641601562
2015-11-19,95.91521453857422
2015-11-20,95.64757537841797
2015-11-23,95.64757537841797
2015-11-24,95.2728500366211
2015-11-25,95.54051971435547
2015-11-27,95.93049621582031
2015-11-30,95.8387222290039
2015-12-01,96.46578979492188
2015-12-02,95.6399154663086
2015-12-03,93.89639282226562
2015-12-04,96.3969497680664
2015-12-07,96.03755950927734
2015-12-08,94.48522186279297
2015-12-09,92.5123519897461
2015-12-10,93.78936004638672
2015-12-11,92.07646179199219
2015-12-14,92.42822265625
2015-12-15,95.02051544189453
2015-12-16,96.67224884033203
2015-12-17,95.38755798339844
2015-12-18,91.7858657836914
2015-12-21,92.25235748291016
2015-12-22,93.11643981933594
2015-12-23,94.2481918334961
2015-12-24,94.3093490600586
2015-12-28,93.7970199584961
2015-12-29,94.82170867919922
2015-12-30,93.78170776367188
2015-12-31,92.6652603149414
2016-01-04,89.83590698242188
2016-01-05,90.33294677734375
2016-01-06,88.50532531738281
2016-01-07,86.012451171875
2016-01-08,84.24603271484375
2016-01-11,83.45075225830078
2016-01-12,84.49071502685547
2016-01-13,81.60784912109375
2016-01-14,81.9825439453125
2016-01-15,79.902587890625
2016-01-19,81.32487487792969
2016-01-20,80.08609771728516
2016-01-21,78.1820297241211
2016-01-22,79.97139739990234
2016-01-25,77.8379135131836
2016-01-26,80.81254577636719
2016-01-27,82.24251556396484
2016-01-28,82.73957824707031
2016-01-29,84.25369262695312
2016-02-01,82.70899200439453
2016-02-02,80.72077941894531
2016-02-03,81.18724822998047
2016-02-04,82.73194885253906
2016-02-05,82.43370056152344
2016-02-08,80.98077392578125
2016-02-09,82.21959686279297
2016-02-10,80.6519775390625
2016-02-11,77.06556701660156
2016-02-12,81.00370788574219
2016-02-16,83.25955963134766
2016-02-17,82.99192810058594
2016-02-18,81.17961120605469
2016-02-19,81.86019897460938
2016-02-22,83.68783569335938
2016-02-23,81.0343246459961
2016-02-24,80.17784881591797
2016-02-25,80.51432037353516
2016-02-26,81.79222869873047
2016-02-29,78.94392395019531
2016-03-01,80.9839096069336
2016-03-02,83.81680297851562
2016-03-03,84.56352233886719
2016-03-04,84.85606384277344
2016-03-07,84.45575714111328
2016-03-08,83.00081634521484
2016-03-09,83.13937377929688
2016-03-10,82.97772216796875
2016-03-11,85.69512176513672
2016-03-14,85.8875961303711
2016-03-15,85.74129486083984
2016-03-16,85.18704986572266
2016-03-17,85.5103988647461
2016-03-18,86.68820190429688
2016-03-21,86.61890411376953
2016-03-22,86.55733489990234
2016-03-23,86.19552612304688
2016-03-24,85.64127349853516
2016-03-28,85.70283508300781
2016-03-29,85.56426239013672
2016-03-30,86.19552612304688
2016-03-31,85.44881439208984
2016-04-01,86.54193115234375
2016-04-04,86.35717010498047
2016-04-05,84.66360473632812
2016-04-06,85.34874725341797
2016-04-07,82.99313354492188
2016-04-08,83.80139923095703
2016-04-11,84.50193786621094
2016-04-12,85.79521942138672
2016-04-13,88.93603515625
2016-04-14,89.46722412109375
2016-04-15,88.38176727294922
2016-04-18,89.15157318115234
2016-04-19,90.72196960449219
2016-04-20,92.5772476196289
2016-04-21,91.06841278076172
2016-04-22,91.63806915283203
2016-04-25,91.52259826660156
2016-04-26,92.09224700927734
2016-04-27,92.70807647705078
