Date,CI
2015-08-03,132.3922882080078
2015-08-04,132.88172912597656
2015-08-05,136.26173400878906
2015-08-06,135.56915283203125
2015-08-07,134.69180297851562
2015-08-10,134.53480529785156
2015-08-11,133.611328125
2015-08-12,132.38308715820312
2015-08-13,132.2260284423828
2015-08-14,133.09414672851562
2015-08-17,135.37513732910156
2015-08-18,137.12986755371094
2015-08-19,137.73934936523438
2015-08-20,134.12844848632812
2015-08-21,131.79202270507812
2015-08-24,125.364501953125
2015-08-25,123.55445861816406
2015-08-26,127.0267562866211
2015-08-27,127.71941375732422
2015-08-28,127.32231903076172
2015-08-31,130.01889038085938
2015-09-01,128.36585998535156
2015-09-02,128.6798553466797
2015-09-03,130.78541564941406
2015-09-04,128.71678161621094
2015-09-08,130.25900268554688
2015-09-09,129.0584716796875
2015-09-10,126.94366455078125
2015-09-11,128.9384002685547
2015-09-14,128.6798553466797
2015-09-15,129.92654418945312
2015-09-16,131.68121337890625
2015-09-17,131.82891845703125
2015-09-18,130.78541564941406
2015-09-21,131.21946716308594
2015-09-22,130.35133361816406
2015-09-23,131.79202270507812
2015-09-24,130.23129272460938
2015-09-25,126.96214294433594
2015-09-28,122.82490539550781
2015-09-29,122.36314392089844
2015-09-30,124.69034576416016
2015-10-01,125.0689468383789
2015-10-02,127.97798919677734
2015-10-05,129.00303649902344
2015-10-06,126.25103759765625
2015-10-07,126.17715454101562
2015-10-08,123.40670776367188
2015-10-09,125.9278335571289
2015-10-12,127.08216857910156
2015-10-13,128.22735595703125
2015-10-14,127.07295227050781
2015-10-15,128.4489288330078
2015-10-16,129.97274780273438
2015-10-19,131.0439910888672
2015-10-20,131.33026123046875
2015-10-21,126.15872192382812
2015-10-22,119.58341979980469
2015-10-23,122.40009307861328
2015-10-26,122.9449234008789
2015-10-27,126.49116516113281
2015-10-28,125.64154815673828
2015-10-29,125.17979431152344
2015-10-30,123.78533935546875
2015-11-02,123.51750946044922
2015-11-03,121.85520935058594
2015-11-04,119.99896240234375
2015-11-05,122.27078247070312
2015-11-06,122.6494369506836
2015-11-09,122.76948547363281
2015-11-10,123.979248046875
2015-11-11,121.7259292602539
2015-11-12,121.33805084228516
2015-11-13,121.50428771972656
2015-11-16,123.27742767333984
2015-11-17,123.5267562866211
2015-11-18,124.80117797851562
2015-11-19,118.0504150390625
2015-11-20,122.0583724975586
2015-11-23,122.98185729980469
2015-11-24,123.9885025024414
2015-11-25,123.86842346191406
2015-11-27,124.94891357421875
2015-11-30,124.65339660644531
2015-12-01,128.9107208251953
2015-12-02,129.0492401123047
2015-12-03,126.75897979736328
2015-12-04,129.68641662597656
2015-12-07,127.2483901977539
2015-12-08,126.7958755493164
2015-12-09,126.6296615600586
2015-12-10,128.57826232910156
2015-12-11,129.36322021484375
2015-12-14,129.92654418945312
2015-12-15,129.88040161132812
2015-12-16,130.3883056640625
2015-12-17,132.059814453125
2015-12-18,132.9556427001953
2015-12-21,133.41738891601562
2015-12-22,134.507080078125
2015-12-23,135.62452697753906
2015-12-24,135.255126953125
2015-12-28,135.81846618652344
2015-12-29,137.01901245117188
2015-12-30,135.61532592773438
2015-12-31,135.1350555419922
2016-01-04,135.33822631835938
2016-01-05,133.11264038085938
2016-01-06,132.0875244140625
2016-01-07,130.55455017089844
2016-01-08,128.12574768066406
2016-01-11,124.42252349853516
2016-01-12,128.4397430419922
2016-01-13,124.91197204589844
2016-01-14,128.1072540283203
2016-01-15,125.80779266357422
2016-01-19,129.21543884277344
2016-01-20,128.57826232910156
2016-01-21,129.40940856933594
2016-01-22,127.3499984741211
2016-01-25,125.45681762695312
2016-01-26,125.05973815917969
2016-01-27,121.38423156738281
2016-01-28,119.89743041992188
2016-01-29,123.37895965576172
2016-02-01,123.03727722167969
2016-02-02,121.80905151367188
2016-02-03,122.36314392089844
2016-02-04,124.45947265625
2016-02-05,122.8710708618164
2016-02-08,115.39997100830078
2016-02-09,118.3736343383789
2016-02-10,119.59268951416016
2016-02-11,118.20741271972656
2016-02-12,120.33145141601562
2016-02-16,123.91461944580078
2016-02-17,125.45681762695312
2016-02-18,125.27207946777344
2016-02-19,123.69296264648438
2016-02-22,125.9278335571289
2016-02-23,127.29457092285156
2016-02-24,126.74051666259766
2016-02-25,129.58486938476562
2016-02-26,130.44375610351562
2016-02-29,128.92919921875
2016-03-01,127.93183898925781
2016-03-02,129.75108337402344
2016-03-03,129.68641662597656
2016-03-04,128.31045532226562
2016-03-07,129.72340393066406
2016-03-08,129.21543884277344
2016-03-09,129.4095001220703
2016-03-10,131.29393005371094
2016-03-11,133.5940704345703
2016-03-14,134.19456481933594
2016-03-15,132.4578399658203
2016-03-16,131.12767028808594
2016-03-17,127.2940444946289
2016-03-18,128.89212036132812
2016-03-21,127.61734771728516
2016-03-22,128.35638427734375
2016-03-23,127.35871124267578
2016-03-24,127.4326400756836
2016-03-28,127.11851501464844
2016-03-29,127.54344177246094
2016-03-30,126.97996520996094
2016-03-31,126.77676391601562
2016-04-01,126.7028579711914
2016-04-04,130.46255493164062
2016-04-05,125.16017150878906
2016-04-06,124.89228820800781
2016-04-07,121.8069076538086
2016-04-08,120.46747589111328
2016-04-11,121.9824447631836
2016-04-12,125.42809295654297
2016-04-13,126.55506134033203
2016-04-14,124.70750427246094
2016-04-15,126.23175048828125
2016-04-18,126.66587829589844
2016-04-19,129.2062530517578
2016-04-20,130.49948120117188
2016-04-21,129.64041137695312
2016-04-22,131.0075225830078
2016-04-25,129.55723571777344
2016-04-26,129.9544677734375
2016-04-27,128.65194702148438
2016-04-28,129.27088928222656
2016-04-29,127.97762298583984
2016-05-02,127.7374496459961
2016-05-03,127.23861694335938
2016-05-04,124.98465728759766
2016-05-05,124.64287567138672
2016-05-06,120.87393951416016
2016-05-09,121.36351776123047
2016-05-10,122.90619659423828
2016-05-11,120.55985260009766
2016-05-12,118.296630859375
2016-05-13,118.57376861572266
2016-05-16,120.09793853759766
2016-05-17,120.49516296386719
2016-05-18,119.60836791992188
2016-05-19,119.22039794921875
2016-05-20,121.27114868164062
2016-05-23,116.53225708007812
2016-05-24,115.2944107055664
2016-05-25,119.44210052490234
2016-05-26,119.04488372802734
2016-05-27,118.99871063232422
2016-05-31,118.34281921386719
2016-06-01,117.98255157470703
2016-06-02,119.69151306152344
2016-06-03,119.81159973144531
2016-06-06,119.7469482421875
2016-06-07,119.03564453125
2016-06-08,121.16950225830078
2016-06-09,119.39590454101562
2016-06-10,118.31510925292969
2016-06-13,116.8555679321289
2016-06-14,117.65924072265625
2016-06-15,116.91098022460938
2016-06-16,118.87860107421875
2016-06-17,119.62687683105469
2016-06-20,118.0934066772461
2016-06-21,118.0472183227539
2016-06-22,118.14883422851562
2016-06-23,119.8577880859375
2016-06-24,117.97330474853516
2016-06-27,112.78178405761719
2016-06-28,115.6639175415039
2016-06-29,119.0079345703125
2016-06-30,118.23199462890625
2016-07-01,118.49063873291016
2016-07-05,117.0865249633789
2016-07-06,118.51834106445312
2016-07-07,117.31745910644531
2016-07-08,119.71923828125
2016-07-11,118.5830078125
2016-07-12,119.16498565673828
2016-07-13,120.26424407958984
2016-07-14,120.09793853759766
2016-07-15,121.63140106201172
2016-07-18,122.9800796508789
2016-07-19,120.36585235595703
2016-07-20,122.96161651611328
2016-07-21,129.62191772460938
2016-07-22,134.86888122558594
2016-07-25,129.52029418945312
2016-07-26,129.33554077148438
2016-07-27,127.59886932373047
2016-07-28,125.62205505371094
2016-07-29,119.1280288696289
2016-08-01,117.12347412109375
2016-08-02,114.66625213623047
2016-08-03,115.10041809082031
2016-08-04,118.49984741210938
2016-08-05,118.7031021118164
2016-08-08,118.60149383544922
2016-08-09,117.47447204589844
2016-08-10,117.8717041015625
2016-08-11,116.96642303466797
2016-08-12,123.14636993408203
2016-08-15,122.5182113647461
2016-08-16,121.77922821044922
2016-08-17,122.21337890625
2016-08-18,122.50895690917969
2016-08-19,122.86002349853516
2016-08-22,123.18331909179688
2016-08-23,122.86002349853516
2016-08-24,121.35426330566406
2016-08-25,119.54370880126953
2016-08-26,117.91790008544922
2016-08-29,118.69386291503906
2016-08-30,118.44442749023438
2016-08-31,118.48139190673828
2016-09-01,117.90867614746094
2016-09-02,118.40747833251953
2016-09-06,117.85324096679688
2016-09-07,117.0772705078125
