Date,JSWSTEEL.NS
2015-08-21,85.0543212890625
2015-08-24,77.83887481689453
2015-08-25,79.76058959960938
2015-08-26,80.04346466064453
2015-08-27,83.70281219482422
2015-08-28,83.14604949951172
2015-08-31,82.6207275390625
2015-09-01,81.00432586669922
2015-09-02,80.01653289794922
2015-09-03,83.51425170898438
2015-09-04,81.13005828857422
2015-09-07,79.99407196044922
2015-09-08,84.65021514892578
2015-09-09,88.14344787597656
2015-09-10,87.6136245727539
2015-09-11,86.53153991699219
2015-09-14,89.1941146850586
2015-09-15,85.14861297607422
2015-09-16,85.35065460205078
2015-09-18,84.79838562011719
2015-09-21,83.16850280761719
2015-09-22,81.8753890991211
2015-09-23,78.51685333251953
2015-09-24,79.05116271972656
2015-09-28,77.67273712158203
2015-09-29,75.4456787109375
2015-09-30,79.8548812866211
2015-10-01,78.7009506225586
2015-10-05,81.55658721923828
2015-10-06,80.85166931152344
2015-10-07,82.17173767089844
2015-10-08,82.03254699707031
2015-10-09,81.65985870361328
2015-10-12,81.05372619628906
2015-10-13,82.39623260498047
2015-10-14,81.30067443847656
2015-10-15,81.960693359375
2015-10-16,80.54634094238281
2015-10-19,79.9805908203125
2015-10-20,80.24102783203125
2015-10-21,81.37249755859375
2015-10-23,82.21662139892578
2015-10-26,81.6104736328125
2015-10-27,81.82599639892578
2015-10-28,81.87089538574219
2015-10-29,82.75093841552734
2015-10-30,81.74966430664062
2015-11-02,80.45655822753906
2015-11-03,80.24552917480469
2015-11-04,80.11530303955078
2015-11-05,78.28338623046875
2015-11-06,78.44052124023438
2015-11-09,79.57650756835938
2015-11-10,78.36419677734375
2015-11-13,81.76761627197266
2015-11-16,81.39495086669922
2015-11-17,80.33082580566406
2015-11-18,79.53160858154297
2015-11-19,81.27372741699219
2015-11-20,80.38021087646484
2015-11-23,79.91325378417969
2015-11-24,79.62140655517578
2015-11-26,80.17367553710938
2015-11-27,78.3103256225586
2015-11-30,81.31413269042969
2015-12-01,84.74899291992188
2015-12-02,88.11650085449219
2015-12-03,87.7168960571289
2015-12-04,87.16910552978516
2015-12-07,87.3846206665039
2015-12-08,86.27560424804688
2015-12-09,84.57836151123047
2015-12-10,86.26213073730469
2015-12-11,86.91767120361328
2015-12-14,91.64117431640625
2015-12-15,90.99010467529297
2015-12-16,90.59947967529297
2015-12-17,94.09271240234375
2015-12-18,92.22486877441406
2015-12-21,93.96250915527344
2015-12-22,93.19470977783203
2015-12-23,94.42498016357422
2015-12-24,95.66421508789062
2015-12-28,92.41793060302734
2015-12-29,92.99713897705078
2015-12-30,92.26976776123047
2015-12-31,92.69181823730469
2016-01-01,92.22486877441406
2016-01-04,93.8143310546875
2016-01-05,97.26266479492188
2016-01-06,95.02664184570312
2016-01-07,92.16650390625
2016-01-08,93.49554443359375
2016-01-11,91.56484985351562
2016-01-12,91.0754165649414
2016-01-13,90.13251495361328
2016-01-14,90.11007690429688
2016-01-15,87.32626342773438
2016-01-18,88.9875717163086
2016-01-19,89.6700439453125
2016-01-20,91.94200897216797
2016-01-21,92.07670593261719
2016-01-22,95.90668487548828
2016-01-25,99.43134307861328
2016-01-27,100.68854522705078
2016-01-28,98.07984161376953
2016-01-29,94.92337036132812
2016-02-01,94.33966064453125
2016-02-02,90.09659576416016
2016-02-03,87.41157531738281
2016-02-04,90.7611312866211
2016-02-05,93.12736511230469
2016-02-08,93.88616943359375
2016-02-09,89.80026245117188
2016-02-10,91.82524871826172
2016-02-11,89.9439468383789
2016-02-12,90.78356170654297
2016-02-15,93.51799774169922
2016-02-16,92.82653045654297
2016-02-17,94.0657730102539
2016-02-18,94.90092468261719
2016-02-19,97.29857635498047
2016-02-22,99.02273559570312
2016-02-23,100.93549346923828
2016-02-24,99.63337707519531
2016-02-25,101.08367156982422
2016-02-26,98.69947052001953
2016-02-29,101.15550994873047
2016-03-01,102.68212127685547
2016-03-02,101.76615142822266
2016-03-03,104.15034484863281
2016-03-04,106.45372009277344
2016-03-08,106.52555084228516
2016-03-09,105.96878814697266
2016-03-10,106.4941177368164
2016-03-11,106.2831039428711
2016-03-14,106.04511260986328
2016-03-15,107.31130981445312
2016-03-16,107.769287109375
2016-03-17,107.97583770751953
2016-03-18,108.91873931884766
2016-03-21,109.192626953125
2016-03-22,110.4677963256836
2016-03-23,112.1335678100586
2016-03-28,110.17594146728516
2016-03-29,110.71026611328125
2016-03-30,114.1989974975586
2016-03-31,115.2361831665039
2016-04-01,113.38629913330078
2016-04-04,113.1258773803711
2016-04-05,113.09893798828125
2016-04-06,116.08480072021484
2016-04-07,114.70187377929688
2016-04-08,114.35163879394531
2016-04-11,116.7178955078125
2016-04-12,116.5338134765625
2016-04-13,117.95714569091797
2016-04-18,119.81600952148438
2016-04-20,122.27203369140625
2016-04-21,121.19445037841797
2016-04-22,120.62867736816406
2016-04-25,120.79932403564453
2016-04-26,122.84227752685547
2016-04-27,122.36182403564453
2016-04-28,122.88716888427734
2016-04-29,123.313720703125
2016-05-02,122.55937957763672
2016-05-03,121.84099578857422
2016-05-04,118.68901062011719
2016-05-05,118.5273666381836
2016-05-06,118.54532623291016
2016-05-09,119.088623046875
2016-05-10,115.644775390625
2016-05-11,115.96356201171875
2016-05-12,115.18678283691406
2016-05-13,113.92959594726562
2016-05-16,116.34522247314453
2016-05-17,115.84232330322266
2016-05-18,117.57548522949219
2016-05-19,118.55431365966797
2016-05-20,117.18934631347656
2016-05-23,118.40614318847656
2016-05-24,118.5498046875
2016-05-25,116.77175903320312
2016-05-26,118.4420394897461
2016-05-27,123.53372192382812
