Date,GODREJAGRO.NS
2017-10-16,536.781494140625
2017-10-17,529.7072143554688
2017-10-18,540.836669921875
2017-10-19,534.0327758789062
2017-10-23,524.2551879882812
2017-10-24,520.5153198242188
2017-10-25,502.9876403808594
2017-10-26,491.3624572753906
2017-10-27,504.97021484375
2017-10-30,514.8379516601562
2017-10-31,518.3525390625
2017-11-01,516.3248291015625
2017-11-02,511.4585876464844
2017-11-03,513.1708374023438
2017-11-06,494.8320007324219
2017-11-07,491.2273254394531
2017-11-08,493.3901672363281
2017-11-09,491.99334716796875
2017-11-10,494.5166320800781
2017-11-13,485.23455810546875
2017-11-14,476.5382995605469
2017-11-15,477.3043212890625
2017-11-16,479.1066589355469
2017-11-17,485.1895446777344
2017-11-20,492.0382995605469
2017-11-21,502.9425354003906
2017-11-22,501.68096923828125
2017-11-23,494.6518249511719
2017-11-24,495.37274169921875
2017-11-27,490.28106689453125
2017-11-28,488.9293518066406
2017-11-29,485.1895446777344
2017-11-30,498.16632080078125
2017-12-01,500.19403076171875
2017-12-04,499.7434387207031
2017-12-05,492.3537902832031
2017-12-06,489.2898254394531
2017-12-07,488.4338073730469
2017-12-08,493.3901672363281
2017-12-11,492.62420654296875
2017-12-12,498.3465881347656
2017-12-13,494.38140869140625
2017-12-14,492.39892578125
2017-12-15,496.4090270996094
2017-12-18,500.3291931152344
2017-12-19,503.66351318359375
2017-12-20,508.6649169921875
2017-12-21,517.4063720703125
2017-12-22,511.9091491699219
2017-12-26,512.5401000976562
2017-12-27,504.56463623046875
2017-12-28,505.33062744140625
2017-12-29,522.0023193359375
2018-01-01,532.8162841796875
2018-01-02,540.7014770507812
2018-01-03,549.8484497070312
2018-01-04,553.2728881835938
2018-01-05,549.5779418945312
2018-01-08,555.2103271484375
2018-01-09,550.74951171875
2018-01-10,559.9415283203125
2018-01-11,556.9676513671875
2018-01-12,559.4008178710938
2018-01-15,562.3746337890625
2018-01-16,550.5243530273438
2018-01-17,546.1084594726562
2018-01-18,539.7102661132812
2018-01-19,533.9428100585938
2018-01-22,540.4762573242188
2018-01-23,537.3220825195312
2018-01-24,530.1577758789062
2018-01-25,525.111328125
2018-01-29,524.705810546875
2018-01-30,514.8379516601562
2018-01-31,514.0270385742188
2018-02-01,527.0038452148438
2018-02-02,527.6345825195312
2018-02-05,526.6883544921875
2018-02-06,508.16937255859375
2018-02-07,529.0764770507812
2018-02-08,531.4645385742188
2018-02-09,530.0676879882812
2018-02-12,532.6361083984375
2018-02-14,531.6447143554688
2018-02-15,529.0313720703125
2018-02-16,519.7044067382812
2018-02-19,523.1287841796875
2018-02-20,512.4048461914062
2018-02-21,529.8875122070312
2018-02-22,522.9034423828125
2018-02-23,527.22900390625
2018-02-26,544.0358276367188
2018-02-27,545.2974853515625
2018-02-28,545.3876342773438
2018-03-01,589.9954833984375
2018-03-05,601.9810180664062
2018-03-06,602.9723510742188
2018-03-07,588.9141845703125
2018-03-08,584.9039306640625
2018-03-09,592.8792114257812
2018-03-12,583.8675537109375
2018-03-13,607.8836669921875
2018-03-14,628.0698852539062
2018-03-15,619.8693237304688
2018-03-16,601.4403686523438
2018-03-19,570.39501953125
2018-03-20,570.9357299804688
2018-03-21,579.8572998046875
2018-03-22,579.9475708007812
2018-03-23,579.40673828125
2018-03-26,579.8572998046875
2018-03-27,586.4358520507812
2018-03-28,574.7657470703125
2018-04-02,576.1626586914062
2018-04-03,587.201904296875
2018-04-04,591.7978515625
2018-04-05,599.8182373046875
2018-04-06,600.5843505859375
2018-04-09,643.2996215820312
2018-04-10,627.2588500976562
2018-04-11,623.0233154296875
2018-04-12,633.2066040039062
2018-04-13,626.3126831054688
2018-04-16,629.8721923828125
2018-04-17,625.3663330078125
2018-04-18,625.5015258789062
2018-04-19,629.6470336914062
2018-04-20,646.3636474609375
2018-04-23,645.5074462890625
2018-04-24,654.2037963867188
2018-04-25,639.9202270507812
2018-04-26,633.2515869140625
2018-04-27,633.7472534179688
2018-04-30,634.8737182617188
2018-05-02,631.4944458007812
2018-05-03,635.5946655273438
2018-05-04,638.3883056640625
2018-05-07,637.3970336914062
2018-05-08,630.0974731445312
2018-05-09,612.75
2018-05-10,610.3168334960938
2018-05-11,616.6700439453125
2018-05-14,609.9113159179688
2018-05-15,584.3181762695312
2018-05-16,575.8471069335938
2018-05-17,566.9706420898438
2018-05-18,556.8775634765625
2018-05-21,542.8191528320312
2018-05-22,553.9937744140625
2018-05-23,563.8165283203125
2018-05-24,575.5767822265625
2018-05-25,589.1393432617188
2018-05-28,585.7599487304688
2018-05-29,580.35302734375
2018-05-30,582.6060180664062
2018-05-31,571.115966796875
2018-06-01,576.6582641601562
2018-06-04,581.8399658203125
2018-06-05,559.265625
2018-06-06,581.4794311523438
2018-06-07,590.581298828125
2018-06-08,591.5275268554688
2018-06-11,596.8443603515625
2018-06-12,595.3124389648438
2018-06-13,592.6539306640625
2018-06-14,590.8966674804688
2018-06-15,591.392333984375
2018-06-18,597.7455444335938
2018-06-19,588.643798828125
2018-06-20,583.6873168945312
2018-06-21,579.812255859375
2018-06-22,579.5419311523438
2018-06-25,572.242431640625
2018-06-26,565.5287475585938
2018-06-27,549.9835815429688
2018-06-28,552.0562133789062
2018-06-29,558.1392211914062
2018-07-02,562.2395629882812
2018-07-03,556.7874145507812
2018-07-04,550.1639404296875
2018-07-05,548.721923828125
2018-07-06,549.12744140625
2018-07-09,553.8585815429688
2018-07-10,555.5708618164062
2018-07-11,551.9210205078125
2018-07-12,554.89501953125
2018-07-13,549.8934326171875
