Date,BND
2015-08-03,61.84767150878906
2015-08-04,61.636043548583984
2015-08-05,61.53783416748047
2015-08-06,61.575592041015625
2015-08-07,61.70404052734375
2015-08-10,61.575592041015625
2015-08-11,61.80989456176758
2015-08-12,61.78721237182617
2015-08-13,61.658729553222656
2015-08-14,61.636043548583984
2015-08-17,61.74942398071289
2015-08-18,61.636043548583984
2015-08-19,61.85525894165039
2015-08-20,61.90816116333008
2015-08-21,62.006370544433594
2015-08-24,61.991294860839844
2015-08-25,61.78721237182617
2015-08-26,61.52262878417969
2015-08-27,61.605873107910156
2015-08-28,61.636043548583984
2015-08-31,61.55290603637695
2015-09-01,61.7028923034668
2015-09-02,61.657405853271484
2015-09-03,61.7028923034668
2015-09-04,61.85434341430664
2015-09-08,61.7028923034668
2015-09-09,61.68770217895508
2015-09-10,61.55894088745117
2015-09-11,61.68770217895508
2015-09-14,61.7028923034668
2015-09-15,61.44537353515625
2015-09-16,61.40750503540039
2015-09-17,61.75589370727539
2015-09-18,61.9300651550293
2015-09-21,61.7028923034668
2015-09-22,61.816490173339844
2015-09-23,61.816490173339844
2015-09-24,61.839229583740234
2015-09-25,61.72557830810547
2015-09-28,61.88462829589844
2015-09-29,61.9300651550293
2015-09-30,62.0512580871582
2015-10-01,62.08466339111328
2015-10-02,62.31990432739258
2015-10-05,62.077064514160156
2015-10-06,62.16055679321289
2015-10-07,62.16055679321289
2015-10-08,62.061893463134766
2015-10-09,62.054256439208984
2015-10-12,62.16055679321289
2015-10-13,62.19847106933594
2015-10-14,62.426143646240234
2015-10-15,62.304718017578125
2015-10-16,62.2819938659668
2015-10-19,62.2819938659668
2015-10-20,62.183292388916016
2015-10-21,62.297119140625
2015-10-22,62.40337371826172
2015-10-23,62.24403381347656
2015-10-26,62.312313079833984
2015-10-27,62.327484130859375
2015-10-28,62.15296936035156
2015-10-29,61.93288040161133
2015-10-30,62.0694694519043
2015-11-02,61.94704055786133
2015-11-03,61.84059143066406
2015-11-04,61.87858581542969
2015-11-05,61.76454162597656
2015-11-06,61.52120590209961
2015-11-09,61.46793746948242
2015-11-10,61.536373138427734
2015-11-11,61.54398727416992
2015-11-12,61.55160140991211
2015-11-13,61.66566467285156
2015-11-16,61.66566467285156
2015-11-17,61.73408889770508
2015-11-18,61.70369338989258
2015-11-19,61.7873649597168
2015-11-20,61.772151947021484
2015-11-23,61.79492950439453
2015-11-24,61.817752838134766
2015-11-25,61.82537841796875
2015-11-27,61.85578155517578
2015-11-30,61.82537841796875
2015-12-01,62.05931091308594
2015-12-02,61.983097076416016
2015-12-03,61.50299835205078
2015-12-04,61.746910095214844
2015-12-07,61.8535270690918
2015-12-08,61.86879348754883
2015-12-09,61.84593200683594
2015-12-10,61.83832550048828
2015-12-11,62.00597381591797
2015-12-14,61.71643829345703
2015-12-15,61.6478271484375
2015-12-16,61.57924270629883
2015-12-17,61.708770751953125
2015-12-18,61.84593200683594
2015-12-21,61.7773551940918
2015-12-22,61.69354248046875
2015-12-23,61.70119094848633
2015-12-24,61.74705505371094
2015-12-28,61.74705505371094
2015-12-29,61.55596160888672
2015-12-30,61.59417724609375
2015-12-31,61.71647644042969
2016-01-04,61.68590545654297
2016-01-05,61.76231002807617
2016-01-06,62.03745651245117
2016-01-07,62.045082092285156
2016-01-08,62.1214714050293
2016-01-11,61.861629486083984
2016-01-12,62.02211380004883
2016-01-13,62.174983978271484
2016-01-14,62.09855270385742
2016-01-15,62.205543518066406
2016-01-19,62.12915802001953
2016-01-20,62.19789123535156
2016-01-21,62.1596794128418
2016-01-22,62.13676834106445
2016-01-25,62.13676834106445
2016-01-26,62.22850036621094
2016-01-27,62.22850036621094
2016-01-28,62.274322509765625
2016-01-29,62.457733154296875
2016-02-01,62.330589294433594
2016-02-02,62.54505157470703
2016-02-03,62.59098434448242
2016-02-04,62.63692092895508
2016-02-05,62.57565689086914
2016-02-08,62.843692779541016
2016-02-09,62.836063385009766
2016-02-10,62.966270446777344
2016-02-11,63.00453567504883
2016-02-12,62.797752380371094
2016-02-16,62.705875396728516
2016-02-17,62.69057083129883
2016-02-18,62.904972076416016
2016-02-19,62.82071304321289
2016-02-22,62.836063385009766
2016-02-23,62.87432861328125
2016-02-24,62.92026901245117
2016-02-25,63.0121955871582
2016-02-26,62.9509162902832
2016-02-29,62.98923110961914
2016-03-01,62.77816390991211
2016-03-02,62.73982620239258
2016-03-03,62.77052688598633
2016-03-04,62.73982620239258
2016-03-07,62.724430084228516
2016-03-08,62.931617736816406
2016-03-09,62.82420349121094
2016-03-10,62.79352569580078
2016-03-11,62.70911407470703
2016-03-14,62.84727478027344
2016-03-15,62.7858772277832
2016-03-16,63.03142166137695
2016-03-17,63.16954040527344
2016-03-18,63.22323226928711
2016-03-21,63.10816192626953
2016-03-22,63.09282684326172
2016-03-23,63.230953216552734
2016-03-24,63.15422058105469
2016-03-28,63.18489074707031
2016-03-29,63.445796966552734
2016-03-30,63.42277908325195
2016-03-31,63.545536041259766
2016-04-01,63.61708450317383
2016-04-04,63.61708450317383
2016-04-05,63.7324333190918
2016-04-06,63.70162582397461
2016-04-07,63.90925979614258
2016-04-08,63.855438232421875
2016-04-11,63.84775161743164
2016-04-12,63.7477912902832
2016-04-13,63.78623580932617
2016-04-14,63.7324333190918
2016-04-15,63.87853240966797
2016-04-18,63.855438232421875
2016-04-19,63.8939208984375
2016-04-20,63.71702194213867
2016-04-21,63.64011764526367
2016-04-22,63.61708450317383
2016-04-25,63.54013442993164
2016-04-26,63.44795227050781
2016-04-27,63.64011764526367
