Date,BOSCHLTD.NS
2015-08-03,22878.369140625
2015-08-04,23471.63671875
2015-08-05,23773.556640625
2015-08-06,23862.326171875
2015-08-07,23535.771484375
2015-08-10,23527.591796875
2015-08-11,24027.48046875
2015-08-12,23043.025390625
2015-08-13,22543.859375
2015-08-14,22949.05859375
2015-08-17,22804.564453125
2015-08-18,22954.435546875
2015-08-19,22954.529296875
2015-08-20,22512.32421875
2015-08-21,21878.609375
2015-08-24,20460.025390625
2015-08-25,20769.900390625
2015-08-26,20591.72265625
2015-08-27,20972.20703125
2015-08-28,21468.783203125
2015-08-31,21051.703125
2015-09-01,20646.095703125
2015-09-02,20341.6171875
2015-09-03,20096.91015625
2015-09-04,19790.306640625
2015-09-07,19188.150390625
2015-09-08,19635.34375
2015-09-09,19622.419921875
2015-09-10,19943.71875
2015-09-11,19891.794921875
2015-09-14,20229.107421875
2015-09-15,20053.6015625
2015-09-16,19719.556640625
2015-09-18,19844.494140625
2015-09-21,19586.7265625
2015-09-22,18963.943359375
2015-09-23,18381.19921875
2015-09-24,18418.064453125
2015-09-28,18223.431640625
2015-09-29,17739.412109375
2015-09-30,17583.681640625
2015-10-01,17510.76171875
2015-10-05,18363.05859375
2015-10-06,18782.455078125
2015-10-07,19431.2265625
2015-10-08,19379.888671875
2015-10-09,19293.0
2015-10-12,19142.123046875
2015-10-13,19252.2265625
2015-10-14,19215.5
2015-10-15,19167.697265625
2015-10-16,19092.193359375
2015-10-19,19166.97265625
2015-10-20,19557.115234375
2015-10-21,19720.91796875
2015-10-23,19721.142578125
2015-10-26,19520.19921875
2015-10-27,19613.12109375
2015-10-28,19176.31640625
2015-10-29,19108.015625
2015-10-30,18554.798828125
2015-11-02,18613.07421875
2015-11-03,18774.8359375
2015-11-04,18379.4375
2015-11-05,18042.4375
2015-11-06,17564.13671875
2015-11-09,17521.189453125
2015-11-10,17326.00390625
2015-11-13,17220.884765625
2015-11-16,17375.80078125
2015-11-17,17594.65625
2015-11-18,17355.755859375
2015-11-19,17414.2578125
2015-11-20,17277.931640625
2015-11-23,17245.60546875
2015-11-24,16721.087890625
2015-11-26,16731.33984375
2015-11-27,17108.689453125
2015-11-30,16980.349609375
2015-12-01,16953.546875
2015-12-02,16864.44140625
2015-12-03,16773.6015625
2015-12-04,16667.208984375
2015-12-07,16775.779296875
2015-12-08,16787.791015625
2015-12-09,16636.099609375
2015-12-10,16864.1171875
2015-12-11,16527.16796875
2015-12-14,16518.099609375
2015-12-15,17088.099609375
2015-12-16,16977.265625
2015-12-17,16635.552734375
2015-12-18,16521.37109375
2015-12-21,16586.537109375
2015-12-22,16358.5185546875
2015-12-23,16523.044921875
2015-12-24,16512.0234375
2015-12-28,16698.365234375
2015-12-29,16824.482421875
2015-12-30,16846.5234375
2015-12-31,16913.544921875
2016-01-01,17413.439453125
2016-01-04,17065.650390625
2016-01-05,16899.716796875
2016-01-06,16980.484375
2016-01-07,16604.265625
2016-01-08,16528.66796875
2016-01-11,16424.18359375
2016-01-12,16445.451171875
2016-01-13,16327.5458984375
2016-01-14,16371.6162109375
2016-01-15,16205.6865234375
2016-01-18,16184.3740234375
2016-01-19,16335.7470703125
2016-01-20,16234.078125
2016-01-21,15850.236328125
2016-01-22,15694.5068359375
2016-01-25,15859.5341796875
2016-01-27,15676.27734375
2016-01-28,15379.0107421875
2016-01-29,15868.6923828125
2016-02-01,15589.7509765625
2016-02-02,15430.482421875
2016-02-03,15187.0888671875
2016-02-04,15399.6865234375
2016-02-05,14592.693359375
2016-02-08,14870.3671875
2016-02-09,14833.2705078125
2016-02-10,14859.9833984375
2016-02-11,14738.6279296875
2016-02-12,14464.98828125
2016-02-15,14917.4423828125
2016-02-16,14700.6240234375
2016-02-17,14639.62890625
2016-02-18,14856.8994140625
2016-02-19,15241.1015625
2016-02-22,15704.3017578125
2016-02-23,15281.0986328125
2016-02-24,14983.697265625
2016-02-25,14815.810546875
2016-02-26,15156.8876953125
2016-02-29,15179.8798828125
2016-03-01,15441.498046875
2016-03-02,15306.26953125
2016-03-03,15679.9521484375
2016-03-04,15653.01171875
2016-03-08,15819.0810546875
2016-03-09,16265.048828125
2016-03-10,16215.2978515625
2016-03-11,16340.6494140625
2016-03-14,16317.701171875
2016-03-15,16442.455078125
2016-03-16,16355.296875
2016-03-17,16512.482421875
2016-03-18,17027.966796875
2016-03-21,17550.986328125
2016-03-22,18296.396484375
2016-03-23,18337.12109375
2016-03-28,18545.3203125
2016-03-29,18672.4375
2016-03-30,18804.859375
2016-03-31,18851.384765625
2016-04-01,18038.765625
2016-04-04,18214.3125
2016-04-05,17971.23828125
2016-04-06,17448.673828125
2016-04-07,17156.806640625
2016-04-08,17226.822265625
2016-04-11,18125.611328125
2016-04-12,18114.908203125
2016-04-13,18166.201171875
2016-04-18,18194.859375
2016-04-20,18129.009765625
2016-04-21,17951.966796875
2016-04-22,17947.5703125
2016-04-25,17999.40234375
2016-04-26,18467.318359375
2016-04-27,18346.1015625
2016-04-28,18093.498046875
2016-04-29,17835.1015625
2016-05-02,17781.087890625
2016-05-03,17628.580078125
2016-05-04,17491.212890625
2016-05-05,17318.521484375
2016-05-06,17348.908203125
2016-05-09,18113.544921875
2016-05-10,17864.8515625
2016-05-11,18181.662109375
2016-05-12,18979.044921875
2016-05-13,18753.111328125
2016-05-16,19376.626953125
2016-05-17,19594.029296875
2016-05-18,19094.7734375
2016-05-19,19036.05078125
2016-05-20,19091.78125
2016-05-23,19098.814453125
2016-05-24,19247.876953125
2016-05-25,19858.46484375
2016-05-26,19788.171875
2016-05-27,19905.763671875
2016-05-30,20150.83203125
2016-05-31,20269.060546875
2016-06-01,20195.8203125
2016-06-02,20021.359375
2016-06-03,20198.1328125
2016-06-06,20127.705078125
2016-06-07,20278.76171875
2016-06-08,20175.640625
2016-06-09,19847.9140625
2016-06-10,19568.26171875
2016-06-13,19664.318359375
2016-06-14,19867.490234375
2016-06-15,19922.52734375
2016-06-16,19875.63671875
2016-06-17,20099.205078125
2016-06-20,20113.359375
2016-06-21,20013.255859375
2016-06-22,19789.142578125
2016-06-23,19894.34765625
2016-06-24,19265.349609375
2016-06-27,19056.806640625
2016-06-28,19596.4453125
2016-06-29,20655.13671875
2016-06-30,20621.041015625
2016-07-01,20653.408203125
2016-07-04,20257.08203125
2016-07-05,20520.75
2016-07-07,20694.423828125
2016-07-08,20748.869140625
2016-07-11,21289.962890625
2016-07-12,21355.060546875
2016-07-13,21158.9453125
2016-07-14,21331.34765625
2016-07-15,21767.18359375
2016-07-18,21881.5
2016-07-19,22206.71875
2016-07-20,22669.650390625
2016-07-21,22332.634765625
2016-07-22,22138.75
