Date,TEL2-B.ST
2015-08-24,46.11211395263672
2015-08-25,48.313446044921875
2015-08-26,47.56034851074219
2015-08-27,48.92170715332031
2015-08-28,49.03756332397461
2015-08-31,48.45826721191406
2015-09-01,47.12588119506836
2015-09-02,47.24174118041992
2015-09-03,48.60309600830078
2015-09-04,47.90793228149414
2015-09-07,48.2265510559082
2015-09-08,48.80584716796875
2015-09-09,48.80584716796875
2015-09-10,48.3424072265625
2015-09-11,47.994834899902344
2015-09-14,46.69142150878906
2015-09-15,46.343833923339844
2015-09-16,46.69142150878906
2015-09-17,47.328636169433594
2015-09-18,46.66244125366211
2015-09-21,46.923126220703125
2015-09-22,46.083152770996094
2015-09-23,46.227970123291016
2015-09-24,45.35903549194336
2015-09-25,46.54658889770508
2015-09-28,45.27212905883789
2015-09-29,45.6486701965332
2015-09-30,47.18381881713867
2015-10-01,45.996253967285156
2015-10-02,44.750770568847656
2015-10-05,45.93832778930664
2015-10-06,45.793495178222656
2015-10-07,45.996253967285156
2015-10-08,45.4459228515625
2015-10-09,45.93832778930664
2015-10-12,45.6486701965332
2015-10-13,45.040409088134766
2015-10-14,43.88182067871094
2015-10-15,43.997676849365234
2015-10-16,44.6348991394043
2015-10-19,44.34526443481445
2015-10-20,45.09833908081055
2015-10-21,47.357608795166016
2015-10-22,48.7479133605957
2015-10-23,49.3851432800293
2015-10-26,49.55893325805664
2015-10-27,49.03756332397461
2015-10-28,49.21135330200195
2015-10-29,49.095497131347656
2015-10-30,49.529964447021484
2015-11-02,49.55893325805664
2015-11-03,49.96444320678711
2015-11-04,51.06510543823242
2015-11-05,50.22513198852539
2015-11-06,50.427886962890625
2015-11-09,49.79065704345703
2015-11-10,49.529964447021484
2015-11-11,49.29825210571289
2015-11-12,48.66101837158203
2015-11-13,48.66101837158203
2015-11-16,48.66101837158203
2015-11-17,49.84857940673828
2015-11-18,49.443077087402344
2015-11-19,49.84857940673828
2015-11-20,50.746498107910156
2015-11-23,50.94923782348633
2015-11-24,49.84857940673828
2015-11-25,49.90652084350586
2015-11-26,50.68856430053711
2015-11-27,50.891319274902344
2015-11-30,50.891319274902344
2015-12-01,51.06510543823242
2015-12-02,51.2389030456543
2015-12-03,50.13823318481445
2015-12-04,49.443077087402344
2015-12-07,49.443077087402344
2015-12-08,49.3851432800293
2015-12-09,48.3424072265625
2015-12-10,48.16862106323242
2015-12-11,47.38656234741211
2015-12-14,47.38656234741211
2015-12-15,48.05275344848633
2015-12-16,48.16862106323242
2015-12-17,48.83481979370117
2015-12-18,47.29967498779297
2015-12-21,47.29967498779297
2015-12-22,47.096920013427734
2015-12-23,48.83481979370117
2015-12-28,48.83481979370117
2015-12-29,49.443077087402344
2015-12-30,49.095497131347656
2016-01-04,47.96587371826172
2016-01-05,48.255516052246094
2016-01-07,46.807273864746094
2016-01-08,46.894168853759766
2016-01-11,46.83623123168945
2016-01-12,45.73556900024414
2016-01-13,46.31486129760742
2016-01-14,45.59074401855469
2016-01-15,44.80868911743164
2016-01-18,44.54800796508789
2016-01-19,44.982479095458984
2016-01-20,43.36044692993164
2016-01-21,43.765960693359375
2016-01-22,45.59074401855469
2016-01-25,45.793495178222656
2016-01-26,46.11211395263672
2016-01-27,46.141075134277344
2016-01-28,40.956356048583984
2016-01-29,41.10118865966797
2016-02-01,40.232234954833984
2016-02-02,39.508121490478516
2016-02-03,38.69709777832031
2016-02-04,39.39226150512695
2016-02-05,40.14533996582031
2016-02-08,39.39226150512695
2016-02-09,38.78398513793945
2016-02-10,39.10261154174805
2016-02-11,38.23366165161133
2016-02-12,39.39226150512695
2016-02-15,40.37705993652344
2016-02-16,39.971561431884766
2016-02-17,41.767372131347656
2016-02-18,41.50669479370117
2016-02-19,40.84049606323242
2016-02-22,41.622554779052734
2016-02-23,40.84049606323242
2016-02-24,39.73983383178711
2016-02-25,40.695674896240234
2016-02-26,40.869476318359375
2016-02-29,41.188079833984375
2016-03-01,42.02806091308594
2016-03-02,42.49150466918945
2016-03-03,42.75218963623047
2016-03-04,43.505271911621094
