Date,CAP.PA
2015-08-24,64.78877258300781
2015-08-25,66.39875793457031
2015-08-26,66.09369659423828
2015-08-27,68.02567291259766
2015-08-28,67.89009094238281
2015-08-31,67.89009094238281
2015-09-01,66.24622344970703
2015-09-02,65.50055694580078
2015-09-03,66.898681640625
2015-09-04,64.94129943847656
2015-09-07,65.60222625732422
2015-09-08,66.09369659423828
2015-09-09,67.38168334960938
2015-09-10,67.09358978271484
2015-09-11,66.09369659423828
2015-09-14,66.14453125
2015-09-15,67.09358978271484
2015-09-16,68.28834533691406
2015-09-17,68.97471618652344
2015-09-18,67.77993774414062
2015-09-21,68.72896575927734
2015-09-22,66.44111633300781
2015-09-23,66.77157592773438
2015-09-24,65.5344467163086
2015-09-25,67.50878143310547
2015-09-28,66.52584838867188
2015-09-29,65.70391845703125
2015-09-30,67.46642303466797
2015-10-01,66.9580078125
2015-10-02,66.42416381835938
2015-10-05,68.56797790527344
2015-10-06,68.13582611083984
2015-10-07,67.2630386352539
2015-10-08,67.06816101074219
2015-10-09,64.61083221435547
2015-10-12,63.39063262939453
2015-10-13,64.6531982421875
2015-10-14,64.97518920898438
2015-10-15,65.97506713867188
2015-10-16,66.0767593383789
2015-10-19,66.65296173095703
2015-10-20,66.44111633300781
2015-10-21,66.4749984741211
2015-10-22,67.61046600341797
2015-10-23,69.86442565917969
2015-10-26,69.71190643310547
2015-10-27,68.46630096435547
2015-10-28,68.16124725341797
2015-10-29,70.26268005371094
2015-10-30,68.66119384765625
2015-11-02,69.37296295166016
2015-11-03,68.94082641601562
2015-11-04,68.82218170166016
2015-11-05,69.41534423828125
2015-11-06,69.652587890625
2015-11-09,68.61882019042969
2015-11-10,67.83926391601562
2015-11-11,69.17807006835938
2015-11-12,69.19502258300781
2015-11-13,68.80523681640625
2015-11-16,68.61882019042969
2015-11-17,71.16935729980469
2015-11-18,70.51689910888672
2015-11-19,71.4913558959961
2015-11-20,70.95752716064453
2015-11-23,71.20326232910156
2015-11-24,69.652587890625
2015-11-25,71.45745849609375
2015-11-26,71.49983215332031
2015-11-27,72.0760269165039
2015-11-30,73.99105834960938
2015-12-01,73.83853149414062
2015-12-02,73.9825668334961
2015-12-03,72.73696899414062
2015-12-04,73.21147155761719
2015-12-07,74.0334243774414
2015-12-08,73.20301818847656
2015-12-09,72.41497039794922
2015-12-10,72.60986328125
2015-12-11,71.31340026855469
2015-12-14,70.8727798461914
2015-12-15,72.99964904785156
2015-12-16,72.20313262939453
2015-12-17,73.22842407226562
2015-12-18,72.43191528320312
2015-12-21,71.22019958496094
2015-12-22,70.85584259033203
2015-12-23,71.56761169433594
2015-12-24,71.20326232910156
2015-12-28,71.29645538330078
2015-12-29,72.98269653320312
2015-12-30,72.88101959228516
2016-01-04,70.20338439941406
2016-01-05,70.68636322021484
2016-01-06,70.16100311279297
2016-01-07,68.90692901611328
2016-01-08,67.66132354736328
2016-01-11,68.3646240234375
2016-01-12,70.16100311279297
2016-01-13,69.652587890625
2016-01-14,68.98319244384766
2016-01-15,66.64449310302734
2016-01-18,66.37333679199219
2016-01-19,68.02567291259766
2016-01-20,66.52584838867188
2016-01-21,68.43240356445312
2016-01-22,70.3643798828125
2016-01-25,71.47441101074219
2016-01-26,71.5930404663086
2016-01-27,71.24562072753906
2016-01-28,68.83065795898438
2016-01-29,71.24562072753906
2016-02-01,72.09297180175781
2016-02-02,70.67789459228516
2016-02-03,69.99153900146484
2016-02-04,69.40685272216797
2016-02-05,67.02579498291016
2016-02-08,62.35685348510742
2016-02-09,62.153499603271484
2016-02-10,62.365333557128906
2016-02-11,58.44208526611328
2016-02-12,58.645450592041016
2016-02-15,61.060401916503906
2016-02-16,60.433372497558594
2016-02-17,61.560359954833984
2016-02-18,64.2888412475586
2016-02-19,64.21257019042969
2016-02-22,65.02603149414062
2016-02-23,63.66178894042969
2016-02-24,62.50938415527344
2016-02-25,63.83974838256836
2016-02-26,64.55998229980469
2016-02-29,64.99213409423828
2016-03-01,65.92424011230469
2016-03-02,66.610595703125
2016-03-03,65.18702697753906
2016-03-04,65.54291534423828
2016-03-07,65.00061798095703
2016-03-08,64.03461456298828
2016-03-09,64.72945404052734
2016-03-10,64.74640655517578
2016-03-11,66.27164459228516
2016-03-14,67.14441680908203
2016-03-15,66.74616241455078
2016-03-16,66.32247924804688
2016-03-17,66.0767593383789
2016-03-18,67.06816101074219
2016-03-21,66.81395721435547
2016-03-22,67.5935287475586
2016-03-23,68.77134704589844
2016-03-24,68.30529022216797
2016-03-29,69.53396606445312
2016-03-30,71.22019958496094
2016-03-31,69.9745864868164
2016-04-01,69.94916534423828
2016-04-04,70.13558197021484
2016-04-05,68.75438690185547
2016-04-06,68.29682159423828
2016-04-07,67.72909545898438
2016-04-08,67.94940948486328
2016-04-11,68.10194396972656
2016-04-12,67.62741088867188
2016-04-13,69.2627944946289
2016-04-14,69.22891235351562
2016-04-15,68.04261779785156
2016-04-18,68.02567291259766
2016-04-19,69.10182189941406
2016-04-20,67.68672180175781
2016-04-21,67.19525909423828
2016-04-22,66.9580078125
2016-04-25,66.68684387207031
2016-04-26,66.58516693115234
2016-04-27,70.86431121826172
2016-04-28,70.17794799804688
2016-04-29,69.08486938476562
2016-05-02,69.18655395507812
2016-05-03,68.61034393310547
2016-05-04,67.64436340332031
2016-05-05,67.31388092041016
2016-05-06,66.84783935546875
2016-05-09,68.74591827392578
2016-05-10,69.01705932617188
2016-05-11,69.19502258300781
2016-05-12,68.51713562011719
2016-05-13,69.0594482421875
2016-05-16,68.34767150878906
