Date,INCH.L
2015-08-24,691.3336181640625
2015-08-25,714.7601928710938
2015-08-26,707.2836303710938
2015-08-27,722.7352294921875
2015-08-28,728.2181396484375
2015-09-01,709.77587890625
2015-09-02,712.26806640625
2015-09-03,724.2306518554688
2015-09-04,700.803955078125
2015-09-07,691.83203125
2015-09-08,699.308837890625
2015-09-09,706.286865234375
2015-09-10,698.8101806640625
2015-09-11,700.3055419921875
2015-09-14,708.779052734375
2015-09-15,712.7665405273438
2015-09-16,731.208740234375
2015-09-17,734.1992797851562
2015-09-18,731.208740234375
2015-09-21,723.2337036132812
2015-09-22,703.2962646484375
2015-09-23,707.2836303710938
2015-09-24,703.7945556640625
2015-09-25,716.2554931640625
2015-09-28,710.7727661132812
2015-09-29,701.8008422851562
2015-09-30,716.7539672851562
2015-10-01,732.2056884765625
2015-10-02,728.2181396484375
2015-10-05,742.6727294921875
2015-10-06,750.6476440429688
2015-10-07,741.177490234375
2015-10-08,745.663330078125
2015-10-09,738.1868286132812
2015-10-12,737.18994140625
2015-10-13,728.7166137695312
2015-10-14,720.2431030273438
2015-10-15,722.2367553710938
2015-10-16,730.2117919921875
2015-10-19,739.1837768554688
2015-10-20,745.663330078125
2015-10-21,762.1118774414062
2015-10-22,785.0401000976562
2015-10-23,807.4697265625
2015-10-26,799.4947509765625
2015-10-27,794.51025390625
2015-10-28,794.51025390625
2015-10-29,794.51025390625
2015-10-30,797.0023803710938
2015-11-02,797.5009765625
2015-11-03,794.51025390625
2015-11-04,790.0244750976562
2015-11-05,792.0181274414062
2015-11-06,794.51025390625
2015-11-09,789.5259399414062
2015-11-10,779.058837890625
2015-11-11,785.53857421875
2015-11-12,778.06201171875
2015-11-13,770.0869140625
2015-11-16,771.0838012695312
2015-11-17,782.5477294921875
2015-11-18,783.0462646484375
2015-11-19,787.0338134765625
2015-11-20,785.0401000976562
2015-11-23,781.0525512695312
2015-11-24,765.1024780273438
2015-11-25,775.5697021484375
2015-11-26,780.0556030273438
2015-11-27,779.058837890625
2015-11-30,784.043212890625
2015-12-01,783.0462646484375
2015-12-02,778.560302734375
2015-12-03,775.0712890625
2015-12-04,776.0680541992188
2015-12-07,773.5758666992188
2015-12-08,759.1212158203125
2015-12-09,753.6383056640625
2015-12-10,741.177490234375
2015-12-11,736.69140625
2015-12-14,731.7071533203125
2015-12-15,752.6414184570312
2015-12-16,748.6541137695312
2015-12-17,764.60400390625
2015-12-18,757.1275024414062
2015-12-21,752.6414184570312
2015-12-22,754.13671875
2015-12-23,767.0962524414062
2015-12-24,772.5790405273438
2015-12-29,778.560302734375
2015-12-30,783.5446166992188
2015-12-31,782.5477294921875
2016-01-04,762.6102905273438
2016-01-05,774.0745849609375
2016-01-06,768.591552734375
2016-01-07,743.1710815429688
2016-01-08,739.6821899414062
2016-01-11,732.7040405273438
2016-01-12,739.6821899414062
2016-01-13,729.7135009765625
2016-01-14,715.7572021484375
2016-01-15,703.2962646484375
2016-01-18,704.79150390625
2016-01-19,718.7477416992188
2016-01-20,701.302490234375
2016-01-21,713.2650756835938
2016-01-22,740.1806030273438
2016-01-25,737.6883544921875
2016-01-26,730.7101440429688
2016-01-27,719.2462768554688
2016-01-28,712.26806640625
2016-01-29,715.2587890625
2016-02-01,719.2462768554688
2016-02-02,708.2805786132812
2016-02-03,686.3492431640625
2016-02-04,692.8287963867188
2016-02-05,686.3492431640625
2016-02-08,665.913330078125
2016-02-09,663.9195556640625
2016-02-10,673.8883666992188
2016-02-11,660.4304809570312
2016-02-12,670.3993530273438
2016-02-15,688.8414306640625
2016-02-16,682.860107421875
2016-02-17,714.7601928710938
2016-02-18,718.7477416992188
2016-02-19,718.7477416992188
2016-02-22,721.2399291992188
2016-02-23,716.7539672851562
2016-02-24,706.7852783203125
2016-02-25,732.7040405273438
2016-02-26,738.1868286132812
2016-02-29,736.69140625
2016-03-01,751.64453125
2016-03-02,720.7415161132812
2016-03-03,713.7633056640625
2016-03-04,714.2617797851562
2016-03-07,709.77587890625
2016-03-08,711.7695922851562
2016-03-09,711.2711791992188
2016-03-10,700.803955078125
2016-03-11,696.3180541992188
2016-03-14,707.7821655273438
2016-03-15,722.7352294921875
2016-03-16,722.2367553710938
2016-03-17,725.2274169921875
2016-03-18,739.1837768554688
2016-03-21,727.2213134765625
2016-03-22,719.74462890625
2016-03-23,720.2431030273438
2016-03-24,710.2742919921875
2016-03-29,714.2617797851562
2016-03-30,723.2337036132812
2016-03-31,721.2399291992188
2016-04-01,697.31494140625
2016-04-04,696.3180541992188
2016-04-05,683.8569946289062
2016-04-06,679.37109375
2016-04-07,678.3743286132812
2016-04-08,680.8663940429688
2016-04-11,683.3587036132812
2016-04-12,682.860107421875
2016-04-13,714.2617797851562
2016-04-14,709.77587890625
2016-04-15,701.8008422851562
2016-04-18,692.3303833007812
2016-04-19,694.3244018554688
2016-04-20,694.3244018554688
2016-04-21,694.8225708007812
2016-04-22,682.860107421875
2016-04-25,686.3492431640625
2016-04-26,684.3555908203125
2016-04-27,688.343017578125
2016-04-28,686.847900390625
2016-04-29,675.3836059570312
2016-05-03,674.8851318359375
2016-05-04,676.3805541992188
2016-05-05,666.4118041992188
2016-05-06,677.8759155273438
2016-05-09,680.3681030273438
2016-05-10,682.860107421875
2016-05-11,682.36181640625
2016-05-12,666.91015625
2016-05-13,684.8538818359375
2016-05-16,699.8070678710938
2016-05-17,705.2898559570312
2016-05-18,703.2962646484375
2016-05-19,710.2742919921875
2016-05-20,718.7477416992188
2016-05-23,722.2367553710938
2016-05-24,723.2337036132812
2016-05-25,710.7727661132812
2016-05-26,688.977783203125
2016-05-27,693.464599609375
2016-05-31,679.0068969726562
2016-06-01,674.0216674804688
2016-06-02,677.0127563476562
2016-06-03,673.523193359375
2016-06-06,680.0040893554688
2016-06-07,685.488037109375
2016-06-08,674.0216674804688
2016-06-09,675.0186157226562
2016-06-10,662.5553588867188
2016-06-13,649.0947875976562
2016-06-14,640.6196899414062
2016-06-15,646.1034545898438
2016-06-16,629.1531982421875
2016-06-17,633.1415405273438
2016-06-20,664.0509643554688
2016-06-21,658.5670166015625
2016-06-22,662.5553588867188
2016-06-23,679.5054321289062
2016-06-24,626.162109375
2016-06-27,579.2996215820312
2016-06-28,607.7161865234375
2016-06-29,629.65185546875
2016-06-30,626.162109375
2016-07-01,637.1298828125
2016-07-04,632.64306640625
2016-07-05,625.6635131835938
2016-07-06,625.1650390625
2016-07-07,640.12109375
2016-07-08,684.9894409179688
2016-07-11,685.488037109375
2016-07-12,701.441162109375
2016-07-13,694.9600830078125
2016-07-14,692.4674072265625
2016-07-15,693.464599609375
2016-07-18,696.4556884765625
2016-07-19,692.9659423828125
2016-07-20,698.449951171875
2016-07-21,697.9513549804688
2016-07-22,696.4556884765625
2016-07-25,709.9163208007812
2016-07-26,699.4470825195312
2016-07-27,717.3944091796875
2016-07-28,666.0450439453125
2016-07-29,672.0274658203125
2016-08-01,673.523193359375
2016-08-02,675.0186157226562
2016-08-03,673.024658203125
2016-08-04,682.0689086914062
2016-08-05,698.5223999023438
2016-08-08,705.5025634765625
2016-08-09,703.0097045898438
2016-08-10,707.496826171875
2016-08-11,711.9842529296875
2016-08-12,714.4771728515625
2016-08-15,714.975830078125
2016-08-16,711.4855346679688
2016-08-17,708.4940795898438
2016-08-18,711.9842529296875
2016-08-19,711.4855346679688
2016-08-22,712.9814453125
2016-08-23,717.4688110351562
2016-08-24,718.9644775390625
2016-08-25,706.0011596679688
2016-08-26,703.50830078125
2016-08-30,703.0097045898438
2016-08-31,699.5196533203125
2016-09-01,702.0125732421875
2016-09-02,712.4827880859375
2016-09-05,708.9927368164062
2016-09-06,713.9786376953125
2016-09-07,711.4855346679688
2016-09-08,709.9899291992188
2016-09-09,677.58154296875
2016-09-12,669.1055908203125
2016-09-13,671.5986328125
2016-09-14,671.5986328125
2016-09-15,671.1000366210938
2016-09-16,672.09716796875
2016-09-19,669.604248046875
2016-09-20,668.6071166992188
2016-09-21,670.6014404296875
2016-09-22,664.618408203125
2016-09-23,666.1141357421875
2016-09-26,655.6439208984375
2016-09-27,635.2015991210938
2016-09-28,656.6409301757812
2016-09-29,660.629638671875
