Date,BWY.L
2015-08-24,2290.798828125
2015-08-25,2413.306640625
2015-08-26,2372.47021484375
2015-08-27,2428.246337890625
2015-08-28,2479.04296875
2015-09-01,2433.2265625
2015-09-02,2460.118408203125
2015-09-03,2490.994873046875
2015-09-04,2483.0263671875
2015-09-07,2457.13037109375
2015-09-08,2486.0146484375
2015-09-09,2531.831298828125
2015-09-10,2574.658203125
2015-09-11,2577.64697265625
2015-09-14,2580.634765625
2015-09-15,2554.73876953125
2015-09-16,2547.767333984375
2015-09-17,2537.806640625
2015-09-18,2519.879150390625
2015-09-21,2524.859130859375
2015-09-22,2473.066162109375
2015-09-23,2517.886962890625
2015-09-24,2515.89501953125
2015-09-25,2569.67919921875
2015-09-28,2551.75048828125
2015-09-29,2446.1748046875
2015-09-30,2476.0546875
2015-10-01,2515.89501953125
2015-10-02,2448.167236328125
2015-10-05,2490.994873046875
2015-10-06,2512.906982421875
2015-10-07,2425.2587890625
2015-10-08,2424.262939453125
2015-10-09,2379.44287109375
2015-10-12,2360.518798828125
2015-10-13,2445.178466796875
2015-10-14,2401.355224609375
2015-10-15,2432.23095703125
2015-10-16,2445.178466796875
2015-10-19,2484.023193359375
2015-10-20,2524.859130859375
2015-10-21,2550.7548828125
2015-10-22,2536.810791015625
2015-10-23,2604.538330078125
2015-10-26,2610.514892578125
2015-10-27,2571.670654296875
2015-10-28,2565.6943359375
2015-10-29,2563.702880859375
2015-10-30,2585.61474609375
2015-11-02,2588.602783203125
2015-11-03,2515.89501953125
2015-11-04,2441.19482421875
2015-11-05,2507.927001953125
2015-11-06,2483.0263671875
2015-11-09,2451.15478515625
2015-11-10,2447.1708984375
2015-11-11,2438.20654296875
2015-11-12,2372.47021484375
2015-11-13,2355.53857421875
2015-11-16,2396.375244140625
2015-11-17,2445.178466796875
2015-11-18,2442.19091796875
2015-11-19,2427.250732421875
2015-11-20,2427.250732421875
2015-11-23,2405.339111328125
2015-11-24,2395.37890625
2015-11-25,2463.107177734375
2015-11-26,2496.970703125
2015-11-27,2533.82275390625
2015-11-30,2605.534423828125
2015-12-01,2607.527099609375
2015-12-02,2609.5185546875
2015-12-03,2562.218994140625
2015-12-04,2600.074951171875
2015-12-07,2623.983154296875
2015-12-08,2595.09375
2015-12-09,2589.11669921875
2015-12-10,2559.230712890625
2015-12-11,2662.835205078125
2015-12-14,2667.816162109375
2015-12-15,2761.45849609375
2015-12-16,2744.523193359375
2015-12-17,2731.573486328125
2015-12-18,2716.63037109375
2015-12-21,2712.645263671875
2015-12-22,2741.534912109375
2015-12-23,2769.42822265625
2015-12-24,2721.610595703125
2015-12-29,2815.25390625
2015-12-30,2837.169189453125
2015-12-31,2825.21533203125
2016-01-04,2763.451171875
2016-01-05,2776.401611328125
2016-01-06,2764.447509765625
2016-01-07,2720.61474609375
2016-01-08,2739.542236328125
2016-01-11,2763.451171875
2016-01-12,2767.436279296875
2016-01-13,2787.35986328125
2016-01-14,2693.717529296875
2016-01-15,2651.876220703125
2016-01-18,2593.101318359375
2016-01-19,2642.911376953125
2016-01-20,2548.272705078125
2016-01-21,2566.2041015625
2016-01-22,2575.16943359375
2016-01-25,2622.9873046875
2016-01-26,2655.861572265625
2016-01-27,2709.65625
2016-01-28,2688.736328125
2016-01-29,2767.436279296875
2016-02-01,2791.3447265625
2016-02-02,2799.31396484375
2016-02-03,2787.35986328125
2016-02-04,2731.573486328125
2016-02-05,2628.96484375
2016-02-08,2487.505126953125
2016-02-09,2473.557861328125
2016-02-10,2571.185302734375
2016-02-11,2491.4892578125
2016-02-12,2524.36376953125
2016-02-15,2540.303466796875
2016-02-16,2546.280029296875
2016-02-17,2600.074951171875
2016-02-18,2612.029296875
2016-02-19,2634.941650390625
2016-02-22,2492.48486328125
2016-02-23,2457.618408203125
2016-02-24,2463.595458984375
2016-02-25,2475.55029296875
2016-02-26,2547.27587890625
2016-02-29,2558.234375
2016-03-01,2588.12109375
2016-03-02,2468.576416015625
2016-03-03,2443.67138671875
2016-03-04,2402.827880859375
2016-03-07,2348.037109375
2016-03-08,2350.029296875
2016-03-09,2389.8779296875
2016-03-10,2348.037109375
2016-03-11,2389.8779296875
2016-03-14,2416.774169921875
2016-03-15,2422.75146484375
2016-03-16,2504.440185546875
2016-03-17,2511.4130859375
2016-03-18,2432.713623046875
2016-03-21,2463.595458984375
2016-03-22,2544.2880859375
2016-03-23,2584.135498046875
2016-03-24,2535.322021484375
2016-03-29,2603.06298828125
2016-03-30,2598.082763671875
2016-03-31,2613.025146484375
2016-04-01,2603.06298828125
2016-04-04,2606.051513671875
2016-04-05,2632.949462890625
2016-04-06,2652.873291015625
2016-04-07,2561.22314453125
2016-04-08,2545.28369140625
2016-04-11,2435.701904296875
2016-04-12,2424.74462890625
2016-04-13,2447.656005859375
2016-04-14,2357.998779296875
2016-04-15,2276.31103515625
2016-04-18,2278.302978515625
2016-04-19,2256.386962890625
2016-04-20,2245.42822265625
2016-04-21,2260.37109375
2016-04-22,2280.295654296875
2016-04-25,2335.08642578125
2016-04-26,2404.8203125
2016-04-27,2442.675537109375
2016-04-28,2456.62255859375
2016-04-29,2437.694580078125
2016-05-03,2445.6640625
2016-05-04,2446.66064453125
2016-05-05,2434.7060546875
2016-05-06,2437.694580078125
2016-05-09,2460.606689453125
2016-05-10,2449.6494140625
2016-05-11,2455.6259765625
2016-05-12,2492.48486328125
2016-05-13,2485.511962890625
2016-05-16,2526.35595703125
2016-05-17,2596.08935546875
2016-05-18,2603.06298828125
2016-05-19,2589.45361328125
2016-05-20,2661.189697265625
2016-05-23,2666.170654296875
2016-05-24,2730.931396484375
2016-05-25,2720.968505859375
