Date,NXPI
2015-08-03,87.85321807861328
2015-08-04,85.44098663330078
2015-08-05,87.00128173828125
2015-08-06,85.84452056884766
2015-08-07,86.39151000976562
2015-08-10,89.02790832519531
2015-08-11,86.33771514892578
2015-08-12,84.14071655273438
2015-08-13,83.97932434082031
2015-08-14,82.15892791748047
2015-08-17,82.12306213378906
2015-08-18,79.21761322021484
2015-08-19,78.02496337890625
2015-08-20,73.55025482177734
2015-08-21,72.0347900390625
2015-08-24,71.07527160644531
2015-08-25,72.49209594726562
2015-08-26,76.24047088623047
2015-08-27,77.69319152832031
2015-08-28,77.77389526367188
2015-08-31,75.90868377685547
2015-09-01,73.38883209228516
2015-09-02,76.1239013671875
2015-09-03,76.85923767089844
2015-09-04,75.7114028930664
2015-09-08,81.31597900390625
2015-09-09,79.69287872314453
2015-09-10,77.90841674804688
2015-09-11,79.2803955078125
2015-09-14,80.93936157226562
2015-09-15,81.12767791748047
2015-09-16,81.54913330078125
2015-09-17,81.62088775634766
2015-09-18,80.7779541015625
2015-09-21,81.02009582519531
2015-09-22,77.43314361572266
2015-09-23,76.73367309570312
2015-09-24,76.83231353759766
2015-09-25,77.75595092773438
2015-09-28,73.91792297363281
2015-09-29,73.81928253173828
2015-09-30,78.07876586914062
2015-10-01,76.52742767333984
2015-10-02,77.01166534423828
2015-10-05,76.49156188964844
2015-10-06,75.98041534423828
2015-10-07,76.1687240600586
2015-10-08,77.55866241455078
2015-10-09,78.3029556274414
2015-10-12,79.8184585571289
2015-10-13,78.033935546875
2015-10-14,82.0692367553711
2015-10-15,84.37386322021484
2015-10-16,83.59371185302734
2015-10-19,83.77303314208984
2015-10-20,82.49070739746094
2015-10-21,81.889892578125
2015-10-22,87.83525848388672
2015-10-23,86.1673355102539
2015-10-26,81.97061920166016
2015-10-27,80.9752426147461
2015-10-28,81.53121948242188
2015-10-29,65.46170806884766
2015-10-30,70.2592544555664
2015-11-02,68.71683502197266
2015-11-03,70.38478088378906
2015-11-04,71.7209243774414
2015-11-05,71.29048156738281
2015-11-06,72.53694915771484
2015-11-09,72.74319458007812
2015-11-10,72.24999237060547
2015-11-11,72.94049072265625
2015-11-12,71.2366943359375
2015-11-13,69.7839584350586
2015-11-16,70.59999084472656
2015-11-17,70.32200622558594
2015-11-18,73.45162200927734
