Date,ABB.ST
2015-08-24,144.73915100097656
2015-08-25,150.0277099609375
2015-08-26,147.9864959716797
2015-08-27,151.69776916503906
2015-08-28,151.14108276367188
2015-08-31,151.41943359375
2015-09-01,149.84214782714844
2015-09-02,146.96591186523438
2015-09-03,147.89370727539062
2015-09-04,144.08969116210938
2015-09-07,144.6463623046875
2015-09-08,148.17205810546875
2015-09-09,148.0792999267578
2015-09-10,144.83192443847656
2015-09-11,143.44020080566406
2015-09-14,142.69793701171875
2015-09-15,142.97628784179688
2015-09-16,143.71853637695312
2015-09-17,143.06907653808594
2015-09-18,139.07949829101562
2015-09-21,140.93511962890625
2015-09-22,137.40940856933594
2015-09-23,136.29603576660156
2015-09-24,134.06927490234375
2015-09-25,136.01766967773438
2015-09-28,135.0898895263672
2015-09-29,135.92489624023438
2015-09-30,137.316650390625
2015-10-01,136.29603576660156
2015-10-02,136.1104736328125
2015-10-05,139.6361846923828
2015-10-06,140.10008239746094
2015-10-07,140.19284057617188
2015-10-08,141.86294555664062
2015-10-09,143.90411376953125
2015-10-12,142.60519409179688
2015-10-13,140.10008239746094
2015-10-14,139.8217315673828
2015-10-15,141.77012634277344
2015-10-16,138.98670959472656
2015-10-19,138.1516571044922
2015-10-20,139.45059204101562
2015-10-21,139.72894287109375
2015-10-22,141.9556884765625
2015-10-23,146.68756103515625
2015-10-26,146.4092254638672
2015-10-27,145.4813995361328
2015-10-28,147.24424743652344
2015-10-29,148.63600158691406
2015-10-30,148.728759765625
2015-11-02,150.3988037109375
2015-11-03,151.04827880859375
2015-11-04,153.8317413330078
2015-11-05,152.90391540527344
2015-11-06,154.388427734375
2015-11-09,152.8111572265625
2015-11-10,151.51222229003906
2015-11-11,152.16165161132812
2015-11-12,149.74937438964844
2015-11-13,148.35765075683594
2015-11-16,148.35765075683594
2015-11-17,151.69776916503906
2015-11-18,151.3266143798828
2015-11-19,150.8627471923828
2015-11-20,152.4400177001953
2015-11-23,152.4400177001953
2015-11-24,150.3060302734375
2015-11-25,152.8111572265625
2015-11-26,152.71836853027344
2015-11-27,151.79054260253906
2015-11-30,151.79054260253906
2015-12-01,149.93490600585938
2015-12-02,149.93490600585938
2015-12-03,147.80093383789062
2015-12-04,146.5947723388672
2015-12-07,146.5947723388672
2015-12-08,144.73915100097656
2015-12-09,143.6257781982422
2015-12-10,143.06907653808594
2015-12-11,141.21343994140625
2015-12-14,141.21343994140625
2015-12-15,142.1412811279297
2015-12-16,141.02786254882812
2015-12-17,141.49180603027344
2015-12-18,139.72894287109375
2015-12-21,139.72894287109375
2015-12-22,137.96609497070312
2015-12-23,141.21343994140625
2015-12-28,141.21343994140625
2015-12-29,142.1412811279297
2015-12-30,141.77012634277344
2016-01-04,136.4816131591797
2016-01-05,135.83212280273438
2016-01-07,132.39918518066406
2016-01-08,130.4508056640625
2016-01-11,129.6157684326172
2016-01-12,131.3786163330078
2016-01-13,131.749755859375
2016-01-14,131.84251403808594
2016-01-15,128.40960693359375
2016-01-18,127.20343780517578
2016-01-19,130.1724395751953
2016-01-20,127.20343780517578
2016-01-21,127.9457015991211
2016-01-22,131.65696716308594
2016-01-25,130.0796661376953
2016-01-26,132.21365356445312
2016-01-27,134.34762573242188
2016-01-28,133.51258850097656
2016-01-29,136.57437133789062
2016-02-01,135.92489624023438
2016-02-02,135.0898895263672
2016-02-03,134.6259765625
2016-02-04,137.316650390625
2016-02-05,139.07949829101562
2016-02-08,134.25485229492188
2016-02-09,132.95590209960938
2016-02-10,133.7909393310547
2016-02-11,128.40960693359375
2016-02-12,132.5847930908203
2016-02-15,136.4816131591797
2016-02-16,137.22384643554688
2016-02-17,141.39901733398438
2016-02-18,140.8423309326172
2016-02-19,140.2855987548828
2016-02-22,141.12066650390625
2016-02-23,139.54339599609375
2016-02-24,137.131103515625
2016-02-25,140.19284057617188
2016-02-26,141.77012634277344
2016-02-29,143.16189575195312
2016-03-01,144.83192443847656
2016-03-02,145.38861083984375
2016-03-03,146.22364807128906
2016-03-04,145.29580688476562
2016-03-07,145.2030487060547
2016-03-08,144.08969116210938
2016-03-09,142.7907257080078
2016-03-10,141.49180603027344
2016-03-11,144.46078491210938
2016-03-14,143.347412109375
2016-03-15,141.49180603027344
2016-03-16,144.36801147460938
2016-03-17,147.80093383789062
2016-03-18,148.91432189941406
2016-03-21,147.4298095703125
2016-03-22,147.6154022216797
2016-03-23,147.7081298828125
2016-03-24,145.29580688476562
2016-03-29,145.5741729736328
2016-03-30,148.45040893554688
2016-03-31,147.05868530273438
2016-04-01,144.92471313476562
2016-04-04,146.96591186523438
2016-04-05,144.83192443847656
2016-04-06,145.11029052734375
2016-04-07,144.18246459960938
2016-04-08,147.05868530273438
2016-04-11,146.8731231689453
2016-04-12,147.80093383789062
2016-04-13,149.2854461669922
2016-04-14,149.74937438964844
2016-04-15,149.93490600585938
2016-04-18,150.6771697998047
2016-04-19,152.3472442626953
2016-04-20,157.72854614257812
2016-04-21,157.07908630371094
2016-04-22,156.6151885986328
2016-04-25,156.05848693847656
2016-04-26,157.5430145263672
2016-04-27,158.09967041015625
2016-04-28,158.5635986328125
2016-04-29,157.45022583007812
2016-05-02,157.2646484375
2016-05-03,157.07908630371094
2016-05-04,156.42962646484375
