Date,FRT
2015-08-03,96.23599243164062
2015-08-04,95.1009750366211
2015-08-05,94.24969482421875
2015-08-06,93.9590072631836
2015-08-07,94.54725646972656
2015-08-10,93.29460906982422
2015-08-11,93.66141510009766
2015-08-12,94.14588165283203
2015-08-13,94.51265716552734
2015-08-14,94.81723022460938
2015-08-17,95.62004089355469
2015-08-18,95.447021484375
2015-08-19,94.62342834472656
2015-08-20,93.99361419677734
2015-08-21,92.74091339111328
2015-08-24,88.29766845703125
2015-08-25,86.48436737060547
2015-08-26,90.2424545288086
2015-08-27,92.19417572021484
2015-08-28,91.84119415283203
2015-08-31,89.33580780029297
2015-09-01,87.52944946289062
2015-09-02,88.35303497314453
2015-09-03,88.80286407470703
2015-09-04,87.39099884033203
2015-09-08,88.69215393066406
2015-09-09,87.39099884033203
2015-09-10,87.7093734741211
2015-09-11,89.52958679199219
2015-09-14,89.67493438720703
2015-09-15,91.21829223632812
2015-09-16,92.65093231201172
2015-09-17,93.16999053955078
2015-09-18,93.9157485961914
2015-09-21,94.8427505493164
2015-09-22,93.23274230957031
2015-09-23,93.62303161621094
2015-09-24,93.12124633789062
2015-09-25,93.92273712158203
2015-09-28,93.05154418945312
2015-09-29,94.222412109375
2015-09-30,95.10061645507812
2015-10-01,94.50818634033203
2015-10-02,95.84637451171875
2015-10-05,97.30302429199219
2015-10-06,96.60607147216797
2015-10-07,98.4530029296875
2015-10-08,99.5333023071289
2015-10-09,98.98968505859375
2015-10-12,99.00360107421875
2015-10-13,98.55753326416016
2015-10-14,97.25420379638672
2015-10-15,98.65510559082031
2015-10-16,100.02117919921875
2015-10-19,101.24783325195312
2015-10-20,100.96208953857422
2015-10-21,100.02117919921875
2015-10-22,100.60662078857422
2015-10-23,99.66574096679688
2015-10-26,99.82600402832031
2015-10-27,99.73541259765625
2015-10-28,100.36964416503906
2015-10-29,100.06996154785156
2015-10-30,100.00720977783203
2015-11-02,102.73236083984375
2015-11-03,101.41509246826172
2015-11-04,101.21297454833984
2015-11-05,103.37355041503906
2015-11-06,100.45330047607422
2015-11-09,99.52632904052734
2015-11-10,100.5648193359375
2015-11-11,101.20597839355469
2015-11-12,99.77023315429688
2015-11-13,98.91995239257812
2015-11-16,100.02117919921875
2015-11-17,100.82266998291016
2015-11-18,102.01448059082031
2015-11-19,102.2026596069336
2015-11-20,102.62085723876953
2015-11-23,102.53022766113281
2015-11-24,101.6241455078125
2015-11-25,101.77054595947266
2015-11-27,103.0808334350586
2015-11-30,102.1189956665039
2015-12-01,102.91356658935547
2015-12-02,100.36964416503906
2015-12-03,98.68302154541016
2015-12-04,100.87147521972656
2015-12-07,100.5648193359375
2015-12-08,100.84358215332031
2015-12-09,100.52300262451172
2015-12-10,98.7457275390625
2015-12-11,99.15696716308594
2015-12-14,100.48809814453125
2015-12-15,101.75660705566406
2015-12-16,103.60356140136719
2015-12-17,103.47111511230469
2015-12-18,102.62085723876953
2015-12-21,103.05292510986328
2015-12-22,102.97630310058594
2015-12-23,102.9205322265625
2015-12-24,102.97630310058594
2015-12-28,104.29354095458984
2015-12-29,104.5165786743164
2015-12-30,103.89237213134766
2015-12-31,102.46861267089844
2016-01-04,101.59892272949219
2016-01-05,102.77718353271484
2016-01-06,103.4084243774414
2016-01-07,101.7181625366211
2016-01-08,101.8864517211914
2016-01-11,102.56680297851562
2016-01-12,102.68601989746094
2016-01-13,102.96656036376953
2016-01-14,103.13487243652344
2016-01-15,102.91748809814453
2016-01-19,104.03965759277344
2016-01-20,102.05482482910156
2016-01-21,102.20207977294922
2016-01-22,105.40731048583984
2016-01-25,104.40438079833984
2016-01-26,105.30909729003906
2016-01-27,103.86428833007812
2016-01-28,103.68193054199219
2016-01-29,105.78602600097656
2016-02-01,106.59257507324219
2016-02-02,105.49148559570312
2016-02-03,106.84508514404297
2016-02-04,106.24893188476562
2016-02-05,105.7018814086914
2016-02-08,103.26817321777344
2016-02-09,102.93853759765625
2016-02-10,102.88943481445312
2016-02-11,101.57088470458984
2016-02-12,101.61995697021484
2016-02-16,104.43941497802734
2016-02-17,103.93446350097656
2016-02-18,103.8222427368164
2016-02-19,103.02970886230469
2016-02-22,103.53466796875
2016-02-23,103.38736724853516
2016-02-24,102.88240051269531
2016-02-25,105.5054931640625
2016-02-26,104.1097640991211
2016-02-29,103.84326934814453
2016-03-01,106.1226577758789
2016-03-02,105.41429901123047
2016-03-03,105.35121154785156
2016-03-04,104.95840454101562
2016-03-07,104.65685272216797
2016-03-08,105.00050354003906
2016-03-09,104.96546173095703
2016-03-10,105.47042083740234
2016-03-11,106.81002044677734
