Date,SUPREMEIND.NS
2015-08-21,574.13525390625
2015-08-24,531.0247192382812
2015-08-25,520.68359375
2015-08-26,517.7290649414062
2015-08-27,529.636962890625
2015-08-28,536.7997436523438
2015-08-31,529.0999755859375
2015-09-01,534.06884765625
2015-09-02,540.7392578125
2015-09-03,534.0242309570312
2015-09-04,528.6521606445312
2015-09-07,528.2045288085938
2015-09-08,529.5634155273438
2015-09-09,534.7281494140625
2015-09-10,530.9227905273438
2015-09-11,541.7958374023438
2015-09-14,541.0255126953125
2015-09-15,537.4012451171875
2015-09-16,535.04541015625
2015-09-18,538.8057250976562
2015-09-21,540.8444213867188
2015-09-22,539.983642578125
2015-09-23,540.1649169921875
2015-09-24,539.0323486328125
2015-09-28,554.11865234375
2015-09-29,560.2799072265625
2015-09-30,560.416015625
2015-10-01,577.13330078125
2015-10-05,582.11669921875
2015-10-06,575.3211059570312
2015-10-07,574.505615234375
2015-10-08,573.5542602539062
2015-10-09,576.9066772460938
2015-10-12,574.4603271484375
2015-10-13,567.5286254882812
2015-10-14,571.2891235351562
2015-10-15,569.0691528320312
2015-10-16,569.9298095703125
2015-10-19,571.0171508789062
2015-10-20,569.61279296875
2015-10-21,569.15966796875
2015-10-23,564.1309204101562
2015-10-26,564.7198486328125
2015-10-27,575.1397705078125
2015-10-28,566.4866943359375
2015-10-29,577.7674560546875
2015-10-30,570.88134765625
2015-11-02,571.2891235351562
2015-11-03,571.1985473632812
2015-11-04,567.0756225585938
2015-11-05,567.8458251953125
2015-11-06,564.2667846679688
2015-11-09,569.703369140625
2015-11-10,571.4702758789062
2015-11-13,563.9043579101562
2015-11-16,565.1729125976562
2015-11-17,564.3120727539062
2015-11-18,563.6779174804688
2015-11-19,567.800537109375
2015-11-20,567.2570190429688
2015-11-23,571.0625
2015-11-24,582.5244140625
2015-11-26,575.5023193359375
2015-11-27,581.30126953125
2015-11-30,591.222900390625
2015-12-01,583.0681762695312
2015-12-02,589.5468139648438
2015-12-03,600.1931762695312
2015-12-04,597.5655517578125
2015-12-07,599.6495361328125
2015-12-08,601.2351684570312
2015-12-09,583.4306030273438
2015-12-10,587.5534057617188
2015-12-11,580.5764770507812
2015-12-14,570.473388671875
2015-12-15,563.2702026367188
2015-12-16,562.9982299804688
2015-12-17,584.4725341796875
2015-12-18,591.0416870117188
2015-12-21,609.7977905273438
2015-12-22,603.9988403320312
2015-12-23,605.7656860351562
2015-12-24,615.8685913085938
2015-12-28,617.1370849609375
2015-12-29,617.3636474609375
2015-12-30,611.8818359375
2015-12-31,617.4542846679688
2016-01-01,623.8421630859375
2016-01-04,624.295166015625
2016-01-05,636.6633911132812
2016-01-06,629.822265625
2016-01-07,629.6411743164062
2016-01-08,636.5726928710938
2016-01-11,638.0677490234375
2016-01-12,643.8666381835938
2016-01-13,630.637939453125
2016-01-14,618.1788940429688
2016-01-15,618.949462890625
2016-01-18,592.4462280273438
2016-01-19,595.5270385742188
2016-01-20,589.04833984375
2016-01-21,593.0804443359375
2016-01-22,603.7269897460938
2016-01-25,623.97802734375
2016-01-27,649.3938598632812
2016-01-28,657.2315063476562
2016-01-29,671.1853637695312
2016-02-01,672.0007934570312
2016-02-02,680.1831665039062
2016-02-03,670.9097900390625
2016-02-04,653.2722778320312
2016-02-05,670.2734985351562
2016-02-08,667.0004272460938
2016-02-09,669.682373046875
2016-02-10,652.8630981445312
2016-02-11,633.5890502929688
2016-02-12,635.1347045898438
2016-02-15,635.77099609375
2016-02-16,634.043701171875
2016-02-17,623.9520263671875
2016-02-18,636.5438842773438
2016-02-19,625.8157348632812
2016-02-22,612.542236328125
2016-02-23,611.5875854492188
2016-02-24,605.4507446289062
2016-02-25,601.8140869140625
2016-02-26,606.2236938476562
2016-02-29,609.2691650390625
2016-03-01,645.9080810546875
2016-03-02,666.6368408203125
2016-03-03,679.2283935546875
2016-03-04,685.5927124023438
2016-03-08,689.0474243164062
2016-03-09,691.0930786132812
2016-03-10,688.3201293945312
2016-03-11,687.18359375
2016-03-14,700.0482788085938
2016-03-15,703.730224609375
2016-03-16,706.5487060546875
2016-03-17,680.819580078125
2016-03-18,719.640380859375
2016-03-21,719.4131469726562
2016-03-22,719.6417846679688
2016-03-23,709.3944702148438
2016-03-28,690.6842041015625
2016-03-29,676.7313842773438
