Date,HLT
2015-08-03,51.539066314697266
2015-08-04,50.82028579711914
2015-08-05,50.08206558227539
2015-08-06,49.907222747802734
2015-08-07,50.33460998535156
2015-08-10,50.91740798950195
2015-08-11,50.35404586791992
2015-08-12,50.334556579589844
2015-08-13,50.334556579589844
2015-08-14,49.90602493286133
2015-08-17,50.6851921081543
2015-08-18,50.334556579589844
2015-08-19,50.081336975097656
2015-08-20,48.62038803100586
2015-08-21,47.724327087402344
2015-08-24,46.165985107421875
2015-08-25,45.85432434082031
2015-08-26,47.39318084716797
2015-08-27,48.46455001831055
2015-08-28,48.776206970214844
2015-08-31,48.367149353027344
2015-09-01,46.945159912109375
2015-09-02,47.510066986083984
2015-09-03,48.15287780761719
2015-09-04,47.919124603271484
2015-09-08,49.38007354736328
2015-09-09,49.47747039794922
2015-09-10,49.594337463378906
2015-09-11,49.84757614135742
2015-09-14,49.61383056640625
2015-09-15,48.717777252197266
2015-09-16,49.61383056640625
2015-09-17,49.51643753051758
2015-09-18,46.67245101928711
2015-09-21,46.808799743652344
2015-09-22,46.12702941894531
2015-09-23,45.503684997558594
2015-09-24,45.172542572021484
2015-09-25,44.97774887084961
2015-09-28,42.93242263793945
2015-09-29,42.65971374511719
2015-09-30,44.6855583190918
2015-10-01,45.737449645996094
2015-10-02,45.93223190307617
2015-10-05,46.67245101928711
2015-10-06,46.34130096435547
2015-10-07,47.1594352722168
2015-10-08,48.48402404785156
2015-10-09,49.107364654541016
2015-10-12,49.12685012817383
2015-10-13,48.69830322265625
2015-10-14,47.56850814819336
2015-10-15,48.07496643066406
2015-10-16,47.17890167236328
2015-10-19,47.081520080566406
2015-10-20,48.542457580566406
2015-10-21,47.82172775268555
2015-10-22,49.12685012817383
2015-10-23,47.841209411621094
2015-10-26,48.69830322265625
2015-10-27,49.302162170410156
2015-10-28,48.87362289428711
2015-10-29,48.9904899597168
2015-10-30,48.67882537841797
2015-11-02,49.2631950378418
2015-11-03,49.80862045288086
2015-11-04,49.49695587158203
2015-11-05,50.003414154052734
2015-11-06,49.944984436035156
2015-11-09,49.555389404296875
2015-11-10,50.06186294555664
2015-11-11,49.8670539855957
2015-11-12,48.93205261230469
2015-11-13,47.56850814819336
2015-11-16,46.43869400024414
2015-11-17,45.094627380371094
2015-11-18,45.60109329223633
2015-11-19,45.776397705078125
2015-11-20,45.815364837646484
2015-11-23,46.04910659790039
2015-11-24,45.81467056274414
2015-11-25,45.59976577758789
2015-11-27,45.52162170410156
2015-11-30,45.36531066894531
2015-12-01,46.08818817138672
2015-12-02,45.50206756591797
2015-12-03,44.622894287109375
2015-12-04,45.03317642211914
2015-12-07,44.290771484375
2015-12-08,43.99771499633789
2015-12-09,42.47381591796875
2015-12-10,43.15760803222656
2015-12-11,42.591026306152344
2015-12-14,41.57511520385742
2015-12-15,41.69232940673828
2015-12-16,43.86094665527344
2015-12-17,43.21622085571289
2015-12-18,41.92676544189453
2015-12-21,41.75093460083008
2015-12-22,42.51288604736328
2015-12-23,43.0599250793457
2015-12-24,42.72779083251953
