Date,BIRLACORPN.NS
2015-08-21,434.0176696777344
2015-08-24,411.5788269042969
2015-08-25,421.294677734375
2015-08-26,421.294677734375
2015-08-27,425.597412109375
2015-08-28,415.3726501464844
2015-08-31,418.7500305175781
2015-09-01,398.717041015625
2015-09-02,397.14404296875
2015-09-03,414.8174743652344
2015-09-04,406.25836181640625
2015-09-07,404.8703918457031
2015-09-08,414.8174743652344
2015-09-09,435.1281433105469
2015-09-10,426.2450866699219
2015-09-11,435.8683166503906
2015-09-14,436.7936096191406
2015-09-15,427.4942932128906
2015-09-16,419.4903564453125
2015-09-18,418.9351806640625
2015-09-21,419.9992370605469
2015-09-22,423.60791015625
2015-09-23,420.7857360839844
2015-09-24,428.558349609375
2015-09-28,419.9992370605469
2015-09-29,418.3336486816406
2015-09-30,419.44403076171875
2015-10-01,416.34429931640625
2015-10-05,416.34429931640625
2015-10-06,416.8069152832031
2015-10-07,413.7996520996094
2015-10-08,417.45465087890625
2015-10-09,410.6072998046875
2015-10-12,410.14471435546875
2015-10-13,414.67864990234375
2015-10-14,412.68927001953125
2015-10-15,411.1625061035156
2015-10-16,414.3085632324219
2015-10-19,413.75335693359375
2015-10-20,409.4969482421875
2015-10-21,407.83135986328125
2015-10-23,405.1016845703125
2015-10-26,394.96954345703125
2015-10-27,398.9946594238281
2015-10-28,395.66357421875
2015-10-29,395.2471618652344
2015-10-30,398.5782470703125
2015-11-02,395.66357421875
2015-11-03,396.0798645019531
2015-11-04,386.040283203125
2015-11-05,388.63116455078125
2015-11-06,381.0435791015625
2015-11-09,382.9867248535156
2015-11-10,388.7698974609375
2015-11-13,392.563720703125
2015-11-16,384.1896667480469
2015-11-17,388.7237243652344
2015-11-18,385.8089294433594
2015-11-19,386.9655456542969
2015-11-20,398.6244812011719
2015-11-23,418.3336486816406
2015-11-24,426.337646484375
2015-11-26,429.576171875
2015-11-27,431.7044677734375
2015-11-30,445.0752258300781
2015-12-01,439.384521484375
2015-12-02,438.3204345703125
2015-12-03,422.1737365722656
2015-12-04,425.597412109375
2015-12-07,423.37664794921875
2015-12-08,411.0237121582031
2015-12-09,404.4076843261719
2015-12-10,416.5755920410156
2015-12-11,416.5755920410156
2015-12-14,414.2623291015625
2015-12-15,412.87432861328125
2015-12-16,422.7289123535156
2015-12-17,417.96356201171875
2015-12-18,414.53985595703125
2015-12-21,416.1129455566406
2015-12-22,424.53326416015625
2015-12-23,427.8643493652344
2015-12-24,422.6826477050781
2015-12-28,416.1129455566406
2015-12-29,406.3045959472656
2015-12-30,407.32244873046875
2015-12-31,414.3085632324219
2016-01-01,426.3838806152344
2016-01-04,418.5649719238281
2016-01-05,415.14129638671875
2016-01-06,411.5788269042969
2016-01-07,409.1268005371094
2016-01-08,412.4579162597656
2016-01-11,407.9239501953125
2016-01-12,407.3686828613281
2016-01-13,398.76336669921875
2016-01-14,398.6707763671875
2016-01-15,397.0514831542969
2016-01-18,377.2497863769531
2016-01-19,373.5022888183594
2016-01-20,363.7402648925781
2016-01-21,374.3350524902344
2016-01-22,374.4739074707031
2016-01-25,367.2564392089844
2016-01-27,369.7084655761719
2016-01-28,358.4197082519531
2016-01-29,362.21343994140625
2016-02-01,369.5697326660156
2016-02-02,358.4197082519531
2016-02-03,356.2452087402344
2016-02-04,364.8043518066406
2016-02-05,364.5730285644531
2016-02-08,361.0567932128906
2016-02-09,349.3516540527344
2016-02-10,345.9280090332031
2016-02-11,322.0086669921875
2016-02-12,339.6821594238281
2016-02-15,350.415771484375
2016-02-16,337.0449523925781
2016-02-17,342.2267150878906
2016-02-18,339.959716796875
2016-02-19,329.9663391113281
2016-02-22,330.9378967285156
2016-02-23,321.7310791015625
2016-02-24,323.3966064453125
2016-02-25,310.44232177734375
2016-02-26,301.6980895996094
2016-02-29,297.5340881347656
2016-03-01,304.4739685058594
2016-03-02,311.783935546875
2016-03-03,313.72711181640625
2016-03-04,318.35369873046875
2016-03-08,324.9696960449219
2016-03-09,316.0403747558594
2016-03-10,324.5995178222656
2016-03-11,320.0192565917969
2016-03-14,318.39996337890625
2016-03-15,316.5030517578125
2016-03-16,322.8876953125
2016-03-17,341.2088928222656
2016-03-18,350.4620056152344
2016-03-21,359.02117919921875
2016-03-22,348.24127197265625
2016-03-23,349.3516540527344
2016-03-28,336.5823669433594
2016-03-29,329.1798400878906
2016-03-30,338.34039306640625
2016-03-31,342.5043640136719
2016-04-01,346.0205078125
2016-04-04,348.98150634765625
2016-04-05,343.6147155761719
2016-04-06,353.05291748046875
2016-04-07,351.43359375
2016-04-08,364.48046875
2016-04-11,370.171142578125
2016-04-12,369.8009948730469
2016-04-13,369.615966796875
2016-04-18,361.8896179199219
2016-04-20,360.6404724121094
2016-04-21,355.5512390136719
2016-04-22,355.6900329589844
2016-04-25,360.0390319824219
2016-04-26,361.8896179199219
2016-04-27,366.0998229980469
2016-04-28,360.36285400390625
2016-04-29,358.6047058105469
2016-05-02,359.29876708984375
2016-05-03,356.15264892578125
2016-05-04,352.1737976074219
2016-05-05,349.12030029296875
2016-05-06,371.3741149902344
2016-05-09,361.0105895996094
2016-05-10,362.8611755371094
2016-05-11,355.9676513671875
2016-05-12,357.216796875
2016-05-13,352.54400634765625
2016-05-16,350.5082702636719
2016-05-17,348.33380126953125
2016-05-18,351.7574462890625
2016-05-19,349.16656494140625
2016-05-20,348.84271240234375
2016-05-23,342.9206848144531
2016-05-24,351.4798583984375
2016-05-25,363.13885498046875
2016-05-26,376.41705322265625
2016-05-27,384.4209899902344
2016-05-30,385.7626953125
