Date,ECL
2015-08-03,103.28034210205078
2015-08-04,103.31616973876953
2015-08-05,104.59733581542969
2015-08-06,104.20315551757812
2015-08-07,102.45611572265625
2015-08-10,104.45401763916016
2015-08-11,103.86272430419922
2015-08-12,103.06535339355469
2015-08-13,103.28034210205078
2015-08-14,104.35543823242188
2015-08-17,104.23897552490234
2015-08-18,103.8358383178711
2015-08-19,102.904052734375
2015-08-20,100.89723205566406
2015-08-21,98.46035766601562
2015-08-24,94.38398742675781
2015-08-25,93.6493148803711
2015-08-26,95.40533447265625
2015-08-27,98.4782943725586
2015-08-28,98.96208190917969
2015-08-31,97.77947998046875
2015-09-01,94.44669342041016
2015-09-02,96.74022674560547
2015-09-03,97.50175476074219
2015-09-04,95.45011901855469
2015-09-08,97.2867660522461
2015-09-09,99.01582336425781
2015-09-10,98.94416046142578
2015-09-11,98.83631134033203
2015-09-14,97.87483978271484
2015-09-15,99.03401184082031
2015-09-16,102.08025360107422
2015-09-17,102.02632904052734
2015-09-18,101.13672637939453
2015-09-21,101.29850769042969
2015-09-22,99.61812591552734
2015-09-23,98.88127899169922
2015-09-24,99.33056640625
2015-09-25,99.2586669921875
2015-09-28,96.43709564208984
2015-09-29,97.37163543701172
2015-09-30,98.59370422363281
2015-10-01,100.93905639648438
2015-10-02,102.61942291259766
2015-10-05,104.00324249267578
2015-10-06,105.30619812011719
2015-10-07,106.27669525146484
2015-10-08,108.3075180053711
2015-10-09,108.31646728515625
2015-10-12,108.34346008300781
2015-10-13,107.97501373291016
2015-10-14,109.0353775024414
2015-10-15,109.25102996826172
2015-10-16,109.71829223632812
2015-10-19,107.27413940429688
2015-10-20,107.31903076171875
2015-10-21,105.94422149658203
2015-10-22,108.32548522949219
2015-10-23,107.82225799560547
2015-10-26,107.45381927490234
2015-10-27,106.51033782958984
2015-10-28,107.46279907226562
2015-10-29,107.76836395263672
2015-10-30,108.14575958251953
2015-11-02,106.02508544921875
2015-11-03,107.8671875
2015-11-04,105.57579040527344
2015-11-05,105.7105712890625
2015-11-06,105.49491119384766
2015-11-09,104.200927734375
2015-11-10,104.55139923095703
2015-11-11,105.55784606933594
2015-11-12,103.47307586669922
2015-11-13,104.6232681274414
2015-11-16,104.86589813232422
2015-11-17,104.91081237792969
2015-11-18,106.32159423828125
2015-11-19,105.95320129394531
2015-11-20,106.15089416503906
2015-11-23,107.39990234375
2015-11-24,107.57965850830078
2015-11-25,106.95062255859375
2015-11-27,106.85181427001953
2015-11-30,107.076416015625
2015-12-01,107.53473663330078
2015-12-02,106.6091537475586
2015-12-03,105.93522644042969
2015-12-04,107.13934326171875
2015-12-07,106.35755157470703
