Date,G.MI
2015-08-24,8.986396789550781
2015-08-25,9.395903587341309
2015-08-26,9.242338180541992
2015-08-27,9.464153289794922
2015-08-28,9.304902076721191
2015-08-31,9.28783893585205
2015-09-01,9.139961242675781
2015-09-02,9.18546199798584
2015-09-03,9.327651023864746
2015-09-04,9.12289810180664
2015-09-07,9.18546199798584
2015-09-08,9.344715118408203
2015-09-09,9.43002700805664
2015-09-10,9.327651023864746
2015-09-11,9.28783893585205
2015-09-14,9.230963706970215
2015-09-15,9.310590744018555
2015-09-16,9.33333969116211
2015-09-17,9.384529113769531
2015-09-18,9.134273529052734
2015-09-21,9.27646255493164
2015-09-22,9.02052116394043
2015-09-23,8.980708122253418
2015-09-24,8.844206809997559
2015-09-25,9.225275039672852
2015-09-28,9.03189754486084
2015-09-29,9.003458023071289
2015-09-30,9.304902076721191
2015-10-01,9.242338180541992
2015-10-02,9.248025894165039
2015-10-05,9.44140338897705
2015-10-06,9.458465576171875
2015-10-07,9.367465019226074
2015-10-08,9.43002700805664
2015-10-09,9.492591857910156
2015-10-12,9.407278060913086
2015-10-13,9.299214363098145
2015-10-14,9.117210388183594
2015-10-15,9.310590744018555
2015-10-16,9.412964820861816
2015-10-19,9.384529113769531
2015-10-20,9.321964263916016
2015-10-21,9.339025497436523
2015-10-22,9.697345733642578
2015-10-23,9.811097145080566
2015-10-26,9.725783348083496
2015-10-27,9.66321849822998
2015-10-28,9.782660484313965
2015-10-29,9.759908676147461
2015-10-30,9.80540943145752
2015-11-02,9.845223426818848
2015-11-03,9.941911697387695
2015-11-04,9.896411895751953
2015-11-05,9.782660484313965
2015-11-06,10.004477500915527
2015-11-09,9.845223426818848
2015-11-10,9.953287124633789
2015-11-11,10.032913208007812
2015-11-12,9.845223426818848
2015-11-13,9.799721717834473
2015-11-16,9.759908676147461
2015-11-17,10.061351776123047
2015-11-18,10.118228912353516
2015-11-19,10.061351776123047
2015-11-20,10.095477104187012
2015-11-23,10.112540245056152
2015-11-24,9.958974838256836
2015-11-25,10.101165771484375
2015-11-26,10.163728713989258
2015-11-27,10.12960147857666
2015-11-30,10.23766803741455
2015-12-01,10.169415473937988
2015-12-02,10.106851577758789
2015-12-03,9.828161239624023
2015-12-04,9.862286567687988
2015-12-07,9.953287124633789
2015-12-08,9.80540943145752
2015-12-09,9.811097145080566
2015-12-10,9.754220008850098
2015-12-11,9.606343269348145
2015-12-14,9.35040283203125
2015-12-15,9.583592414855957
2015-12-16,9.600655555725098
2015-12-17,9.737157821655273
2015-12-18,9.600655555725098
2015-12-21,9.515341758728027
2015-12-22,9.521029472351074
