Date,NIACL.NS
2017-11-13,345.00250244140625
2017-11-14,332.97418212890625
2017-11-15,323.93511962890625
2017-11-16,323.53173828125
2017-11-17,320.54248046875
2017-11-20,317.05499267578125
2017-11-21,316.5093078613281
2017-11-22,315.51287841796875
2017-11-23,309.32080078125
2017-11-24,307.7312316894531
2017-11-27,303.0337829589844
2017-11-28,302.7965393066406
2017-11-29,303.1997985839844
2017-11-30,300.4952087402344
2017-12-01,294.089599609375
2017-12-04,286.0707092285156
2017-12-05,280.89874267578125
2017-12-06,277.26885986328125
2017-12-07,275.4421081542969
2017-12-08,276.6283264160156
2017-12-11,275.2522888183594
2017-12-12,273.66278076171875
2017-12-13,266.3555908203125
2017-12-14,261.82421875
2017-12-15,259.1907653808594
2017-12-18,268.20611572265625
2017-12-19,282.7255554199219
2017-12-20,291.8595275878906
2017-12-21,293.02197265625
2017-12-22,291.57476806640625
2017-12-26,290.7444763183594
2017-12-27,284.8607482910156
2017-12-28,284.5523681640625
2017-12-29,285.21661376953125
2018-01-01,289.7242736816406
2018-01-02,291.788330078125
2018-01-03,294.7301940917969
2018-01-04,296.3434143066406
2018-01-05,296.67559814453125
2018-01-08,297.7906188964844
2018-01-09,299.9970397949219
2018-01-10,297.5771484375
2018-01-11,299.5462341308594
2018-01-12,295.4893493652344
2018-01-15,294.30316162109375
2018-01-16,290.34112548828125
2018-01-17,291.3138427734375
2018-01-18,289.0125427246094
2018-01-19,287.77886962890625
2018-01-22,293.1169128417969
2018-01-23,294.32684326171875
2018-01-24,296.3434143066406
2018-01-25,301.1595153808594
2018-01-29,303.6980285644531
2018-01-30,303.55572509765625
2018-01-31,302.3220520019531
2018-02-01,317.5057678222656
2018-02-02,309.8664245605469
2018-02-05,325.7144470214844
2018-02-06,318.9054870605469
2018-02-07,320.1866149902344
2018-02-08,328.110595703125
2018-02-09,330.530517578125
2018-02-12,349.9372253417969
2018-02-14,345.47698974609375
2018-02-15,349.4627380371094
2018-02-16,336.22442626953125
2018-02-19,332.57086181640625
2018-02-20,334.6111755371094
2018-02-21,334.5162353515625
2018-02-22,334.3739318847656
2018-02-23,334.5162353515625
2018-02-26,338.2647399902344
2018-02-27,340.06781005859375
2018-02-28,337.2920227050781
2018-03-01,337.3869323730469
2018-03-05,333.4486999511719
2018-03-06,318.35980224609375
2018-03-07,322.677734375
2018-03-08,325.8567810058594
2018-03-09,323.8876037597656
2018-03-12,325.121337890625
2018-03-13,325.7381591796875
2018-03-14,326.28387451171875
2018-03-15,326.4024658203125
2018-03-16,329.9373779296875
2018-03-19,325.0027160644531
2018-03-20,322.3692932128906
2018-03-21,328.6088562011719
2018-03-22,320.8509216308594
2018-03-23,315.0146789550781
2018-03-26,319.8070373535156
2018-03-27,331.740478515625
2018-03-28,338.24102783203125
2018-04-02,334.1604309082031
2018-04-03,327.2565612792969
2018-04-04,321.9897155761719
2018-04-05,321.18304443359375
2018-04-06,322.0371398925781
2018-04-09,319.0003967285156
2018-04-10,319.9493713378906
2018-04-11,314.9197692871094
2018-04-12,312.4998779296875
2018-04-13,316.72283935546875
2018-04-16,314.6825256347656
2018-04-17,313.9944763183594
2018-04-18,313.2353210449219
2018-04-19,313.92333984375
2018-04-20,313.28277587890625
2018-04-23,315.96368408203125
2018-04-24,322.39300537109375
2018-04-25,321.0406799316406
2018-04-26,315.8212585449219
2018-04-27,314.89605712890625
2018-04-30,314.49273681640625
2018-05-02,314.8486022949219
2018-05-03,315.91619873046875
2018-05-04,314.70623779296875
2018-05-07,323.2945251464844
2018-05-08,329.58154296875
2018-05-09,330.0560302734375
2018-05-10,328.229248046875
2018-05-11,330.0323181152344
2018-05-14,335.2279968261719
2018-05-15,327.9445495605469
2018-05-16,324.1960754394531
2018-05-17,319.3088073730469
2018-05-18,316.5567626953125
2018-05-21,314.56390380859375
2018-05-22,315.8924865722656
2018-05-23,320.77972412109375
2018-05-24,318.35980224609375
2018-05-25,320.8746337890625
2018-05-28,342.962158203125
2018-05-29,354.8956298828125
2018-05-30,343.1520080566406
2018-05-31,323.76904296875
2018-06-01,320.4713134765625
