Date,VIV.PA
2015-08-24,4.469817638397217
2015-08-25,4.680336952209473
2015-08-26,4.665452003479004
2015-08-27,4.83237886428833
2015-08-28,4.74200439453125
2015-08-31,4.687778949737549
2015-09-01,4.6069746017456055
2015-09-02,4.618669509887695
2015-09-03,4.612289905548096
2015-09-04,4.505967140197754
2015-09-07,4.553812026977539
2015-09-08,4.57720422744751
2015-09-09,4.618669509887695
2015-09-10,4.551685333251953
2015-09-11,4.469817638397217
2015-09-14,4.464500904083252
2015-09-15,4.487891674041748
2015-09-16,4.559128761291504
2015-09-17,4.59208869934082
2015-09-18,4.562317848205566
2015-09-21,4.569760799407959
2015-09-22,4.43898344039917
2015-09-23,4.467691898345947
2015-09-24,4.365621566772461
2015-09-25,4.478323459625244
2015-09-28,4.384758949279785
2015-09-29,4.348609447479248
2015-09-30,4.493208885192871
2015-10-01,4.421972274780273
2015-10-02,4.391138553619385
2015-10-05,4.45493221282959
2015-10-06,4.5272321701049805
2015-10-07,4.548497200012207
2015-10-08,4.601657867431641
2015-10-09,4.633553981781006
2015-10-12,4.605910778045654
2015-10-13,4.575077056884766
2015-10-14,4.666514873504639
2015-10-15,4.650567054748535
2015-10-16,4.665452003479004
2015-10-19,4.566571235656738
2015-10-20,4.602721214294434
2015-10-21,4.5910258293151855
2015-10-22,4.60803747177124
2015-10-23,4.782407283782959
2015-10-26,4.7887864112854
2015-10-27,4.7600789070129395
2015-10-28,4.707980632781982
2015-10-29,4.749446392059326
2015-10-30,4.660135269165039
2015-11-02,4.63568115234375
2015-11-03,4.6378068923950195
2015-11-04,4.616543769836426
2015-11-05,4.61016321182251
2015-11-06,4.63568115234375
2015-11-09,4.596341609954834
2015-11-10,4.602721214294434
2015-11-11,4.333724498748779
2015-11-12,4.276310443878174
2015-11-13,4.241222858428955
2015-11-16,4.190187454223633
2015-11-17,4.315649032592773
2015-11-18,4.290131568908691
2015-11-19,4.308206081390381
2015-11-20,4.318838596343994
2015-11-23,4.276310443878174
