Date,PSA
2015-08-03,139.1462860107422
2015-08-04,139.05149841308594
2015-08-05,139.22079467773438
2015-08-06,140.4801025390625
2015-08-07,141.37379455566406
2015-08-10,140.45301818847656
2015-08-11,141.57015991210938
2015-08-12,142.53829956054688
2015-08-13,143.9059295654297
2015-08-14,144.704833984375
2015-08-17,145.80169677734375
2015-08-18,146.81723022460938
2015-08-19,146.82403564453125
2015-08-20,145.77464294433594
2015-08-21,143.87887573242188
2015-08-24,136.9053192138672
2015-08-25,133.350830078125
2015-08-26,137.57557678222656
2015-08-27,140.8321533203125
2015-08-28,139.57965087890625
2015-08-31,136.26885986328125
2015-09-01,134.7319793701172
2015-09-02,137.0000762939453
2015-09-03,137.60946655273438
2015-09-04,135.10440063476562
2015-09-08,138.0359649658203
2015-09-09,135.57156372070312
2015-09-10,135.5512237548828
2015-09-11,138.06407165527344
2015-09-14,137.7157745361328
2015-09-15,139.2454071044922
2015-09-16,140.30381774902344
2015-09-17,141.6285400390625
2015-09-18,141.3280792236328
2015-09-21,143.0693359375
2015-09-22,141.512451171875
2015-09-23,142.30450439453125
2015-09-24,140.4335479736328
2015-09-25,142.89178466796875
2015-09-28,141.4646453857422
2015-09-29,142.89178466796875
2015-09-30,144.5101318359375
2015-10-01,146.09425354003906
2015-10-02,147.6375732421875
2015-10-05,150.3006134033203
2015-10-06,148.27943420410156
2015-10-07,148.2384490966797
2015-10-08,149.37881469726562
2015-10-09,148.2998809814453
2015-10-12,149.7270050048828
2015-10-13,148.2179718017578
2015-10-14,148.21112060546875
2015-10-15,149.93186950683594
2015-10-16,151.1200714111328
2015-10-19,154.2679901123047
2015-10-20,155.1010284423828
2015-10-21,155.29905700683594
2015-10-22,157.07447814941406
2015-10-23,156.9856719970703
2015-10-26,157.4705047607422
2015-10-27,159.06149291992188
2015-10-28,158.14646911621094
2015-10-29,156.30284118652344
2015-10-30,156.68524169921875
2015-11-02,160.64572143554688
2015-11-03,159.5531768798828
2015-11-04,158.18064880371094
2015-11-05,158.48793029785156
2015-11-06,155.1078338623047
2015-11-09,155.0805206298828
2015-11-10,156.62376403808594
2015-11-11,156.26185607910156
2015-11-12,155.9818878173828
2015-11-13,154.50010681152344
2015-11-16,156.59646606445312
2015-11-17,158.01675415039062
2015-11-18,158.91810607910156
2015-11-19,159.9969940185547
2015-11-20,161.6153564453125
2015-11-23,161.8611297607422
2015-11-24,162.40060424804688
2015-11-25,163.43162536621094
2015-11-27,164.4286346435547
2015-11-30,163.92340087890625
2015-12-01,166.0060272216797
2015-12-02,163.9847869873047
2015-12-03,161.71778869628906
2015-12-04,165.17974853515625
2015-12-07,166.03330993652344
2015-12-08,168.11602783203125
2015-12-09,165.7670135498047
2015-12-10,164.49691772460938
2015-12-11,166.40187072753906
2015-12-14,171.29824829101562
2015-12-15,169.7303009033203
2015-12-16,171.81399536132812
2015-12-17,170.24607849121094
2015-12-18,171.05752563476562
2015-12-21,172.3642120361328
2015-12-22,170.8856658935547
2015-12-23,170.98191833496094
2015-12-24,170.7205810546875
2015-12-28,172.72866821289062
2015-12-29,173.44387817382812
2015-12-30,172.24041748046875
2015-12-31,170.3423614501953
2016-01-04,168.0522918701172
2016-01-05,172.79745483398438
2016-01-06,173.07254028320312
2016-01-07,171.27078247070312
2016-01-08,170.01913452148438
2016-01-11,171.69711303710938
2016-01-12,172.04095458984375
2016-01-13,171.47706604003906
2016-01-14,171.73837280273438
2016-01-15,170.92689514160156
2016-01-19,172.22665405273438
2016-01-20,165.24655151367188
2016-01-21,165.77609252929688
2016-01-22,170.36302185058594
2016-01-25,170.21173095703125
2016-01-26,174.31036376953125
2016-01-27,170.6724395751953
2016-01-28,171.2776641845703
2016-01-29,174.37222290039062
2016-02-01,174.72988891601562
2016-02-02,175.51380920410156
2016-02-03,174.0628204345703
2016-02-04,169.3245849609375
2016-02-05,163.07339477539062
2016-02-08,157.46865844726562
2016-02-09,160.17820739746094
2016-02-10,162.20693969726562
2016-02-11,161.49176025390625
2016-02-12,160.65272521972656
2016-02-16,163.79547119140625
2016-02-17,169.2489013671875
2016-02-18,169.66839599609375
2016-02-19,173.27880859375
2016-02-22,174.4273223876953
2016-02-23,174.48226928710938
2016-02-24,171.86903381347656
2016-02-25,175.43128967285156
2016-02-26,174.70237731933594
2016-02-29,171.57333374023438
2016-03-01,175.2937774658203
2016-03-02,176.16717529296875
2016-03-03,174.131591796875
2016-03-04,171.8896942138672
2016-03-07,172.31605529785156
2016-03-08,171.1813507080078
2016-03-09,171.84840393066406
2016-03-10,171.92408752441406
2016-03-11,176.6141357421875
2016-03-14,179.7917022705078
2016-03-15,182.42237854003906
2016-03-16,185.5514678955078
2016-03-17,186.7421875
2016-03-18,186.53453063964844
2016-03-21,182.94154357910156
2016-03-22,182.69236755371094
2016-03-23,183.59234619140625
2016-03-24,184.6168975830078
2016-03-28,186.81832885742188
2016-03-29,190.03744506835938
2016-03-30,189.13743591308594
2016-03-31,190.9512176513672
2016-04-01,190.73663330078125
2016-04-04,191.25582885742188
2016-04-05,189.58053588867188
2016-04-06,189.49745178222656
2016-04-07,189.56671142578125
2016-04-08,189.718994140625
2016-04-11,188.47288513183594
2016-04-12,191.17967224121094
2016-04-13,188.23748779296875
2016-04-14,184.94224548339844
2016-04-15,185.48916625976562
2016-04-18,188.7152099609375
2016-04-19,182.401611328125
2016-04-20,181.9239501953125
2016-04-21,176.59339904785156
2016-04-22,177.8740997314453
2016-04-25,178.94712829589844
2016-04-26,177.7841033935547
2016-04-27,171.83055114746094
