Date,SUNDARMFIN.NS
2015-08-21,1170.823486328125
2015-08-24,1101.6475830078125
2015-08-25,1112.3160400390625
2015-08-26,1090.2681884765625
2015-08-27,1099.1396484375
2015-08-28,1096.8936767578125
2015-08-31,1086.899169921875
2015-09-01,1105.802490234375
2015-09-02,1096.8563232421875
2015-09-03,1093.5997314453125
2015-09-04,1092.9261474609375
2015-09-07,1085.4017333984375
2015-09-08,1092.02734375
2015-09-09,1137.470947265625
2015-09-10,1109.9205322265625
2015-09-11,1096.6693115234375
2015-09-14,1103.2572021484375
2015-09-15,1099.4766845703125
2015-09-16,1069.11865234375
2015-09-18,1074.134521484375
2015-09-21,1073.8724365234375
2015-09-22,1076.2310791015625
2015-09-23,1074.09716796875
2015-09-24,1108.273681640625
2015-09-28,1124.8934326171875
2015-09-29,1109.508544921875
2015-09-30,1149.636474609375
2015-10-01,1133.8773193359375
2015-10-05,1122.16064453125
2015-10-06,1093.4124755859375
2015-10-07,1145.89306640625
2015-10-08,1113.4014892578125
2015-10-09,1111.4925537109375
2015-10-12,1108.1986083984375
2015-10-13,1110.6689453125
2015-10-14,1102.3212890625
2015-10-15,1119.1290283203125
2015-10-16,1107.9364013671875
2015-10-19,1111.6422119140625
2015-10-20,1115.0111083984375
2015-10-21,1105.5030517578125
2015-10-23,1111.717041015625
2015-10-26,1112.7275390625
2015-10-27,1105.615478515625
2015-10-28,1111.9041748046875
2015-10-29,1128.5245361328125
2015-10-30,1113.8134765625
2015-11-02,1138.1820068359375
2015-11-03,1176.475830078125
2015-11-04,1190.4010009765625
2015-11-05,1177.8983154296875
2015-11-06,1145.8182373046875
2015-11-09,1128.1873779296875
2015-11-10,1122.8719482421875
2015-11-13,1115.4605712890625
2015-11-16,1111.0806884765625
2015-11-17,1101.4976806640625
2015-11-18,1115.535400390625
2015-11-19,1118.043212890625
2015-11-20,1122.909423828125
2015-11-23,1118.005859375
2015-11-24,1119.5780029296875
2015-11-26,1103.1826171875
2015-11-27,1114.4874267578125
2015-11-30,1090.6795654296875
2015-12-01,1086.0382080078125
2015-12-02,1078.1773681640625
2015-12-03,1061.2205810546875
2015-12-04,1077.46630859375
2015-12-07,1065.26318359375
2015-12-08,1063.3165283203125
2015-12-09,1034.3436279296875
2015-12-10,996.2369384765625
2015-12-11,1001.7396850585938
2015-12-14,992.830322265625
2015-12-15,998.5573120117188
2015-12-16,1001.0283203125
2015-12-17,1044.5250244140625
2015-12-18,1021.428955078125
2015-12-21,1003.9105834960938
2015-12-22,986.3173217773438
2015-12-23,1011.2101440429688
2015-12-24,1010.2366943359375
2015-12-28,1029.140380859375
2015-12-29,1001.8514404296875
2015-12-30,996.124755859375
2015-12-31,1031.64794921875
2016-01-01,1027.9049072265625
2016-01-04,1045.161376953125
2016-01-05,1033.7818603515625
2016-01-06,1034.41845703125
2016-01-07,1041.418212890625
2016-01-08,1036.1029052734375
2016-01-11,1040.1453857421875
2016-01-12,1039.845947265625
2016-01-13,1034.680419921875
2016-01-14,1000.953369140625
2016-01-15,991.9696655273438
2016-01-18,969.7344970703125
2016-01-19,1002.8623657226562
2016-01-20,973.0659790039062
2016-01-21,970.183837890625
2016-01-22,973.2532958984375
2016-01-25,1014.5042114257812
2016-01-27,991.0339965820312
2016-01-28,995.30078125
2016-01-29,1019.7073364257812
2016-02-01,1014.017333984375
2016-02-02,1015.88916015625
2016-02-03,983.6966552734375
2016-02-04,973.4027709960938
2016-02-05,984.557861328125
2016-02-08,966.0287475585938
2016-02-09,984.8297119140625
2016-02-10,960.732666015625
2016-02-11,930.8836059570312
2016-02-12,903.1022338867188
2016-02-15,888.2152099609375
2016-02-16,867.7269897460938
2016-02-17,864.5316162109375
2016-02-18,868.8171997070312
2016-02-19,863.17822265625
2016-02-22,858.6294555664062
2016-02-23,892.576171875
2016-02-24,887.5762329101562
2016-02-25,894.9445190429688
2016-02-26,887.0875244140625
2016-02-29,914.0416870117188
2016-03-01,931.5980224609375
2016-03-02,914.079345703125
2016-03-03,937.7632446289062
2016-03-04,933.0264282226562
2016-03-08,923.327392578125
2016-03-09,902.5382690429688
2016-03-10,909.5681762695312
2016-03-11,911.410400390625
2016-03-14,932.0866088867188
2016-03-15,922.6506958007812
2016-03-16,921.5980224609375
2016-03-17,977.187744140625
2016-03-18,954.3938598632812
2016-03-21,960.2151489257812
2016-03-22,963.6926879882812
2016-03-23,971.6309814453125
2016-03-28,961.0468139648438
2016-03-29,960.1017456054688
2016-03-30,982.5935668945312
2016-03-31,983.2737426757812
2016-04-01,960.2908325195312
2016-04-04,970.1946411132812
2016-04-05,957.4935302734375
2016-04-06,969.2495727539062
2016-04-07,961.122314453125
2016-04-08,946.87158203125
2016-04-11,934.4729614257812
2016-04-12,933.3009643554688
2016-04-13,959.6860961914062
2016-04-18,965.2048950195312
