Date,PSN.L
2015-08-24,1954.132568359375
2015-08-25,2044.5367431640625
2015-08-26,1989.89697265625
2015-08-27,2046.524169921875
2015-08-28,2089.242919921875
2015-09-01,2028.6417236328125
2015-09-02,2069.37353515625
2015-09-03,2091.22998046875
2015-09-04,2057.45263671875
2015-09-07,2060.432861328125
2015-09-08,2069.37353515625
2015-09-09,2086.262939453125
2015-09-10,2110.105224609375
2015-09-11,2097.190673828125
2015-09-14,2086.262939453125
2015-09-15,2071.36083984375
2015-09-16,2067.38671875
2015-09-17,2068.380126953125
2015-09-18,2063.4130859375
2015-09-21,2071.36083984375
2015-09-22,2027.6483154296875
2015-09-23,2060.432861328125
2015-09-24,2076.32861328125
2015-09-25,2116.06591796875
2015-09-28,2095.203369140625
2015-09-29,1985.923095703125
2015-09-30,1994.8641357421875
2015-10-01,2023.674560546875
2015-10-02,1989.89697265625
2015-10-05,2037.583251953125
2015-10-06,2035.5963134765625
2015-10-07,1975.98876953125
2015-10-08,1990.8902587890625
2015-10-09,1934.2633056640625
2015-10-12,1923.3355712890625
2015-10-13,1955.1260986328125
2015-10-14,1894.525146484375
2015-10-15,1940.2239990234375
2015-10-16,1943.2044677734375
2015-10-19,1957.11279296875
2015-10-20,1966.05419921875
2015-10-21,1976.982421875
2015-10-22,1957.11279296875
2015-10-23,2010.759521484375
2015-10-26,2018.707275390625
2015-10-27,1991.8839111328125
2015-10-28,1994.8641357421875
2015-10-29,1971.0213623046875
2015-10-30,1980.9556884765625
2015-11-02,1955.1260986328125
2015-11-03,1908.43359375
2015-11-04,1846.8389892578125
2015-11-05,1887.57080078125
2015-11-06,1867.701904296875
2015-11-09,1846.8389892578125
2015-11-10,1862.7344970703125
2015-11-11,1844.85205078125
2015-11-12,1834.917724609375
2015-11-13,1794.185791015625
2015-11-16,1814.0550537109375
2015-11-17,1852.7999267578125
2015-11-18,1852.7999267578125
2015-11-19,1827.963623046875
2015-11-20,1820.015869140625
2015-11-23,1804.120361328125
2015-11-24,1770.3427734375
2015-11-25,1823.989501953125
2015-11-26,1852.7999267578125
2015-11-27,1864.7213134765625
2015-11-30,1902.4730224609375
2015-12-01,1913.40087890625
2015-12-02,1929.296142578125
2015-12-03,1913.40087890625
2015-12-04,1931.282958984375
2015-12-07,1958.1060791015625
2015-12-08,1938.2369384765625
2015-12-09,1930.2891845703125
2015-12-10,1925.322021484375
2015-12-11,1894.525146484375
2015-12-14,1890.5511474609375
2015-12-15,1957.11279296875
2015-12-16,1939.2310791015625
2015-12-17,1941.2176513671875
2015-12-18,1932.276611328125
2015-12-21,1931.282958984375
2015-12-22,1956.1195068359375
2015-12-23,1972.0150146484375
2015-12-24,1960.0933837890625
2015-12-29,2026.655029296875
2015-12-30,2024.668212890625
2015-12-31,2013.7401123046875
2016-01-04,1977.9754638671875
2016-01-05,1989.89697265625
2016-01-06,1952.145751953125
2016-01-07,1949.165283203125
2016-01-08,1978.9691162109375
2016-01-11,1977.9754638671875
