Date,XYL
2015-08-03,29.864023208618164
2015-08-04,29.766986846923828
2015-08-05,29.89931869506836
2015-08-06,29.714046478271484
2015-08-07,29.55525016784668
2015-08-10,30.075775146484375
2015-08-11,29.625818252563477
2015-08-12,29.6964054107666
2015-08-13,29.546419143676758
2015-08-14,29.731706619262695
2015-08-17,29.793445587158203
2015-08-18,29.47584342956543
2015-08-19,29.246456146240234
2015-08-20,28.81416130065918
2015-08-21,28.29363441467285
2015-08-24,27.270225524902344
2015-08-25,26.873214721679688
2015-08-26,27.684879302978516
2015-08-27,28.55830955505371
2015-08-28,28.849443435668945
2015-08-31,28.752866744995117
2015-09-01,27.583255767822266
2015-09-02,27.804773330688477
2015-09-03,28.664255142211914
2015-09-04,28.07059097290039
2015-09-08,28.744007110595703
2015-09-09,28.451602935791016
2015-09-10,28.469327926635742
2015-09-11,28.78831672668457
2015-09-14,28.549074172973633
2015-09-15,29.266782760620117
2015-09-16,29.568042755126953
2015-09-17,29.311084747314453
2015-09-18,28.57564926147461
2015-09-21,28.912357330322266
2015-09-22,28.70856285095215
2015-09-23,28.15920066833496
2015-09-24,28.814899444580078
2015-09-25,28.77058982849121
2015-09-28,28.416162490844727
2015-09-29,28.34527015686035
2015-09-30,29.107288360595703
2015-10-01,28.96552276611328
2015-10-02,29.692106246948242
2015-10-05,29.73640251159668
2015-10-06,29.58576774597168
2015-10-07,30.161714553833008
2015-10-08,31.003477096557617
2015-10-09,30.914865493774414
2015-10-12,30.693355560302734
2015-10-13,30.418684005737305
2015-10-14,30.011083602905273
2015-10-15,30.781951904296875
2015-10-16,30.781951904296875
2015-10-19,30.693355560302734
2015-10-20,30.906005859375
2015-10-21,30.764238357543945
2015-10-22,31.56170654296875
2015-10-23,32.066749572753906
2015-10-26,31.818662643432617
2015-10-27,31.765480041503906
2015-10-28,32.235103607177734
2015-10-29,32.19964599609375
2015-10-30,32.26168441772461
2015-11-02,32.60060501098633
2015-11-03,32.538326263427734
2015-11-04,32.60060501098633
2015-11-05,32.72513961791992
2015-11-06,32.84075164794922
2015-11-09,32.422698974609375
2015-11-10,32.84965515136719
2015-11-11,32.88523483276367
2015-11-12,31.844518661499023
2015-11-13,31.92455291748047
2015-11-16,32.556121826171875
2015-11-17,32.911922454833984
2015-11-18,33.32110595703125
2015-11-19,33.50788497924805
2015-11-20,33.356685638427734
2015-11-23,33.401153564453125
2015-11-24,33.33888626098633
2015-11-25,33.498992919921875
2015-11-27,33.42784118652344
2015-11-30,33.19656753540039
2015-12-01,33.481204986572266
2015-12-02,32.8674430847168
2015-12-03,32.68065643310547
2015-12-04,33.49010467529297
2015-12-07,32.83185958862305
2015-12-08,32.27146530151367
2015-12-09,32.253684997558594
2015-12-10,32.64506912231445
2015-12-11,32.21810531616211
2015-12-14,32.59169006347656
2015-12-15,32.64506912231445
2015-12-16,33.32110595703125
2015-12-17,32.43159103393555
2015-12-18,31.88008689880371
2015-12-21,32.14694595336914
2015-12-22,32.46717834472656
2015-12-23,33.02757263183594
2015-12-24,32.97418212890625
2015-12-28,32.85855484008789
2015-12-29,33.00086212158203
2015-12-30,32.796287536621094
2015-12-31,32.46717834472656
2016-01-04,32.093570709228516
2016-01-05,32.08468246459961
2016-01-06,31.684404373168945
2016-01-07,30.86604118347168
2016-01-08,30.572513580322266
2016-01-11,30.314546585083008
2016-01-12,30.483562469482422
2016-01-13,29.691892623901367
2016-01-14,29.860902786254883
2016-01-15,29.336090087890625
2016-01-19,29.31829833984375
2016-01-20,29.17597198486328
2016-01-21,29.558454513549805
2016-01-22,30.27007484436035
2016-01-25,30.01211929321289
2016-01-26,30.732627868652344
2016-01-27,31.035051345825195
2016-01-28,31.088428497314453
2016-01-29,31.977937698364258
2016-02-01,31.684404373168945
2016-02-02,31.00837516784668
2016-02-03,31.7288761138916
2016-02-04,32.98307800292969
2016-02-05,32.609500885009766
2016-02-08,32.21810531616211
2016-02-09,32.65396499633789
2016-02-10,32.4049072265625
2016-02-11,32.20921325683594
2016-02-12,32.947509765625
2016-02-16,33.050228118896484
2016-02-17,33.639766693115234
2016-02-18,33.52364730834961
2016-02-19,33.0770263671875
2016-02-22,33.62190628051758
2016-02-23,33.33606719970703
2016-02-24,33.47005081176758
2016-02-25,33.550437927246094
2016-02-26,33.6933708190918
2016-02-29,33.41646194458008
2016-03-01,33.88987731933594
2016-03-02,33.97027587890625
2016-03-03,34.095340728759766
2016-03-04,34.13999938964844
2016-03-07,34.43476867675781
2016-03-08,33.863075256347656
2016-03-09,34.07746505737305
2016-03-10,33.87201690673828
2016-03-11,34.345436096191406
2016-03-14,34.00600814819336
2016-03-15,34.06854248046875
2016-03-16,34.506221771240234
2016-03-17,34.84566116333008
2016-03-18,35.25654983520508
2016-03-21,35.21189880371094
2016-03-22,35.19402313232422
2016-03-23,35.16722106933594
2016-03-24,35.569190979003906
2016-03-28,35.640655517578125
2016-03-29,36.30166244506836
2016-03-30,36.658958435058594
2016-03-31,36.53390121459961
2016-04-01,36.84653854370117
2016-04-04,36.42670440673828
2016-04-05,36.63215255737305
2016-04-06,36.79292678833008
2016-04-07,36.524967193603516
2016-04-08,36.819740295410156
2016-04-11,36.828670501708984
2016-04-12,37.20384216308594
2016-04-13,37.37355422973633
2016-04-14,37.50754928588867
2016-04-15,37.76658248901367
2016-04-18,38.06135940551758
2016-04-19,38.15067672729492
2016-04-20,37.6683235168457
2016-04-21,37.37355422973633
2016-04-22,37.92738342285156
2016-04-25,37.70405960083008
2016-04-26,38.284671783447266
2016-04-27,38.320396423339844
