Date,RITES.NS
2018-07-03,61.99330520629883
2018-07-04,59.362911224365234
2018-07-05,56.8475227355957
2018-07-06,56.675045013427734
2018-07-09,56.344459533691406
2018-07-10,57.868045806884766
2018-07-11,57.73870086669922
2018-07-12,58.88859176635742
2018-07-13,57.55184555053711
2018-07-16,55.98511505126953
2018-07-17,55.85575866699219
2018-07-18,56.77568435668945
2018-07-19,56.459434509277344
2018-07-20,56.07136154174805
2018-07-23,56.94813537597656
2018-07-24,57.56620788574219
2018-07-25,59.118568420410156
2018-07-26,64.13494110107422
2018-07-27,76.07939910888672
2018-07-30,73.62150573730469
2018-07-31,71.78168487548828
2018-08-01,72.78785705566406
2018-08-02,73.92334747314453
2018-08-03,80.98079681396484
2018-08-06,80.88017272949219
2018-08-07,79.28470611572266
2018-08-08,79.5434341430664
2018-08-09,79.02598571777344
2018-08-10,75.30322265625
2018-08-13,77.68923950195312
2018-08-14,78.17792510986328
2018-08-16,82.07316589355469
2018-08-17,89.015625
2018-08-20,89.08747863769531
2018-08-21,90.05052185058594
2018-08-23,90.53924560546875
2018-08-24,89.40371704101562
2018-08-27,85.12037658691406
2018-08-28,84.34420776367188
2018-08-29,82.13070678710938
2018-08-30,82.76310729980469
2018-08-31,82.1019287109375
2018-09-03,80.46334838867188
2018-09-04,75.92127990722656
2018-09-05,72.47162628173828
2018-09-06,76.03626251220703
2018-09-07,75.03012084960938
2018-09-10,77.48799896240234
2018-09-11,75.59099578857422
2018-09-12,73.43331146240234
2018-09-14,74.69317626953125
2018-09-17,73.38986206054688
2018-09-18,71.72454833984375
2018-09-19,73.47676086425781
2018-09-21,69.58135986328125
2018-09-24,66.33760833740234
2018-09-25,68.53872680664062
2018-09-26,73.12921142578125
2018-09-27,72.50653839111328
2018-09-28,71.275634765625
2018-10-01,71.55078887939453
2018-10-03,71.76800537109375
2018-10-04,69.9144287109375
2018-10-05,66.06248474121094
2018-10-08,67.27888488769531
2018-10-09,65.91766357421875
2018-10-10,69.36414337158203
2018-10-11,67.5829849243164
2018-10-12,70.31987762451172
2018-10-15,72.62237548828125
2018-10-16,72.9409408569336
2018-10-17,69.75511932373047
2018-10-19,68.3794174194336
2018-10-22,69.46549987792969
2018-10-23,68.95864868164062
2018-10-24,69.55238342285156
2018-10-25,68.94418334960938
2018-10-26,68.98761749267578
2018-10-29,72.78167724609375
2018-10-30,73.44780731201172
2018-10-31,73.41885375976562
2018-11-01,76.45983123779297
2018-11-02,74.96832275390625
2018-11-05,76.40192413330078
2018-11-06,76.83637237548828
2018-11-07,78.31343078613281
2018-11-09,82.23777770996094
2018-11-12,81.35444641113281
2018-11-13,87.88538360595703
2018-11-14,91.25948333740234
2018-11-15,86.10421752929688
2018-11-16,85.38016510009766
2018-11-19,82.13642120361328
2018-11-20,78.40030670166016
2018-11-21,80.73176574707031
2018-11-22,79.09540557861328
2018-11-26,78.12516021728516
2018-11-27,79.29812622070312
2018-11-28,77.50249481201172
2018-11-29,77.47352600097656
2018-11-30,77.22734832763672
2018-12-03,77.76313781738281
2018-12-04,79.1243667602539
2018-12-05,77.95140075683594
2018-12-06,78.47271728515625
2018-12-07,79.21123504638672
2018-12-10,76.15576171875
2018-12-11,78.54512786865234
2018-12-12,79.00851440429688
2018-12-13,79.3560562133789
2018-12-14,77.60385131835938
2018-12-17,83.4107666015625
2018-12-18,83.58451843261719
2018-12-19,82.16537475585938
2018-12-20,85.38016510009766
2018-12-21,83.33834838867188
2018-12-24,82.469482421875
2018-12-26,81.03585052490234
2018-12-27,81.21263885498047
2018-12-28,81.59563446044922
2018-12-31,80.72649383544922
2019-01-01,79.94574737548828
2019-01-02,78.81145477294922
2019-01-03,77.51510620117188
2019-01-04,76.690185546875
2019-01-07,76.58706665039062
2019-01-08,75.93889617919922
2019-01-09,76.21878051757812
2019-01-10,78.8261947631836
2019-01-11,78.89985656738281
2019-01-14,77.63298034667969
2019-01-15,76.76383972167969
2019-01-16,76.49867248535156
2019-01-17,75.040283203125
2019-01-18,74.87825012207031
2019-01-21,74.3626480102539
2019-01-22,72.8895492553711
2019-01-23,72.38870239257812
2019-01-24,70.40000915527344
2019-01-25,72.47710418701172
2019-01-28,70.72408294677734
2019-01-29,69.0741958618164
2019-01-30,71.28386688232422
2019-01-31,71.8141860961914
2019-02-01,70.7093505859375
2019-02-04,67.71892547607422
2019-02-05,67.9693603515625
2019-02-06,67.8662338256836
2019-02-07,67.7483901977539
2019-02-08,67.29173278808594
2019-02-11,64.93475341796875
2019-02-12,62.828189849853516
2019-02-14,62.2978630065918
2019-02-15,60.76584243774414
2019-02-18,59.70521545410156
2019-02-19,60.81003952026367
2019-02-20,62.12110900878906
2019-02-21,62.504127502441406
2019-02-22,64.12452697753906
2019-02-25,64.5517349243164
2019-02-26,63.167015075683594
2019-02-27,67.12969207763672
2019-02-28,69.36881256103516
2019-03-01,70.16429901123047
2019-03-05,75.68846130371094
2019-03-06,74.68675231933594
2019-03-07,75.17288970947266
2019-03-08,75.98310852050781
2019-03-11,77.1468505859375
2019-03-12,79.12081146240234
2019-03-13,77.98651885986328
2019-03-14,78.6936264038086
2019-03-15,80.24037170410156
2019-03-18,79.44491577148438
2019-03-19,79.25338745117188
2019-03-20,77.96739196777344
2019-03-22,76.7113037109375
2019-03-25,73.94491577148438
2019-03-26,75.18603515625
2019-03-27,76.75615692138672
2019-03-28,76.75615692138672
2019-04-01,76.95053100585938
2019-04-02,76.26271057128906
2019-04-03,74.5580062866211
2019-04-04,73.60098266601562
2019-04-05,73.85517883300781
