Date,ZENSARTECH.NS
2015-08-21,156.88609313964844
2015-08-24,132.21835327148438
2015-08-25,136.3858642578125
2015-08-26,134.13780212402344
2015-08-27,144.7122039794922
2015-08-28,144.32308959960938
2015-08-31,144.6429901123047
2015-09-01,140.51010131835938
2015-09-02,140.81272888183594
2015-09-03,144.06370544433594
2015-09-04,137.2245330810547
2015-09-07,134.9851531982422
2015-09-08,135.55581665039062
2015-09-09,137.74330139160156
2015-09-10,137.2245330810547
2015-09-11,143.5189971923828
2015-09-14,146.0523223876953
2015-09-15,146.29443359375
2015-09-16,142.29122924804688
2015-09-18,139.11802673339844
2015-09-21,139.273681640625
2015-09-22,137.05162048339844
2015-09-23,137.63954162597656
2015-09-24,136.7057647705078
2015-09-28,136.55874633789062
2015-09-29,132.65927124023438
2015-09-30,139.71461486816406
2015-10-01,142.879150390625
2015-10-05,140.3285369873047
2015-10-06,141.0029296875
2015-10-07,139.8443603515625
2015-10-08,142.8359375
2015-10-09,145.06668090820312
2015-10-12,168.0137939453125
2015-10-13,168.32505798339844
2015-10-14,162.86062622070312
2015-10-15,170.22727966308594
2015-10-16,168.0829620361328
2015-10-19,170.8238525390625
2015-10-20,164.59852600097656
2015-10-21,166.42291259765625
2015-10-23,163.82041931152344
2015-10-26,159.7393341064453
2015-10-27,160.52615356445312
2015-10-28,166.59580993652344
2015-10-29,168.83517456054688
2015-10-30,166.56124877929688
2015-11-02,170.5817108154297
2015-11-03,171.88731384277344
2015-11-04,164.85794067382812
2015-11-05,166.67364501953125
2015-11-06,166.03379821777344
2015-11-09,164.32183837890625
2015-11-10,164.28726196289062
2015-11-13,166.08563232421875
2015-11-16,170.8583984375
2015-11-17,178.25096130371094
2015-11-18,179.3403778076172
2015-11-19,183.1360626220703
2015-11-20,181.4068145751953
2015-11-23,186.94044494628906
2015-11-24,190.0443878173828
2015-11-26,187.70130920410156
2015-11-27,186.1449737548828
2015-11-30,188.66102600097656
2015-12-01,182.0812530517578
2015-12-02,181.88238525390625
2015-12-03,177.72349548339844
2015-12-04,178.1039581298828
2015-12-07,177.04049682617188
2015-12-08,173.34854125976562
2015-12-09,170.14942932128906
2015-12-10,171.88731384277344
2015-12-11,172.6136016845703
2015-12-14,179.81591796875
2015-12-15,183.92288208007812
2015-12-16,185.72994995117188
2015-12-17,189.82827758789062
2015-12-18,186.94906616210938
2015-12-21,177.87051391601562
2015-12-22,178.55355834960938
2015-12-23,179.82456970214844
2015-12-24,179.3836212158203
2015-12-28,189.1279296875
2015-12-29,187.8396453857422
2015-12-30,186.29197692871094
2015-12-31,188.39300537109375
2016-01-01,187.9001922607422
2016-01-04,184.29466247558594
2016-01-05,184.30332946777344
2016-01-06,184.13905334472656
2016-01-07,176.34881591796875
2016-01-08,186.23141479492188
2016-01-11,184.58865356445312
2016-01-12,182.70375061035156
2016-01-13,175.691650390625
2016-01-14,175.41500854492188
2016-01-15,171.55014038085938
2016-01-18,163.91549682617188
2016-01-19,162.55799865722656
2016-01-20,144.9542694091797
2016-01-21,158.53753662109375
2016-01-22,160.0592498779297
2016-01-25,163.81175231933594
2016-01-27,160.18894958496094
2016-01-28,156.3673095703125
2016-01-29,157.25413513183594
2016-02-01,156.02821350097656
2016-02-02,152.23751831054688
2016-02-03,149.48143005371094
2016-02-04,150.1595916748047
2016-02-05,152.46356201171875
2016-02-08,166.71359252929688
2016-02-09,166.15711975097656
2016-02-10,164.89642333984375
2016-02-11,155.07183837890625
2016-02-12,151.428955078125
2016-02-15,153.45472717285156
2016-02-16,150.5943145751953
2016-02-17,148.35116577148438
2016-02-18,149.21189880371094
2016-02-19,147.48175048828125
2016-02-22,148.6902618408203
2016-02-23,148.7423858642578
2016-02-24,144.1952362060547
2016-02-25,140.86534118652344
2016-02-26,143.69097900390625
2016-02-29,146.57748413085938
2016-03-01,149.6031494140625
2016-03-02,152.2201385498047
2016-03-03,151.57675170898438
2016-03-04,150.19435119628906
2016-03-08,150.4551544189453
2016-03-09,150.84642028808594
2016-03-10,150.57687377929688
2016-03-11,148.54241943359375
2016-03-14,150.84642028808594
2016-03-15,150.4551544189453
2016-03-16,149.96829223632812
2016-03-17,148.7336883544922
2016-03-18,148.62936401367188
2016-03-21,148.5946044921875
2016-03-22,151.27703857421875
2016-03-23,150.52317810058594
2016-03-28,152.5393524169922
2016-03-29,158.4477081298828
2016-03-30,164.26840209960938
2016-03-31,163.63726806640625
2016-04-01,166.67909240722656
2016-04-04,168.15184020996094
2016-04-05,168.40602111816406
2016-04-06,168.85311889648438
2016-04-07,167.31027221679688
2016-04-08,168.37098693847656
2016-04-11,166.45997619628906
2016-04-12,168.56382751464844
2016-04-13,169.83489990234375
2016-04-18,170.36964416503906
2016-04-20,173.37644958496094
2016-04-21,173.91990661621094
2016-04-22,175.03323364257812
2016-04-25,166.6001739501953
2016-04-26,171.9387969970703
2016-04-27,170.9744873046875
2016-04-28,170.96575927734375
2016-04-29,171.3076171875
2016-05-02,169.85247802734375
2016-05-03,170.01025390625
2016-05-04,170.28199768066406
2016-05-05,170.15049743652344
2016-05-06,170.1329803466797
2016-05-09,171.763427734375
2016-05-10,170.16802978515625
2016-05-11,167.04727172851562
2016-05-12,169.2300262451172
2016-05-13,169.08103942871094
2016-05-16,168.975830078125
2016-05-17,170.54498291015625
2016-05-18,179.08319091796875
2016-05-19,172.41217041015625
2016-05-20,171.2725830078125
2016-05-23,169.24758911132812
2016-05-24,168.3271484375
2016-05-25,166.5914306640625
2016-05-26,169.29141235351562
2016-05-27,168.71286010742188
