Date,TKA.VI
2015-08-24,2.993278741836548
2015-08-25,3.0503530502319336
2015-08-26,3.0718259811401367
2015-08-27,3.135680913925171
2015-08-28,3.0853888988494873
2015-08-31,3.1311604976654053
2015-09-01,3.084258794784546
2015-09-02,3.047527551651001
2015-09-03,3.1328558921813965
2015-09-04,3.0622198581695557
2015-09-07,3.055438756942749
2015-09-08,3.055438756942749
2015-09-09,3.031705141067505
2015-09-10,3.018707275390625
2015-09-11,3.035660982131958
2015-09-14,2.9977993965148926
2015-09-15,2.9921483993530273
2015-09-16,2.9898881912231445
2015-09-17,3.003450870513916
2015-09-18,2.9565484523773193
2015-09-21,2.999495029449463
2015-09-22,2.97463059425354
2015-09-23,2.9384655952453613
2015-09-24,2.852571487426758
2015-09-25,2.883086681365967
2015-09-28,2.853701591491699
2015-09-29,2.853701591491699
2015-09-30,2.8508763313293457
2015-10-01,2.84635591506958
2015-10-02,2.8028433322906494
2015-10-05,2.83392333984375
2015-10-06,2.8350541591644287
2015-10-07,2.829968214035034
2015-10-08,2.8599181175231934
2015-10-09,2.8695240020751953
2015-10-12,2.8729147911071777
2015-10-13,2.827707290649414
2015-10-14,2.8593530654907227
2015-10-15,2.900038719177246
2015-10-16,2.9480714797973633
2015-10-19,3.001189947128296
2015-10-20,3.0712616443634033
2015-10-21,3.16789174079895
2015-10-22,3.2260966300964355
2015-10-23,3.2034919261932373
2015-10-27,3.1588497161865234
2015-10-28,3.1690216064453125
2015-10-29,3.1729776859283447
2015-10-30,3.097820281982422
2015-11-02,3.168457269668579
2015-11-03,3.1910605430603027
2015-11-04,3.174672842025757
2015-11-05,3.1588497161865234
2015-11-06,3.1588497161865234
2015-11-09,2.989323377609253
2015-11-10,3.0107967853546143
2015-11-11,2.9785866737365723
2015-11-12,2.916426181793213
2015-11-13,2.9785866737365723
2015-11-16,2.92490291595459
2015-11-17,2.9989302158355713
2015-11-18,2.9819772243499756
2015-11-19,3.020967960357666
2015-11-20,3.0204029083251953
2015-11-23,2.9819772243499756
2015-11-24,2.953157663345337
2015-11-25,2.9621992111206055
2015-11-26,2.966719627380371
2015-11-27,2.972370147705078
2015-11-30,2.9130358695983887
2015-12-01,2.946376085281372
2015-12-02,2.941290855407715
