Date,MALLPLAZA.SN
2018-07-27,1251.9573974609375
2018-07-30,1258.56201171875
2018-07-31,1267.4874267578125
2018-08-01,1271.861083984375
2018-08-02,1276.32373046875
2018-08-03,1281.9466552734375
2018-08-06,1280.8753662109375
2018-08-07,1280.8753662109375
2018-08-08,1282.5712890625
2018-08-09,1287.39111328125
2018-08-10,1287.21240234375
2018-08-13,1281.4107666015625
2018-08-14,1287.21240234375
2018-08-16,1289.7115478515625
2018-08-17,1289.80078125
2018-08-20,1289.7115478515625
2018-08-21,1287.8372802734375
2018-08-22,1289.7115478515625
2018-08-23,1289.7115478515625
2018-08-24,1289.3546142578125
2018-08-27,1291.05029296875
2018-08-28,1291.5859375
2018-08-29,1292.3892822265625
2018-08-30,1285.5167236328125
2018-08-31,1280.60791015625
2018-09-03,1283.552978515625
2018-09-04,1275.8773193359375
2018-09-05,1277.216064453125
2018-09-06,1285.4273681640625
2018-09-07,1289.3546142578125
2018-09-10,1284.6239013671875
2018-09-11,1284.3564453125
2018-09-12,1281.76806640625
2018-09-13,1277.93017578125
2018-09-14,1278.197998046875
2018-09-20,1287.033935546875
2018-09-21,1288.1051025390625
2018-09-24,1280.786376953125
2018-09-25,1289.6221923828125
2018-09-26,1297.030517578125
2018-09-27,1290.4256591796875
2018-09-28,1288.1943359375
2018-10-01,1303.0103759765625
2018-10-02,1302.921142578125
2018-10-03,1308.454833984375
2018-10-04,1303.0103759765625
2018-10-05,1301.40380859375
2018-10-08,1303.0994873046875
2018-10-09,1307.2943115234375
2018-10-10,1302.56396484375
2018-10-11,1294.1741943359375
2018-10-12,1292.567626953125
2018-10-16,1293.4600830078125
2018-10-17,1285.1597900390625
2018-10-18,1282.3033447265625
2018-10-19,1281.3218994140625
2018-10-22,1277.3052978515625
2018-10-23,1275.9666748046875
2018-10-24,1279.8936767578125
2018-10-25,1276.32373046875
2018-10-26,1276.32373046875
2018-10-29,1273.3782958984375
2018-10-30,1267.30908203125
2018-10-31,1270.879150390625
2018-11-05,1279.8045654296875
2018-11-06,1287.7481689453125
2018-11-07,1290.9613037109375
2018-11-08,1302.831787109375
2018-11-09,1301.9393310546875
2018-11-12,1303.0103759765625
2018-11-13,1302.47509765625
2018-11-14,1296.7625732421875
2018-11-15,1295.602294921875
2018-11-16,1291.675048828125
2018-11-19,1285.7843017578125
2018-11-20,1286.49853515625
2018-11-21,1292.0322265625
2018-11-22,1288.9974365234375
2018-11-23,1297.9229736328125
2018-11-26,1301.046630859375
2018-11-27,1296.85205078125
2018-11-28,1299.172607421875
2018-11-29,1302.296142578125
2018-11-30,1303.635009765625
2018-12-03,1310.0614013671875
2018-12-04,1308.454833984375
2018-12-05,1311.1324462890625
2018-12-06,1307.562255859375
2018-12-07,1316.487548828125
2018-12-10,1303.9921875
2018-12-11,1317.291015625
2018-12-12,1313.185302734375
2018-12-13,1310.2398681640625
2018-12-14,1303.1888427734375
2018-12-17,1302.831787109375
2018-12-18,1327.4658203125
2018-12-19,1314.524169921875
2018-12-20,1298.8155517578125
2018-12-21,1301.85009765625
2018-12-24,1289.7115478515625
2018-12-26,1285.2489013671875
2018-12-27,1281.5894775390625
2018-12-28,1286.766357421875
2019-01-02,1283.6424560546875
2019-01-03,1302.47509765625
2019-01-04,1320.861083984375
2019-01-07,1320.9503173828125
2019-01-08,1325.680908203125
2019-01-09,1323.8062744140625
2019-01-10,1332.1068115234375
2019-01-11,1339.9554443359375
2019-01-14,1338.611328125
2019-01-15,1335.833251953125
2019-01-16,1364.3294677734375
2019-01-17,1354.7410888671875
2019-01-18,1357.9671630859375
2019-01-21,1371.3192138671875
2019-01-22,1350.619140625
2019-01-23,1356.35400390625
2019-01-24,1362.0892333984375
2019-01-25,1353.2177734375
2019-01-28,1344.1671142578125
2019-01-29,1335.2059326171875
2019-01-30,1331.6214599609375
2019-01-31,1356.7125244140625
2019-02-01,1346.3177490234375
2019-02-04,1352.948974609375
2019-02-05,1362.0892333984375
2019-02-06,1356.7125244140625
2019-02-07,1356.7125244140625
2019-02-08,1355.547607421875
2019-02-11,1373.111328125
2019-02-12,1418.1859130859375
2019-02-13,1405.6402587890625
2019-02-14,1406.80517578125
2019-02-15,1406.088134765625
2019-02-18,1433.151123046875
2019-02-19,1417.2001953125
2019-02-20,1415.8560791015625
2019-02-21,1415.8560791015625
2019-02-22,1415.8560791015625
2019-02-25,1445.069091796875
2019-02-26,1433.778076171875
2019-02-27,1414.2430419921875
2019-02-28,1419.4404296875
2019-03-01,1397.9337158203125
2019-03-04,1395.24560546875
2019-03-05,1400.08447265625
2019-03-06,1406.9844970703125
2019-03-07,1436.466552734375
2019-03-08,1438.258544921875
2019-03-11,1438.169189453125
2019-03-12,1479.7489013671875
2019-03-13,1483.064208984375
2019-03-14,1495.6099853515625
2019-03-15,1505.4671630859375
2019-03-18,1487.5447998046875
2019-03-19,1475.35791015625
2019-03-20,1465.1419677734375
2019-03-21,1442.828857421875
2019-03-22,1418.0067138671875
2019-03-25,1433.778076171875
2019-03-26,1425.26513671875
2019-03-27,1433.778076171875
2019-03-28,1437.1834716796875
2019-03-29,1451.700439453125
2019-04-01,1448.115966796875
2019-04-02,1442.7393798828125
2019-04-03,1433.8677978515625
2019-04-04,1447.2198486328125
2019-04-05,1431.98583984375
2019-04-08,1419.26123046875
2019-04-09,1429.9248046875
2019-04-10,1438.8861083984375
2019-04-11,1447.3990478515625
2019-04-12,1456.1810302734375
2019-04-15,1447.2198486328125
2019-04-16,1447.1302490234375
2019-04-17,1447.7574462890625
2019-04-18,1456.1810302734375
2019-04-22,1443.5458984375
2019-04-23,1447.48876953125
2019-04-24,1434.2261962890625
2019-04-25,1449.9718017578125
2019-04-26,1450.0625
2019-04-29,1445.4407958984375
