Date,BLND.L
2015-08-24,795.7857055664062
2015-08-25,818.1812133789062
2015-08-26,804.743896484375
2015-08-27,820.171875
2015-08-28,816.1905517578125
2015-09-01,799.7671508789062
2015-09-02,813.7022094726562
2015-09-03,818.1812133789062
2015-09-04,799.7671508789062
2015-09-07,798.7719116210938
2015-09-08,809.7208251953125
2015-09-09,820.171875
2015-09-10,822.16259765625
2015-09-11,808.2276000976562
2015-09-14,800.264892578125
2015-09-15,798.2740478515625
2015-09-16,802.255615234375
2015-09-17,801.7579345703125
2015-09-18,808.725341796875
2015-09-21,810.716064453125
2015-09-22,801.2603759765625
2015-09-23,819.6742553710938
2015-09-24,821.167236328125
2015-09-25,842.0698852539062
2015-09-28,828.134765625
2015-09-29,817.6835327148438
2015-09-30,834.6046142578125
2015-10-01,824.7208862304688
2015-10-02,833.1820678710938
2015-10-05,853.588623046875
2015-10-06,849.109130859375
2015-10-07,829.2003784179688
2015-10-08,838.1592407226562
2015-10-09,841.1455688476562
2015-10-12,838.1592407226562
2015-10-13,844.629638671875
2015-10-14,839.1547241210938
2015-10-15,843.6342163085938
2015-10-16,845.6251220703125
2015-10-19,856.0770263671875
2015-10-20,858.5657958984375
2015-10-21,856.5747680664062
2015-10-22,865.53369140625
2015-10-23,861.5520629882812
2015-10-26,866.031494140625
2015-10-27,864.5383911132812
2015-10-28,872.0040283203125
2015-10-29,866.031494140625
2015-10-30,866.529296875
2015-11-02,868.0222778320312
2015-11-03,853.0907592773438
2015-11-04,831.1911010742188
2015-11-05,848.1135864257812
2015-11-06,834.67529296875
2015-11-09,818.7479858398438
2015-11-10,817.2549438476562
2015-11-11,812.27783203125
2015-11-12,799.8348999023438
2015-11-13,800.33251953125
2015-11-16,816.259521484375
2015-11-17,834.67529296875
2015-11-18,825.218505859375
2015-11-19,837.6614990234375
2015-11-20,839.1547241210938
2015-11-23,825.218505859375
2015-11-24,814.7665405273438
2015-11-25,826.2139892578125
2015-11-26,826.2139892578125
2015-11-27,830.6935424804688
2015-11-30,830.19580078125
2015-12-01,842.1410522460938
2015-12-02,841.6433715820312
2015-12-03,811.7800903320312
2015-12-04,810.2869262695312
2015-12-07,809.2915649414062
2015-12-08,800.33251953125
2015-12-09,795.3552856445312
2015-12-10,792.8668212890625
2015-12-11,770.4695434570312
2015-12-14,758.524169921875
2015-12-15,774.451171875
2015-12-16,789.88037109375
2015-12-17,790.8761596679688
2015-12-18,779.42822265625
2015-12-21,772.9580078125
2015-12-22,776.442138671875
2015-12-23,785.8987426757812
2015-12-24,789.88037109375
2015-12-29,792.8668212890625
2015-12-30,783.9078369140625
2015-12-31,782.4147338867188
2016-01-04,766.9854125976562
2016-01-05,780.9215698242188
2016-01-06,767.9808959960938
2016-01-07,752.1228637695312
2016-01-08,738.185546875
2016-01-11,737.6879272460938
2016-01-12,741.6698608398438
2016-01-13,739.18115234375
2016-01-14,728.7279663085938
2016-01-15,711.8038940429688
2016-01-18,708.8173217773438
2016-01-19,711.8038940429688
2016-01-20,693.3867797851562
2016-01-21,711.8038940429688
2016-01-22,727.2348022460938
2016-01-25,731.7144165039062
2016-01-26,729.7235717773438
2016-01-27,726.7369995117188
2016-01-28,718.27490234375
2016-01-29,736.692138671875
2016-02-01,745.1543579101562
2016-02-02,731.7144165039062
2016-02-03,717.7771606445312
2016-02-04,711.30615234375
2016-02-05,712.3017578125
2016-02-08,675.9650268554688
2016-02-09,666.0094604492188
2016-02-10,679.44921875
2016-02-11,648.0900268554688
2016-02-12,649.5831909179688
2016-02-15,675.4672241210938
2016-02-16,672.9783325195312
2016-02-17,685.4225463867188
2016-02-18,684.9246826171875
2016-02-19,689.4044799804688
2016-02-22,668.000732421875
2016-02-23,658.0452270507812
2016-02-24,641.619140625
2016-02-25,654.56103515625
2016-02-26,656.05419921875
2016-02-29,656.05419921875
2016-03-01,676.4627075195312
2016-03-02,679.9469604492188
2016-03-03,681.9381103515625
2016-03-04,682.93359375
2016-03-07,670.9873046875
2016-03-08,673.9738159179688
2016-03-09,668.9962768554688
2016-03-10,667.005126953125
2016-03-11,686.9156494140625
2016-03-14,695.8755493164062
2016-03-15,693.3867797851562
2016-03-16,688.9066772460938
2016-03-17,697.3687744140625
2016-03-18,702.346435546875
2016-03-21,702.8442993164062
2016-03-22,697.3687744140625
2016-03-23,697.8663940429688
2016-03-24,684.9246826171875
2016-03-29,697.8663940429688
2016-03-30,705.8308715820312
2016-03-31,697.4385375976562
2016-04-01,692.4605712890625
2016-04-04,692.4605712890625
2016-04-05,693.4561767578125
2016-04-06,701.4210815429688
2016-04-07,696.4429321289062
2016-04-08,704.9058837890625
2016-04-11,707.892578125
2016-04-12,710.381591796875
2016-04-13,729.7965087890625
2016-04-14,720.337890625
2016-04-15,704.4081420898438
2016-04-18,698.931884765625
2016-04-19,702.4166259765625
2016-04-20,708.3903198242188
2016-04-21,698.43408203125
2016-04-22,682.0062866210938
2016-04-25,700.4252319335938
2016-04-26,713.866455078125
2016-04-27,721.3336791992188
2016-04-28,721.3336791992188
2016-04-29,715.8577880859375
2016-05-03,716.35546875
2016-05-04,711.8751831054688
2016-05-05,715.8577880859375
2016-05-06,726.3118896484375
2016-05-09,734.2769165039062
2016-05-10,733.7788696289062
2016-05-11,719.3423461914062
2016-05-12,713.3685302734375
2016-05-13,716.8532104492188
2016-05-16,711.8751831054688
2016-05-17,719.8401489257812
2016-05-18,715.8577880859375
2016-05-19,717.3511352539062
2016-05-20,738.2593383789062
2016-05-23,743.7353515625
2016-05-24,758.1719970703125
2016-05-25,754.6875
2016-05-26,757.1763305664062
2016-05-27,756.678466796875
2016-05-31,736.7658081054688
2016-06-01,728.3031005859375
2016-06-02,726.8096923828125
2016-06-03,734.7747192382812
2016-06-06,738.7571411132812
