Date,BBSE3.SA
2015-08-24,13.982632637023926
2015-08-25,13.837986946105957
2015-08-26,14.286395072937012
2015-08-27,14.585333824157715
2015-08-28,14.320146560668945
2015-08-31,13.837986946105957
2015-09-01,13.389577865600586
2015-09-02,13.283502578735352
2015-09-03,13.727089881896973
2015-09-04,13.196714401245117
2015-09-08,12.825450897216797
2015-09-09,12.512045860290527
2015-09-10,12.285429954528809
2015-09-11,12.994207382202148
2015-09-14,13.47636604309082
2015-09-15,13.399222373962402
2015-09-16,13.833166122436523
2015-09-17,13.558333396911621
2015-09-18,12.926702499389648
2015-09-21,12.632585525512695
2015-09-22,12.324005126953125
2015-09-23,12.010601043701172
2015-09-24,12.12631893157959
2015-09-25,12.053995132446289
2015-09-28,11.755054473876953
2015-09-29,11.5718355178833
2015-09-30,11.962383270263672
2015-10-01,12.082924842834473
2015-10-02,12.859201431274414
2015-10-05,12.999028205871582
2015-10-06,13.008668899536133
2015-10-07,13.645123481750488
2015-10-08,13.625835418701172
2015-10-09,14.12246036529541
2015-10-13,13.910313606262207
2015-10-14,13.596908569335938
2015-10-15,13.601729393005371
2015-10-16,13.837986946105957
2015-10-19,14.059781074523926
2015-10-20,13.722267150878906
2015-10-21,13.712625503540039
2015-10-22,13.770483016967773
2015-10-23,13.717448234558105
2015-10-26,13.635478973388672
2015-10-27,13.326896667480469
2015-10-28,13.524581909179688
2015-10-29,12.810983657836914
2015-10-30,12.825450897216797
2015-11-03,13.601729393005371
2015-11-04,13.572796821594238
2015-11-05,14.07906723022461
2015-11-06,13.760843276977539
2015-11-09,13.259393692016602
2015-11-10,13.519760131835938
2015-11-11,13.432971954345703
2015-11-12,13.481185913085938
2015-11-13,13.254570960998535
2015-11-16,13.558333396911621
2015-11-17,13.596908569335938
2015-11-18,13.727089881896973
2015-11-19,14.07906723022461
2015-11-23,13.741554260253906
2015-11-24,13.87173843383789
2015-11-25,13.500475883483887
2015-11-26,13.717448234558105
2015-11-27,13.06653118133545
2015-11-30,12.521692276000977
2015-12-01,12.868847846984863
2015-12-02,12.584371566772461
2015-12-03,13.645123481750488
2015-12-04,12.979743003845215
2015-12-07,13.283502578735352
2015-12-08,12.777235984802246
2015-12-09,13.741554260253906
2015-12-10,13.524581909179688
2015-12-11,13.548691749572754
2015-12-14,13.375112533569336
2015-12-15,12.888132095336914
2015-12-16,13.042418479919434
2015-12-17,13.134032249450684
2015-12-18,12.174535751342773
2015-12-21,11.875597953796387
2015-12-22,11.793628692626953
2015-12-23,11.972028732299805
2015-12-28,11.745413780212402
2015-12-29,11.620054244995117
2015-12-30,11.730947494506836
2016-01-04,11.007707595825195
2016-01-05,11.711663246154785
2016-01-06,11.620054244995117
2016-01-07,11.161999702453613
2016-01-08,11.374153137207031
2016-01-11,11.017350196838379
2016-01-12,11.200572967529297
2016-01-13,11.108963012695312
2016-01-14,11.475403785705566
2016-01-15,10.993245124816895
2016-01-18,10.728055953979492
2016-01-19,10.940204620361328
2016-01-20,11.060744285583496
2016-01-21,10.47251033782959
2016-01-22,10.597872734069824
2016-01-26,10.125356674194336
2016-01-27,10.154284477233887
2016-01-28,10.486976623535156
2016-01-29,11.152356147766113
2016-02-01,11.330754280090332
2016-02-02,10.848596572875977
2016-02-03,11.123427391052246
2016-02-04,11.301824569702148
2016-02-05,11.5718355178833
2016-02-10,11.5718355178833
2016-02-11,11.13789176940918
2016-02-12,11.13789176940918
2016-02-15,11.335578918457031
2016-02-16,11.427186965942383
2016-02-17,11.962383270263672
2016-02-18,11.595942497253418
2016-02-19,11.673089981079102
2016-02-22,12.174535751342773
2016-02-23,12.06845760345459
2016-02-24,11.67325210571289
2016-02-25,11.773024559020996
2016-02-26,11.773024559020996
2016-02-29,12.032427787780762
2016-03-01,12.69092082977295
2016-03-02,12.965290069580078
2016-03-03,13.4192533493042
2016-03-04,14.03284740447998
2016-03-07,14.012893676757812
2016-03-08,14.741223335266113
2016-03-09,14.860947608947754
2016-03-10,15.928502082824707
2016-03-11,15.659120559692383
2016-03-14,15.284975051879883
2016-03-15,13.768451690673828
2016-03-16,13.858246803283691
2016-03-17,15.369781494140625
2016-03-18,15.359806060791016
2016-03-21,15.389735221862793
2016-03-22,14.541679382324219
2016-03-23,14.397013664245605
2016-03-24,14.237380027770996
2016-03-28,14.985665321350098
2016-03-29,15.339850425720215
2016-03-30,15.12533950805664
2016-03-31,14.826028823852539
2016-04-01,14.666396141052246
2016-04-04,14.182501792907715
2016-04-05,14.247353553771973
2016-04-06,14.147584915161133
2016-04-07,14.511749267578125
2016-04-08,15.404702186584473
2016-04-11,15.279989242553711
2016-04-12,15.933488845825195
2016-04-13,16.023284912109375
2016-04-14,16.162967681884766
2016-04-15,16.58699607849121
2016-04-18,16.636878967285156
2016-04-19,16.75660514831543
2016-04-20,16.741640090942383
2016-04-22,16.836421966552734
2016-04-25,15.58928108215332
2016-04-26,15.659120559692383
2016-04-27,15.619208335876465
2016-04-28,14.940764427185059
2016-04-29,14.965705871582031
2016-05-02,14.721269607543945
2016-05-03,14.162549018859863
2016-05-04,14.177510261535645
2016-05-05,13.903143882751465
2016-05-06,13.763463020324707
2016-05-09,13.793394088745117
2016-05-10,14.247353553771973
2016-05-11,14.057790756225586
2016-05-12,14.092705726623535
2016-05-13,13.967995643615723
2016-05-16,13.464149475097656
2016-05-17,13.050100326538086
2016-05-18,13.494075775146484
2016-05-19,13.823328018188477
2016-05-20,13.568912506103516
2016-05-23,13.344426155090332
2016-05-24,13.608819007873535
2016-05-25,13.778429985046387
