Date,AUBANK.NS
2017-07-11,281.6759948730469
2017-07-12,312.6119384765625
2017-07-13,343.2003479003906
2017-07-14,297.3426208496094
2017-07-17,296.0018615722656
2017-07-18,292.4266052246094
2017-07-19,291.45831298828125
2017-07-20,289.2982177734375
2017-07-21,289.7203369140625
2017-07-24,291.1852111816406
2017-07-25,298.9564514160156
2017-07-26,295.4556884765625
2017-07-27,288.92584228515625
2017-07-28,292.22796630859375
2017-07-31,293.270751953125
2017-08-01,290.9369201660156
2017-08-02,289.0003356933594
2017-08-03,277.3310546875
2017-08-04,275.2454528808594
2017-08-07,273.80548095703125
2017-08-08,282.22222900390625
2017-08-09,273.0606384277344
2017-08-10,269.5350341796875
2017-08-11,268.88946533203125
2017-08-14,268.3432312011719
2017-08-16,270.1805419921875
2017-08-17,269.8825988769531
2017-08-18,267.0273742675781
2017-08-21,268.2439270019531
2017-08-22,262.9306640625
2017-08-23,260.8203125
2017-08-24,264.59417724609375
2017-08-28,267.126708984375
2017-08-29,270.52813720703125
2017-08-30,273.5323486328125
2017-08-31,272.837158203125
2017-09-01,274.2523498535156
2017-09-04,276.5862121582031
2017-09-05,284.6057434082031
2017-09-06,281.97393798828125
2017-09-07,277.4303894042969
2017-09-08,275.27032470703125
2017-09-11,277.38067626953125
2017-09-12,275.91583251953125
2017-09-13,276.83453369140625
2017-09-14,275.1461486816406
2017-09-15,281.6759948730469
2017-09-18,279.4166259765625
2017-09-19,274.624755859375
2017-09-20,273.0606384277344
2017-09-21,274.9475402832031
2017-09-22,271.09918212890625
2017-09-25,274.8482360839844
2017-09-26,278.12554931640625
2017-09-27,277.4055480957031
2017-09-28,276.66070556640625
2017-09-29,282.3463439941406
2017-10-03,279.3421325683594
2017-10-04,279.7145690917969
2017-10-05,290.8624267578125
2017-10-06,305.4117431640625
2017-10-09,293.66802978515625
2017-10-10,288.4044494628906
2017-10-11,288.8016357421875
2017-10-12,288.67755126953125
2017-10-13,290.8376159667969
2017-10-16,301.53857421875
2017-10-17,300.0984802246094
2017-10-18,293.8169860839844
2017-10-19,298.3854064941406
2017-10-23,297.1936340332031
2017-10-24,294.6611328125
2017-10-25,283.1656799316406
2017-10-26,288.67755126953125
2017-10-27,293.86663818359375
2017-10-30,291.95489501953125
2017-10-31,288.8761291503906
2017-11-01,292.625244140625
2017-11-02,303.0282897949219
2017-11-03,305.3372802734375
2017-11-06,305.4862365722656
2017-11-07,303.6241455078125
2017-11-08,303.82275390625
2017-11-09,309.73187255859375
2017-11-10,300.39642333984375
2017-11-13,305.23797607421875
2017-11-14,309.6573791503906
2017-11-15,310.8243408203125
2017-11-16,320.5817565917969
2017-11-17,332.9214172363281
2017-11-20,329.3212890625
2017-11-21,323.51153564453125
2017-11-22,324.107421875
2017-11-23,330.48822021484375
2017-11-24,329.3461608886719
2017-11-27,331.9779357910156
2017-11-28,337.4649353027344
2017-11-29,342.3809509277344
2017-11-30,346.6265563964844
2017-12-01,348.6376647949219
2017-12-04,341.4623107910156
2017-12-05,339.9477844238281
2017-12-06,334.1131896972656
2017-12-07,336.47186279296875
2017-12-08,342.5299377441406
2017-12-11,353.9757080078125
2017-12-12,359.63653564453125
2017-12-13,347.24725341796875
2017-12-14,335.55322265625
2017-12-15,332.9214172363281
2017-12-18,331.9034729003906
2017-12-19,333.0455627441406
2017-12-20,340.1216125488281
2017-12-21,339.3519592285156
2017-12-22,337.5890808105469
2017-12-26,337.2911682128906
2017-12-27,338.5574035644531
2017-12-28,336.447021484375
2017-12-29,331.10894775390625
2018-01-01,329.1474914550781
2018-01-02,328.427490234375
2018-01-03,332.57379150390625
2018-01-04,335.1807556152344
2018-01-05,347.3217468261719
2018-01-08,353.55364990234375
2018-01-09,347.29693603515625
2018-01-10,347.37139892578125
2018-01-11,352.3370056152344
