Date,BEL.NS
2015-08-21,30.149566650390625
2015-08-24,26.709300994873047
2015-08-25,28.071014404296875
2015-08-26,28.329469680786133
2015-08-27,28.79206657409668
2015-08-28,29.257186889648438
2015-08-31,28.362712860107422
2015-09-01,27.118871688842773
2015-09-02,27.570528030395508
2015-09-03,27.790260314941406
2015-09-04,27.175691604614258
2015-09-07,26.571659088134766
2015-09-08,27.533905029296875
2015-09-09,28.211185455322266
2015-09-10,28.639698028564453
2015-09-11,28.144681930541992
2015-09-14,27.64503288269043
2015-09-15,27.46824073791504
2015-09-16,27.1904239654541
2015-09-18,27.472036361694336
2015-09-21,27.83318519592285
2015-09-22,27.6374568939209
2015-09-23,28.856048583984375
2015-09-24,29.59478187561035
2015-09-28,29.881444931030273
2015-09-29,28.996219635009766
2015-09-30,28.676734924316406
2015-10-01,28.89393424987793
2015-10-05,29.897855758666992
2015-10-06,30.017818450927734
2015-10-07,30.399179458618164
2015-10-08,30.390336990356445
2015-10-09,30.49768829345703
2015-10-12,30.479999542236328
2015-10-13,30.005189895629883
2015-10-14,29.960994720458984
2015-10-15,29.878917694091797
2015-10-16,30.09231948852539
2015-10-19,30.019088745117188
2015-10-20,31.48518180847168
2015-10-21,31.069721221923828
2015-10-23,30.706029891967773
2015-10-26,30.333518981933594
2015-10-27,30.718666076660156
2015-10-28,30.610065460205078
2015-10-29,30.767911911010742
2015-10-30,31.413206100463867
2015-11-02,31.08992576599121
2015-11-03,31.770565032958984
2015-11-04,31.723848342895508
2015-11-05,31.32480812072754
2015-11-06,31.43214988708496
2015-11-09,32.5926513671875
2015-11-10,31.554637908935547
2015-11-13,31.20989990234375
2015-11-16,31.529373168945312
2015-11-17,31.67333984375
2015-11-18,31.078567504882812
2015-11-19,31.516746520996094
2015-11-20,31.64176368713379
2015-11-23,31.592519760131836
2015-11-24,31.698589324951172
2015-11-26,32.31104278564453
2015-11-27,32.19866180419922
2015-11-30,31.667020797729492
2015-12-01,31.265460968017578
2015-12-02,30.772972106933594
2015-12-03,30.89798355102539
2015-12-04,30.96112060546875
2015-12-07,30.9080810546875
2015-12-08,30.68205451965332
2015-12-09,30.240066528320312
2015-12-10,30.103683471679688
2015-12-11,29.577110290527344
2015-12-14,29.954683303833008
2015-12-15,29.734952926635742
2015-12-16,30.179454803466797
2015-12-17,30.42443084716797
2015-12-18,31.155588150024414
2015-12-21,31.768054962158203
2015-12-22,32.081214904785156
2015-12-23,32.130470275878906
2015-12-24,33.26571273803711
2015-12-28,33.00811767578125
2015-12-29,33.93373489379883
2015-12-30,34.157249450683594
2015-12-31,34.628265380859375
2016-01-01,34.74571228027344
2016-01-04,34.60175704956055
2016-01-05,34.50324249267578
2016-01-06,34.181236267089844
2016-01-07,32.675987243652344
2016-01-08,32.7833366394043
2016-01-11,33.605411529541016
2016-01-12,33.845340728759766
2016-01-13,33.83649826049805
2016-01-14,33.02705383300781
2016-01-15,31.81098175048828
2016-01-18,31.196002960205078
2016-01-19,31.77436065673828
2016-01-20,30.632801055908203
2016-01-21,29.601099014282227
2016-01-22,30.146621704101562
2016-01-25,30.544401168823242
2016-01-27,30.45853614807129
2016-01-28,31.009109497070312
2016-01-29,31.103818893432617
2016-02-01,31.15180778503418
2016-02-02,30.894193649291992
2016-02-03,30.71108627319336
2016-02-04,30.89836883544922
2016-02-05,31.277976989746094
2016-02-08,31.132469177246094
2016-02-09,30.598468780517578
2016-02-10,30.069536209106445
2016-02-11,28.447298049926758
2016-02-12,28.482738494873047
2016-02-15,29.390026092529297
2016-02-16,28.25116539001465
2016-02-17,28.347341537475586
2016-02-18,28.971176147460938
2016-02-19,28.5915584564209
2016-02-22,29.293851852416992
2016-02-23,28.26761817932129
2016-02-24,27.610876083374023
2016-02-25,27.000959396362305
2016-02-26,26.71877670288086
2016-02-29,26.065834045410156
2016-03-01,26.302459716796875
2016-03-02,26.592239379882812
2016-03-03,27.209747314453125
2016-03-04,27.852571487426758
2016-03-08,27.486867904663086
2016-03-09,27.712106704711914
2016-03-10,27.431194305419922
2016-03-11,27.50458526611328
2016-03-14,27.1983585357666
2016-03-15,26.913646697998047
2016-03-16,26.955402374267578
2016-03-17,27.431194305419922
2016-03-18,27.910778045654297
2016-03-21,29.788619995117188
2016-03-22,30.151792526245117
2016-03-23,30.412456512451172
2016-03-28,29.550731658935547
2016-03-29,29.86580467224121
2016-03-30,30.619985580444336
2016-03-31,30.984413146972656
2016-04-01,30.34665870666504
2016-04-04,30.518756866455078
2016-04-05,29.889850616455078
2016-04-06,29.650691986083984
2016-04-07,29.16351890563965
2016-04-08,29.550731658935547
2016-04-11,29.120487213134766
2016-04-12,29.954376220703125
2016-04-13,30.21885108947754
2016-04-18,30.525075912475586
2016-04-20,30.32261848449707
2016-04-21,29.592487335205078
2016-04-22,29.595020294189453
2016-04-25,29.66082000732422
2016-04-26,30.150524139404297
2016-04-27,30.688316345214844
2016-04-28,29.95693016052246
2016-04-29,29.91009521484375
2016-05-02,30.045495986938477
2016-05-03,29.759517669677734
2016-05-04,29.023056030273438
2016-05-05,29.015464782714844
2016-05-06,28.905376434326172
2016-05-09,29.16730499267578
2016-05-10,29.601343154907227
2016-05-11,29.292587280273438
2016-05-12,29.35838508605957
2016-05-13,29.076202392578125
2016-05-16,28.71810531616211
2016-05-17,28.66242027282715
2016-05-18,29.100250244140625
2016-05-19,28.289125442504883
2016-05-20,27.841184616088867
2016-05-23,27.804479598999023
2016-05-24,28.063888549804688
2016-05-25,28.07021713256836
2016-05-26,28.4460391998291
2016-05-27,29.94046401977539
