Date,PSON.L
2015-08-24,1070.581298828125
2015-08-25,1102.4793701171875
2015-08-26,1078.5560302734375
2015-08-27,1102.4793701171875
2015-08-28,1129.3935546875
2015-09-01,1088.5238037109375
2015-09-02,1078.5560302734375
2015-09-03,1103.476318359375
2015-09-04,1087.527587890625
2015-09-07,1120.4217529296875
2015-09-08,1141.3553466796875
2015-09-09,1157.3043212890625
2015-09-10,1145.342529296875
2015-09-11,1133.3809814453125
2015-09-14,1125.4061279296875
2015-09-15,1136.3712158203125
2015-09-16,1137.3681640625
2015-09-17,1127.3997802734375
2015-09-18,1119.42529296875
2015-09-21,1126.4031982421875
2015-09-22,1096.49853515625
2015-09-23,1115.43798828125
2015-09-24,1094.5048828125
2015-09-25,1121.4189453125
2015-09-28,1108.4600830078125
2015-09-29,1095.5015869140625
2015-09-30,1123.4127197265625
2015-10-01,1148.3331298828125
2015-10-02,1163.2852783203125
2015-10-05,1184.21826171875
2015-10-06,1196.1802978515625
2015-10-07,1194.186279296875
2015-10-08,1209.1387939453125
2015-10-09,1220.103759765625
2015-10-12,1202.1610107421875
2015-10-13,1189.202392578125
2015-10-14,1172.25634765625
2015-10-15,1185.215576171875
2015-10-16,1179.234130859375
2015-10-19,1184.21826171875
2015-10-20,1184.21826171875
2015-10-21,995.3216552734375
2015-10-22,946.9760131835938
2015-10-23,897.6336059570312
2015-10-26,902.1192626953125
2015-10-27,865.2371826171875
2015-10-28,884.1765747070312
2015-10-29,872.7132568359375
2015-10-30,858.7577514648438
2015-11-02,858.7577514648438
2015-11-03,859.7545776367188
2015-11-04,864.7385864257812
2015-11-05,844.8023071289062
2015-11-06,824.865966796875
2015-11-09,818.8849487304688
2015-11-10,819.8818969726562
2015-11-11,816.3930053710938
2015-11-12,771.5362548828125
2015-11-13,779.0123901367188
2015-11-16,762.5648803710938
2015-11-17,786.4884033203125
2015-11-18,809.4153442382812
2015-11-19,812.4057006835938
2015-11-20,822.3739624023438
2015-11-23,813.9009399414062
2015-11-24,805.9263916015625
2015-11-25,832.8405151367188
2015-11-26,831.843505859375
2015-11-27,826.3612060546875
2015-11-30,823.3707885742188
2015-12-01,820.8787231445312
2015-12-02,820.3803100585938
2015-12-03,798.9486083984375
2015-12-04,779.5106811523438
2015-12-07,776.0220336914062
2015-12-08,761.5682373046875
2015-12-09,741.1334228515625
2015-12-10,734.6541748046875
2015-12-11,711.7271728515625
2015-12-14,692.7877197265625
2015-12-15,704.7494506835938
2015-12-16,741.1334228515625
2015-12-17,749.1078491210938
2015-12-18,746.1173706054688
2015-12-21,746.6158447265625
2015-12-22,747.6126098632812
2015-12-23,765.0569458007812
2015-12-24,765.5552978515625
2015-12-29,743.1267700195312
2015-12-30,737.64453125
2015-12-31,733.6574096679688
2016-01-04,718.2067260742188
2016-01-05,723.6890869140625
2016-01-06,713.7208862304688
2016-01-07,696.7750854492188
2016-01-08,687.30517578125
2016-01-11,680.3275756835938
2016-01-12,691.791015625
2016-01-13,698.2700805664062
2016-01-14,717.209716796875
2016-01-15,706.244873046875
2016-01-18,689.79736328125
2016-01-19,682.3211669921875
2016-01-20,655.4070434570312
2016-01-21,769.5425415039062
2016-01-22,755.0888061523438
2016-01-25,754.0919189453125
2016-01-26,767.0505981445312
2016-01-27,769.0442504882812
2016-01-28,774.5265502929688
2016-01-29,786.4884033203125
2016-02-01,786.4884033203125
2016-02-02,770.0410766601562
2016-02-03,755.0888061523438
2016-02-04,778.0155639648438
2016-02-05,776.0220336914062
2016-02-08,765.5552978515625
2016-02-09,749.6063232421875
2016-02-10,746.6158447265625
2016-02-11,717.209716796875
2016-02-12,758.5775756835938
2016-02-15,775.5235595703125
2016-02-16,776.0220336914062
2016-02-17,802.9359130859375
2016-02-18,793.9644775390625
2016-02-19,791.472412109375
2016-02-22,816.3930053710938
2016-02-23,790.4759521484375
2016-02-24,766.0538940429688
2016-02-25,798.9486083984375
2016-02-26,833.3388671875
2016-02-29,856.265625
2016-03-01,867.7291259765625
2016-03-02,853.2752685546875
2016-03-03,854.2720947265625
2016-03-04,868.7257690429688
2016-03-07,864.240234375
2016-03-08,871.2180786132812
2016-03-09,868.7257690429688
2016-03-10,847.2942504882812
2016-03-11,869.224365234375
2016-03-14,874.7066650390625
2016-03-15,872.2146606445312
2016-03-16,884.1765747070312
2016-03-17,893.6463012695312
2016-03-18,891.6527099609375
2016-03-21,903.1161499023438
2016-03-22,910.0939331054688
2016-03-23,898.1320190429688
2016-03-24,880.1892700195312
2016-03-29,884.6749267578125
2016-03-30,902.6177368164062
2016-03-31,872.2146606445312
2016-04-01,845.7990112304688
2016-04-04,859.256103515625
2016-04-05,859.7545776367188
2016-04-06,865.2371826171875
2016-04-07,822.6962280273438
2016-04-08,831.6709594726562
2016-04-11,832.1694946289062
2016-04-12,832.6681518554688
2016-04-13,838.6514282226562
2016-04-14,833.1668701171875
2016-04-15,834.1641235351562
2016-04-18,833.1668701171875
2016-04-19,844.1362915039062
2016-04-20,842.640380859375
2016-04-21,832.1694946289062
2016-04-22,825.189208984375
2016-04-25,805.74365234375
2016-04-26,802.7521362304688
2016-04-27,802.25341796875
2016-04-28,812.2256469726562
2016-04-29,802.7521362304688
2016-05-03,790.7857055664062
2016-05-04,782.3092041015625
2016-05-05,802.7521362304688
2016-05-06,817.7100219726562
2016-05-09,807.2395629882812
2016-05-10,806.2421875
2016-05-11,805.74365234375
2016-05-12,803.7492065429688
2016-05-13,807.738037109375
2016-05-16,801.7547607421875
2016-05-17,814.7185668945312
2016-05-18,811.726806640625
2016-05-19,800.259033203125
2016-05-20,814.2199096679688
2016-05-23,809.7325439453125
2016-05-24,812.2256469726562
2016-05-25,821.2003784179688
2016-05-26,823.19482421875
2016-05-27,826.186279296875
2016-05-31,836.1586303710938
2016-06-01,845.6319580078125
2016-06-02,847.1277465820312
2016-06-03,834.1641235351562
2016-06-06,850.1194458007812
2016-06-07,852.11376953125
2016-06-08,845.6319580078125
2016-06-09,816.2142333984375
2016-06-10,794.7744140625
2016-06-13,792.2813720703125
2016-06-14,785.7994995117188
2016-06-15,811.228271484375
2016-06-16,805.2451171875
2016-06-17,820.7017822265625
2016-06-20,853.1110229492188
2016-06-21,862.0859375
2016-06-22,874.0523681640625
2016-06-23,885.520263671875
2016-06-24,911.4476318359375
2016-06-27,894.9937744140625
2016-06-28,905.9629516601562
2016-06-29,951.8345336914062
2016-06-30,964.299560546875
2016-07-01,972.2774658203125
2016-07-04,959.3135986328125
2016-07-05,971.2800903320312
2016-07-06,951.8345336914062
2016-07-07,945.3527221679688
2016-07-08,941.8623657226562
2016-07-11,961.806640625
2016-07-12,966.2941284179688
2016-07-13,965.296875
2016-07-14,950.8372802734375
2016-07-15,958.8148803710938
2016-07-18,955.32470703125
2016-07-19,963.8009643554688
2016-07-20,963.8009643554688
2016-07-21,960.3108520507812
2016-07-22,965.7953491210938
2016-07-25,971.2800903320312
2016-07-26,961.806640625
2016-07-27,969.28564453125
2016-07-28,967.2913818359375
2016-07-29,879.5370483398438
2016-08-01,880.0355834960938
2016-08-02,882.0300903320312
2016-08-03,880.5341796875
2016-08-04,891.0048828125
2016-08-05,880.0355834960938
2016-08-08,889.0104370117188
2016-08-09,886.5173950195312
2016-08-10,887.01611328125
