Date,MNG.L
2019-10-21,216.8429412841797
2019-10-22,201.5744171142578
2019-10-23,212.8641815185547
2019-10-24,225.79518127441406
2019-10-25,224.00474548339844
2019-10-28,218.83233642578125
2019-10-29,214.8535614013672
2019-10-30,211.86947631835938
2019-10-31,212.66525268554688
2019-11-01,215.8482666015625
2019-11-04,218.63340759277344
2019-11-05,213.06309509277344
2019-11-06,214.45570373535156
2019-11-07,216.8429412841797
2019-11-08,216.8429412841797
2019-11-11,219.4291534423828
2019-11-12,227.5856170654297
2019-11-13,225.59625244140625
2019-11-14,226.78988647460938
2019-11-15,224.80047607421875
2019-11-18,232.16122436523438
2019-11-19,232.16122436523438
2019-11-20,231.56442260742188
2019-11-21,229.57501220703125
2019-11-22,229.77395629882812
2019-11-25,236.53787231445312
2019-11-26,236.93572998046875
2019-11-27,236.93572998046875
2019-11-28,237.3336181640625
2019-11-29,234.74740600585938
2019-12-02,233.55380249023438
2019-12-03,229.77395629882812
2019-12-04,223.60687255859375
2019-12-05,220.42384338378906
2019-12-06,221.41851806640625
2019-12-09,220.22488403320312
2019-12-10,218.83233642578125
2019-12-11,217.83766174316406
2019-12-12,228.58033752441406
2019-12-13,242.70492553710938
2019-12-16,242.10812377929688
2019-12-17,233.95164489746094
2019-12-18,232.7580108642578
2019-12-19,235.54318237304688
2019-12-20,236.3389129638672
2019-12-23,236.3389129638672
2019-12-24,236.73683166503906
2019-12-27,236.73683166503906
2019-12-30,237.1346893310547
2019-12-31,235.94102478027344
2020-01-02,242.50601196289062
2020-01-03,246.68374633789062
2020-01-06,245.29115295410156
2020-01-07,243.500732421875
2020-01-08,244.29644775390625
2020-01-09,241.90921020507812
2020-01-10,241.90921020507812
2020-01-13,241.31240844726562
2020-01-14,239.32298278808594
2020-01-15,239.32298278808594
2020-01-16,240.71559143066406
2020-01-17,244.89328002929688
2020-01-20,247.67840576171875
2020-01-21,248.27523803710938
2020-01-22,244.49539184570312
2020-01-23,242.70492553710938
2020-01-24,244.09751892089844
2020-01-27,240.71559143066406
2020-01-28,243.30177307128906
2020-01-29,243.69964599609375
2020-01-30,241.11343383789062
2020-01-31,238.92510986328125
2020-02-03,242.10812377929688
2020-02-04,241.7102813720703
2020-02-05,240.71559143066406
2020-02-06,237.7314910888672
2020-02-07,237.93040466308594
2020-02-10,238.92510986328125
2020-02-11,242.9038848876953
2020-02-12,244.69435119628906
2020-02-13,245.8879852294922
2020-02-14,247.67840576171875
2020-02-17,245.29115295410156
2020-02-18,247.67840576171875
2020-02-19,250.06565856933594
2020-02-20,248.4741973876953
2020-02-21,243.30177307128906
2020-02-24,230.17181396484375
2020-02-25,226.59092712402344
2020-02-26,222.4132537841797
2020-02-27,209.68116760253906
2020-02-28,197.74484252929688
2020-03-02,192.5724639892578
2020-03-03,201.52468872070312
2020-03-04,201.52468872070312
2020-03-05,196.84962463378906
2020-03-06,188.49423217773438
2020-03-09,171.48497009277344
2020-03-10,169.29664611816406
2020-03-11,167.10833740234375
2020-03-12,147.81129455566406
2020-03-13,145.42405700683594
2020-03-16,108.8193588256836
2020-03-17,100.76234436035156
2020-03-18,93.15293884277344
2020-03-19,125.23178100585938
2020-03-20,110.01298522949219
2020-03-23,116.18008422851562
2020-03-24,138.2622528076172
2020-03-25,149.70120239257812
2020-03-26,139.853759765625
2020-03-27,133.88563537597656
2020-03-30,116.8763656616211
2020-03-31,112.00237274169922
2020-04-01,108.42147064208984
2020-04-02,118.1694564819336
2020-04-03,108.8193588256836
2020-04-06,117.17476654052734
2020-04-07,129.35975646972656
2020-04-08,133.2887725830078
2020-04-09,141.24632263183594
2020-04-14,145.22509765625
2020-04-15,145.22509765625
2020-04-16,127.8228530883789
2020-04-17,129.9134063720703
2020-04-20,131.70533752441406
2020-04-21,127.7730941772461
2020-04-22,127.42466735839844
2020-04-23,125.43365478515625
2020-04-24,124.43815612792969
2020-04-27,125.3341064453125
2020-04-28,129.266357421875
2020-04-29,138.6738739013672
2020-04-30,131.6555633544922
2020-05-01,128.61929321289062
2020-05-04,123.04444885253906
2020-05-05,123.44265747070312
2020-05-06,126.72782135009766
2020-05-07,131.00851440429688
2020-05-11,128.37039184570312
2020-05-12,128.1215057373047
2020-05-13,118.7139892578125
2020-05-14,112.89029693603516
2020-05-15,108.6594009399414
2020-05-18,117.22073364257812
2020-05-19,120.90410614013672
2020-05-20,117.96736145019531
2020-05-21,120.15747833251953
2020-05-22,122.99465942382812
2020-05-26,126.72782135009766
2020-05-27,139.3707275390625
2020-05-28,149.32577514648438
2020-05-29,139.3707275390625
2020-06-01,141.9092559814453
2020-06-02,142.05860900878906
2020-06-03,148.42984008789062
2020-06-04,150.07240295410156
2020-06-05,164.4076690673828
2020-06-08,170.38070678710938
2020-06-09,169.2856903076172
2020-06-10,157.04095458984375
2020-06-11,151.615478515625
2020-06-12,150.81903076171875
2020-06-15,157.98667907714844
2020-06-16,157.8871307373047
2020-06-17,158.38487243652344
2020-06-18,160.7243194580078
2020-06-19,159.7288360595703
2020-06-22,159.87814331054688
2020-06-23,166.74710083007812
2020-06-24,158.8328399658203
2020-06-25,160.4256591796875
2020-06-26,160.67453002929688
2020-06-29,164.55702209472656
2020-06-30,166.796875
2020-07-01,165.2538604736328
2020-07-02,166.89645385742188
2020-07-03,167.49374389648438
2020-07-06,169.43499755859375
2020-07-07,170.23138427734375
2020-07-08,173.2178955078125
2020-07-09,170.62957763671875
2020-07-10,172.76992797851562
2020-07-13,175.45779418945312
2020-07-14,175.8062286376953
2020-07-15,173.1183319091797
2020-07-16,174.56187438964844
2020-07-17,177.19993591308594
2020-07-20,177.94656372070312
2020-07-21,176.4532928466797
2020-07-22,172.96902465820312
2020-07-23,172.4215087890625
2020-07-24,162.1678009033203
2020-07-27,162.76510620117188
2020-07-28,162.06826782226562
2020-07-29,162.36691284179688
2020-07-30,157.68801879882812
2020-07-31,159.87814331054688
2020-08-03,159.77859497070312
2020-08-04,162.41665649414062
2020-08-05,168.78793334960938
2020-08-06,165.7018280029297
2020-08-07,169.08657836914062
2020-08-10,168.9372100830078
2020-08-11,172.8694610595703
2020-08-12,180.58468627929688
2020-08-13,181.23171997070312
2020-08-14,178.8922882080078
2020-08-17,180.83351135253906
2020-08-18,179.19093322753906
2020-08-19,179.19093322753906
2020-08-20,168.2964630126953
2020-08-21,167.30064392089844
2020-08-24,171.83168029785156
2020-08-25,170.3877410888672
2020-08-26,174.96856689453125
2020-08-27,173.8731689453125
2020-08-28,172.2798309326172
2020-09-01,164.86083984375
2020-09-02,164.3131561279297
2020-09-03,158.188720703125
2020-09-04,156.74476623535156
2020-09-07,164.71145629882812
2020-09-08,159.38372802734375
2020-09-09,156.346435546875
2020-09-10,156.0476837158203
2020-09-11,152.1141357421875
2020-09-14,150.57057189941406
2020-09-15,157.09332275390625
2020-09-16,158.63687133789062
2020-09-17,155.3505859375
2020-09-18,157.5414276123047
2020-09-21,148.32994079589844
2020-09-22,148.03118896484375
2020-09-23,151.31744384765625
2020-09-24,145.5415802001953
2020-09-25,150.71995544433594
2020-09-28,158.1389617919922
2020-09-29,156.39622497558594
2020-09-30,158.83602905273438
2020-10-01,158.73643493652344
2020-10-02,160.23019409179688
2020-10-05,163.3173065185547
2020-10-06,165.15960693359375
2020-10-07,159.78208923339844
2020-10-08,160.7779083251953
2020-10-09,168.39605712890625
2020-10-12,165.4085693359375
2020-10-13,162.2716522216797
2020-10-14,165.70729064941406
2020-10-15,163.61605834960938
2020-10-16,167.64918518066406
2020-10-19,166.10565185546875
2020-10-20,166.35459899902344
2020-10-21,164.41270446777344
2020-10-22,166.703125
2020-10-23,168.09732055664062
2020-10-26,165.5579071044922
2020-10-27,153.20956420898438
2020-10-28,146.7366180419922
2020-10-29,145.5415802001953
2020-10-30,146.03948974609375
2020-11-02,144.1972198486328
2020-11-03,151.71578979492188
2020-11-04,154.8029022216797
2020-11-05,153.3091278076172
2020-11-06,157.6410369873047
2020-11-09,175.66567993164062
2020-11-10,179.94778442382812
2020-11-11,178.25485229492188
2020-11-12,174.27151489257812
2020-11-13,182.5867462158203
2020-11-16,190.50364685058594
2020-11-17,192.34596252441406
2020-11-18,192.74427795410156
2020-11-19,192.1965789794922
2020-11-20,193.88949584960938
2020-11-23,194.33761596679688
2020-11-24,200.06365966796875
2020-11-25,195.48284912109375
2020-11-26,191.99742126464844
2020-11-27,192.64466857910156
2020-11-30,186.719482421875
2020-12-01,191.4496612548828
2020-12-02,193.19241333007812
2020-12-03,196.67784118652344
2020-12-04,194.7857666015625
2020-12-07,192.5450897216797
2020-12-08,189.45799255371094
2020-12-09,194.188232421875
2020-12-10,189.10946655273438
2020-12-11,185.77340698242188
2020-12-14,188.61154174804688
2020-12-15,189.75677490234375
2020-12-16,197.97239685058594
2020-12-17,200.1632843017578
2020-12-18,196.92681884765625
2020-12-21,191.8480224609375
2020-12-22,195.83135986328125
2020-12-23,200.1632843017578
2020-12-24,203.5491180419922
2020-12-29,201.75660705566406
2020-12-30,198.91845703125
2020-12-31,197.12594604492188
2021-01-04,196.87701416015625
2021-01-05,194.9351043701172
2021-01-06,202.55325317382812
2021-01-07,198.76910400390625
2021-01-08,197.7234649658203
2021-01-11,195.73179626464844
2021-01-12,197.12594604492188
2021-01-13,199.16741943359375
2021-01-14,198.56993103027344
2021-01-15,195.48284912109375
2021-01-18,192.39573669433594
2021-01-19,189.6571807861328
2021-01-20,192.29617309570312
2021-01-21,196.67784118652344
2021-01-22,194.188232421875
2021-01-25,189.95594787597656
2021-01-26,182.63653564453125
2021-01-27,177.35861206054688
2021-01-28,183.33360290527344
2021-01-29,175.16775512695312
2021-02-01,182.2382049560547
2021-02-02,182.03903198242188
2021-02-03,186.2215118408203
2021-02-04,186.619873046875
2021-02-05,184.9767608642578
2021-02-08,182.13861083984375
2021-02-09,184.0805206298828
2021-02-10,183.0846405029297
2021-02-11,186.719482421875
2021-02-12,186.9186248779297
2021-02-15,195.4330596923828
2021-02-16,196.4786834716797
2021-02-17,186.52029418945312
2021-02-18,184.4290313720703
2021-02-19,188.9103240966797
2021-02-22,188.51197814941406
2021-02-23,188.66136169433594
2021-02-24,189.75677490234375
2021-02-25,190.05552673339844
2021-02-26,183.13442993164062
2021-03-01,192.29617309570312
2021-03-02,193.83970642089844
2021-03-03,198.61973571777344
2021-03-04,198.76910400390625
2021-03-05,199.06781005859375
2021-03-08,204.24620056152344
2021-03-09,213.9058380126953
2021-03-10,221.9720916748047
2021-03-11,218.38705444335938
2021-03-12,224.66085815429688
2021-03-15,218.18792724609375
2021-03-16,222.27085876464844
2021-03-17,213.20875549316406
2021-03-18,204.3629608154297
2021-03-19,199.28126525878906
2021-03-22,199.5802001953125
2021-03-23,201.2740936279297
2021-03-24,202.4697723388672
2021-03-25,206.55503845214844
2021-03-26,206.85397338867188
2021-03-29,203.96435546875
2021-03-30,208.64747619628906
2021-03-31,206.6546630859375
2021-04-01,208.64747619628906
2021-04-06,213.52987670898438
2021-04-07,218.711181640625
2021-04-08,217.81442260742188
2021-04-09,217.2165985107422
2021-04-12,216.41946411132812
2021-04-13,216.2201690673828
2021-04-14,219.2093963623047
2021-04-15,218.3126220703125
2021-04-16,220.40509033203125
2021-04-19,218.2130126953125
2021-04-20,211.0388641357422
2021-04-21,210.14212036132812
2021-04-22,209.7435302734375
2021-04-23,209.9428253173828
2021-04-26,211.63670349121094
2021-04-27,210.64027404785156
2021-04-28,210.83961486816406
2021-04-29,211.13848876953125
2021-04-30,216.51910400390625
2021-05-04,212.73275756835938
2021-05-05,215.2237548828125
2021-05-06,217.81442260742188
2021-05-07,216.71836853027344
2021-05-10,220.8036346435547
2021-05-11,215.02447509765625
2021-05-12,219.2093963623047
2021-05-13,228.37632751464844
2021-05-14,235.25152587890625
2021-05-17,235.6501007080078
2021-05-18,237.54327392578125
2021-05-19,235.1519012451172
2021-05-20,238.24075317382812
2021-05-21,236.8457794189453
2021-05-24,237.6428985595703
2021-05-25,235.45082092285156
2021-05-26,233.9562225341797
2021-05-27,241.22998046875
2021-05-28,243.62135314941406
2021-06-01,247.70660400390625
2021-06-02,247.10877990722656
2021-06-03,247.3080596923828
2021-06-04,245.31524658203125
2021-06-07,247.70660400390625
2021-06-08,244.5181121826172
2021-06-09,240.83140563964844
2021-06-10,241.1303253173828
2021-06-11,244.71737670898438
2021-06-14,243.32241821289062
2021-06-15,243.62135314941406
2021-06-16,245.41490173339844
2021-06-17,244.0198974609375
2021-06-18,239.13754272460938
2021-06-21,241.1303253173828
2021-06-22,240.6321563720703
2021-06-23,239.53607177734375
2021-06-24,240.23358154296875
2021-06-25,233.4580078125
2021-06-28,229.1734619140625
2021-06-29,227.977783203125
2021-06-30,228.077392578125
2021-07-01,228.17703247070312
2021-07-02,227.0809783935547
2021-07-05,230.07020568847656
2021-07-06,229.0738067626953
2021-07-07,228.97418212890625
2021-07-08,223.09536743164062
2021-07-09,226.98135375976562
2021-07-12,227.3799285888672
2021-07-13,226.6824493408203
2021-07-14,226.6824493408203
2021-07-15,222.99575805664062
2021-07-16,221.7003936767578
2021-07-19,213.1313018798828
2021-07-20,214.82522583007812
2021-07-21,223.09536743164062
2021-07-22,224.19142150878906
2021-07-23,224.29107666015625
2021-07-26,227.57920837402344
2021-07-27,225.98495483398438
2021-07-28,224.58999633789062
2021-07-29,226.6824493408203
2021-07-30,224.58999633789062
2021-08-02,230.86737060546875
2021-08-03,232.36196899414062
2021-08-04,231.16624450683594
2021-08-05,233.05941772460938
2021-08-06,236.7461395263672
2021-08-09,237.24435424804688
2021-08-10,229.9705810546875
2021-08-11,229.1734619140625
2021-08-12,222.2982635498047
2021-08-13,225.38711547851562
2021-08-16,222.49754333496094
2021-08-17,219.40869140625
2021-08-18,220.8036346435547
2021-08-19,209.2032470703125
2021-08-20,209.3029327392578
2021-08-23,211.29629516601562
2021-08-24,208.90426635742188
2021-08-25,209.2032470703125
2021-08-26,206.9109344482422
2021-08-27,207.9075927734375
2021-08-31,205.3162384033203
2021-09-01,207.70823669433594
2021-09-02,205.01722717285156
2021-09-03,201.72817993164062
2021-09-06,202.9241943359375
2021-09-07,201.03050231933594
2021-09-08,198.3892822265625
2021-09-09,201.22982788085938
2021-09-10,201.13015747070312
2021-09-13,204.41921997070312
2021-09-14,202.82452392578125
2021-09-15,203.92086791992188
2021-09-16,204.12020874023438
2021-09-17,201.52883911132812
2021-09-20,198.73812866210938
2021-09-21,199.435791015625
2021-09-22,203.62188720703125
2021-09-23,203.52220153808594
2021-09-24,204.31954956054688
2021-09-27,206.51223754882812
2021-09-28,202.52549743652344
2021-09-29,203.12350463867188
2021-09-30,202.9241943359375
2021-10-01,200.13348388671875
2021-10-04,198.8378143310547
2021-10-05,199.2863006591797
2021-10-06,196.84442138671875
2021-10-07,198.8876495361328
2021-10-08,199.435791015625
2021-10-11,199.83448791503906
2021-10-12,198.28961181640625
2021-10-13,197.34278869628906
2021-10-14,199.53549194335938
2021-10-15,198.588623046875
2021-10-18,197.1932830810547
2021-10-19,196.64508056640625
2021-10-20,197.34278869628906
2021-10-21,198.28961181640625
2021-10-22,197.69163513183594
2021-10-25,195.99725341796875
2021-10-26,199.435791015625
2021-10-27,199.3361358642578
2021-10-28,197.9407958984375
2021-10-29,199.1367950439453
2021-11-01,203.02383422851562
2021-11-02,202.02716064453125
2021-11-03,199.3361358642578
2021-11-04,199.435791015625
2021-11-05,200.93081665039062
2021-11-08,199.53549194335938
2021-11-09,195.5487518310547
2021-11-10,196.6949462890625
2021-11-11,196.74476623535156
2021-11-12,196.096923828125
2021-11-15,198.33944702148438
2021-11-16,199.1367950439453
2021-11-17,198.8378143310547
2021-11-18,198.23977661132812
2021-11-19,192.85769653320312
2021-11-22,194.3527374267578
2021-11-23,197.04376220703125
2021-11-24,197.24310302734375
2021-11-25,198.23977661132812
2021-11-26,187.32614135742188
2021-11-29,189.71817016601562
2021-11-30,186.2796173095703
2021-12-01,189.468994140625
2021-12-02,188.87098693847656
2021-12-03,191.46238708496094
2021-12-06,196.14675903320312
2021-12-07,198.23977661132812
2021-12-08,198.8378143310547
2021-12-09,195.0005645751953
2021-12-10,193.5055389404297
2021-12-13,190.5653533935547
2021-12-14,192.4092254638672
2021-12-15,189.07032775878906
2021-12-16,192.25970458984375
2021-12-17,193.4557342529297
2021-12-20,186.8776397705078
2021-12-21,191.36268615722656
2021-12-22,194.25306701660156
2021-12-23,198.4889373779297
2021-12-24,198.23977661132812
2021-12-29,200.13348388671875
2021-12-30,200.03379821777344
2021-12-31,198.8378143310547
2022-01-04,208.30625915527344
2022-01-05,206.71157836914062
