Date,MOTHERSON.NS
2015-08-03,35.9438591003418
2015-08-04,38.474178314208984
2015-08-05,40.233062744140625
2015-08-06,38.13474655151367
2015-08-07,35.87186050415039
2015-08-10,35.21870422363281
2015-08-11,35.78443145751953
2015-08-12,34.86384582519531
2015-08-13,34.69927215576172
2015-08-14,35.3061408996582
2015-08-17,35.11585235595703
2015-08-18,35.105560302734375
2015-08-19,34.74555969238281
2015-08-20,33.706687927246094
2015-08-21,33.032962799072266
2015-08-24,30.404935836791992
2015-08-25,30.543794631958008
2015-08-26,29.839218139648438
2015-08-27,32.390106201171875
2015-08-28,32.518672943115234
2015-08-31,31.2175235748291
2015-09-01,29.839218139648438
2015-09-02,30.20436668395996
2015-09-03,31.10951805114746
2015-09-04,30.188934326171875
2015-09-07,28.47634506225586
2015-09-08,28.934057235717773
2015-09-09,29.33006477355957
2015-09-10,28.40948486328125
2015-09-11,28.682056427001953
2015-09-14,28.76434326171875
2015-09-15,29.02149200439453
2015-09-16,28.414628982543945
2015-09-18,29.2169246673584
2015-09-21,26.974611282348633
2015-09-22,24.88658332824707
2015-09-23,25.34430694580078
2015-09-24,25.81230926513672
2015-09-28,24.542011260986328
2015-09-29,24.01228904724121
2015-09-30,23.69343376159668
2015-10-01,23.24599838256836
2015-10-05,24.490581512451172
2015-10-06,24.00714874267578
2015-10-07,24.629438400268555
2015-10-08,24.511154174804688
2015-10-09,24.788869857788086
2015-10-12,26.120885848999023
2015-10-13,25.91516876220703
2015-10-14,25.190017700195312
2015-10-15,25.910024642944336
2015-10-16,25.910024642944336
2015-10-19,25.591163635253906
2015-10-20,26.372886657714844
2015-10-21,25.910024642944336
2015-10-23,24.845443725585938
2015-10-26,25.205448150634766
2015-10-27,25.087160110473633
2015-10-28,24.93286895751953
2015-10-29,25.83802604675293
2015-10-30,25.298019409179688
2015-11-02,25.205448150634766
2015-11-03,25.27744483947754
2015-11-04,24.99972915649414
2015-11-05,24.93286895751953
2015-11-06,27.380903244018555
2015-11-09,29.23235321044922
2015-11-10,27.29347038269043
2015-11-13,28.111196517944336
2015-11-16,28.198631286621094
2015-11-17,28.68720245361328
2015-11-18,29.016345977783203
2015-11-19,29.4534969329834
2015-11-20,29.211780548095703
2015-11-23,29.35578727722168
2015-11-24,30.132362365722656
2015-11-26,30.482086181640625
2015-11-27,30.0809326171875
2015-11-30,29.75693130493164
2015-12-01,30.0809326171875
2015-12-02,29.165494918823242
2015-12-03,29.093490600585938
2015-12-04,28.826061248779297
2015-12-07,28.836349487304688
2015-12-08,28.52777099609375
2015-12-09,28.55348777770996
2015-12-10,28.862058639526367
2015-12-11,27.992908477783203
2015-12-14,28.35805892944336
2015-12-15,28.718061447143555
2015-12-16,28.78491973876953
2015-12-17,29.643781661987305
2015-12-18,29.474075317382812
2015-12-21,29.422636032104492
2015-12-22,29.515213012695312
2015-12-23,30.086078643798828
2015-12-24,30.096364974975586
2015-12-28,29.823787689208984
2015-12-29,30.518081665039062
2015-12-30,30.20436668395996
2015-12-31,30.152938842773438
2016-01-01,30.548946380615234
2016-01-04,29.412351608276367
2016-01-05,29.782642364501953
2016-01-06,28.913490295410156
2016-01-07,27.530044555664062
2016-01-08,27.85919189453125
2016-01-11,27.730619430541992
2016-01-12,27.33975601196289
2016-01-13,28.003198623657227
2016-01-14,26.938610076904297
2016-01-15,25.86888313293457
2016-01-18,24.891725540161133
2016-01-19,25.622024536132812
2016-01-20,25.982027053833008
2016-01-21,25.488309860229492
2016-01-22,26.39860725402832
2016-01-25,26.640321731567383
2016-01-27,26.923181533813477
2016-01-28,26.4654598236084
2016-01-29,27.375757217407227
2016-02-01,27.668903350830078
2016-02-02,26.501461029052734
2016-02-03,25.472881317138672
2016-02-04,27.02604103088379
2016-02-05,27.668903350830078
2016-02-08,27.931194305419922
2016-02-09,24.860868453979492
2016-02-10,23.904285430908203
2016-02-11,22.72141456604004
2016-02-12,23.204851150512695
2016-02-15,24.742582321166992
2016-02-16,23.338563919067383
2016-02-17,22.91170310974121
2016-02-18,22.97856330871582
2016-02-19,23.101991653442383
2016-02-22,22.628841400146484
2016-02-23,21.857406616210938
2016-02-24,21.8214054107666
2016-02-25,21.682546615600586
2016-02-26,22.69055938720703
2016-02-29,23.297422409057617
2016-03-01,23.976289749145508
2016-03-02,25.164302825927734
2016-03-03,25.709447860717773
2016-03-04,24.6551570892334
2016-03-08,25.354591369628906
2016-03-09,24.984302520751953
2016-03-10,24.634578704833984
2016-03-11,25.22601890563965
2016-03-14,25.69402503967285
2016-03-15,25.22601890563965
2016-03-16,24.788869857788086
2016-03-17,25.31344985961914
2016-03-18,25.719738006591797
2016-03-21,26.13117218017578
2016-03-22,26.442087173461914
2016-03-23,26.81094741821289
2016-03-28,25.651668548583984
2016-03-29,25.978378295898438
2016-03-30,27.00065040588379
2016-03-31,28.080888748168945
2016-04-01,27.606632232666016
2016-04-04,27.485435485839844
2016-04-05,26.484241485595703
2016-04-06,26.141727447509766
2016-04-07,25.678014755249023
2016-04-08,25.70963478088379
2016-04-11,26.66340446472168
2016-04-12,26.44735336303711
2016-04-13,27.179807662963867
2016-04-18,27.575016021728516
2016-04-20,28.318010330200195
2016-04-21,28.781723022460938
2016-04-22,28.866029739379883
2016-04-25,27.606632232666016
2016-04-26,27.764719009399414
2016-04-27,27.717296600341797
2016-04-28,27.221965789794922
2016-04-29,26.594900131225586
2016-05-02,27.438013076782227
2016-05-03,27.290468215942383
2016-05-04,26.763521194458008
2016-05-05,26.747713088989258
2016-05-06,27.063880920410156
