Date,GEV
2024-03-27,130.99447631835938
2024-03-28,136.4837646484375
2024-04-01,141.74349975585938
2024-04-02,139.72744750976562
2024-04-03,137.07261657714844
2024-04-04,125.8145751953125
2024-04-05,122.46112060546875
2024-04-08,129.7069854736328
2024-04-09,131.9126739501953
2024-04-10,138.10060119628906
2024-04-11,136.30413818359375
2024-04-12,133.73912048339844
2024-04-15,131.49349975585938
2024-04-16,129.81678771972656
2024-04-17,134.48764038085938
2024-04-18,136.95285034179688
2024-04-19,134.83697509765625
2024-04-22,136.42388916015625
2024-04-23,147.5421905517578
2024-04-24,145.89540100097656
2024-04-25,148.02125549316406
2024-04-26,152.77198791503906
2024-04-29,158.70042419433594
2024-04-30,153.41075134277344
2024-05-01,151.3747100830078
2024-05-02,153.530517578125
2024-05-03,165.93630981445312
2024-05-06,168.81069946289062
2024-05-07,167.03416442871094
2024-05-08,163.6807098388672
2024-05-09,166.07603454589844
2024-05-10,166.94435119628906
2024-05-13,161.21551513671875
2024-05-14,165.30755615234375
2024-05-15,167.54318237304688
2024-05-16,166.07603454589844
2024-05-17,162.3033905029297
2024-05-20,160.6366424560547
2024-05-21,163.61083984375
2024-05-22,163.531005859375
2024-05-23,161.35523986816406
2024-05-24,177.0845489501953
2024-05-28,177.74327087402344
2024-05-29,176.9747772216797
2024-05-30,174.7391357421875
2024-05-31,175.55752563476562
2024-06-03,170.03829956054688
2024-06-04,162.72256469726562
2024-06-05,163.17169189453125
2024-06-06,159.99789428710938
2024-06-07,161.76446533203125
2024-06-10,166.31556701660156
2024-06-11,167.9024658203125
2024-06-12,177.17440795898438
2024-06-13,175.82701110839844
2024-06-14,169.83868408203125
2024-06-17,168.4314422607422
2024-06-18,179.22039794921875
2024-06-20,176.8350372314453
2024-06-21,175.38787841796875
2024-06-24,177.79318237304688
2024-06-25,181.09674072265625
2024-06-26,179.64956665039062
2024-06-27,175.9368133544922
2024-06-28,171.1760711669922
2024-07-01,167.19386291503906
2024-07-02,169.47938537597656
2024-07-03,172.34381103515625
2024-07-05,175.8868865966797
2024-07-08,174.030517578125
2024-07-09,172.64321899414062
2024-07-10,179.3800811767578
2024-07-11,176.35598754882812
2024-07-12,180.0986785888672
2024-07-15,177.0945587158203
2024-07-16,182.3842315673828
2024-07-17,165.5071563720703
2024-07-18,161.17559814453125
2024-07-19,163.02200317382812
2024-07-22,166.43531799316406
2024-07-23,170.1580810546875
2024-07-24,162.5828399658203
2024-07-25,159.68849182128906
2024-07-26,172.77297973632812
2024-07-29,171.7150421142578
2024-07-30,162.38323974609375
2024-07-31,177.8929901123047
2024-08-01,173.69117736816406
2024-08-02,164.40927124023438
2024-08-05,161.9241485595703
2024-08-06,164.030029296875
2024-08-07,165.74668884277344
2024-08-08,176.86500549316406
2024-08-09,178.7612762451172
2024-08-12,176.09649658203125
2024-08-13,179.30023193359375
2024-08-14,183.80148315429688
2024-08-15,188.452392578125
2024-08-16,183.70166015625
2024-08-19,185.03904724121094
2024-08-20,183.64178466796875
2024-08-21,183.90127563476562
2024-08-22,185.63787841796875
2024-08-23,182.9331512451172
2024-08-26,181.77542114257812
2024-08-27,185.18875122070312
2024-08-28,183.64178466796875
2024-08-29,190.98744201660156
2024-08-30,200.6086883544922
2024-09-03,192.1751251220703
2024-09-04,199.24134826660156
2024-09-05,198.0536651611328
2024-09-06,197.94387817382812
2024-09-09,201.41709899902344
2024-09-10,201.61669921875
2024-09-11,208.74278259277344
2024-09-12,214.85089111328125
2024-09-13,225.1508026123047
2024-09-16,229.48233032226562
2024-09-17,236.68829345703125
2024-09-18,235.211181640625
2024-09-19,243.97409057617188
2024-09-20,244.9821319580078
2024-09-23,251.04029846191406
2024-09-24,254.98260498046875
2024-09-25,254.553466796875
2024-09-26,250.7309112548828
2024-09-27,249.37353515625
2024-09-30,254.48358154296875
2024-10-01,256.0305480957031
2024-10-02,251.79881286621094
2024-10-03,254.1841583251953
2024-10-04,265.0729064941406
2024-10-07,262.0289001464844
2024-10-08,263.7554931640625
2024-10-09,266.08099365234375
2024-10-10,264.10479736328125
2024-10-11,266.37042236328125
2024-10-14,268.97528076171875
2024-10-15,265.8414001464844
2024-10-16,274.2350158691406
2024-10-17,271.470458984375
2024-10-18,272.1890563964844
2024-10-21,275.891845703125
2024-10-22,275.8818664550781
2024-10-23,279.33514404296875
2024-10-24,296.4217834472656
2024-10-25,292.968505859375
2024-10-28,288.66693115234375
2024-10-29,298.1883239746094
2024-10-30,297.0206298828125
2024-10-31,301.0727233886719
2024-11-01,300.5038146972656
2024-11-04,294.884765625
2024-11-05,315.15521240234375
2024-11-06,335.645263671875
2024-11-07,336.12432861328125
2024-11-08,340.5157470703125
2024-11-11,348.7596435546875
2024-11-12,323.07977294921875
2024-11-13,332.6112060546875
2024-11-14,325.4052429199219
2024-11-15,329.1180114746094
2024-11-18,324.73651123046875
2024-11-19,339.33807373046875
2024-11-20,342.1026916503906
2024-11-21,339.1883544921875
2024-11-22,348.4801940917969
2024-11-25,328.3395080566406
2024-11-26,338.230224609375
2024-11-27,334.6771545410156
2024-11-29,333.4695129394531
2024-12-02,336.8828430175781
2024-12-03,331.2738037109375
2024-12-04,343.0807800292969
2024-12-05,347.4522399902344
2024-12-06,345.83538818359375
2024-12-09,334.5973205566406
2024-12-10,326.75262451171875
2024-12-11,343.1306457519531
2024-12-12,329.2677001953125
2024-12-13,331.3636169433594
2024-12-16,337.0525207519531
2024-12-17,327.70074462890625
2024-12-18,316.5025939941406
2024-12-19,332.1520690917969
2024-12-20,342.2499694824219
2024-12-23,344.5072937011719
2024-12-24,346.8744201660156
2024-12-26,342.6595153808594
2024-12-27,333.40057373046875
2024-12-30,329.86480712890625
2024-12-31,328.5364074707031
2025-01-02,338.534423828125
2025-01-03,353.6063537597656
2025-01-06,370.8757019042969
2025-01-07,368.07904052734375
2025-01-08,366.04150390625
2025-01-10,366.6607360839844
2025-01-13,366.3710632324219
2025-01-14,381.8026123046875
2025-01-15,386.56689453125
2025-01-16,390.5321350097656
2025-01-17,400.9296875
2025-01-21,415.5022277832031
2025-01-22,426.58892822265625
2025-01-23,437.18621826171875
2025-01-24,419.9868469238281
2025-01-27,329.6051330566406
2025-01-28,354.695068359375
2025-01-29,352.8273010253906
2025-01-30,382.4817810058594
2025-01-31,372.433837890625
2025-02-03,361.2771911621094
2025-02-04,356.1033935546875
2025-02-05,367.4897155761719
2025-02-06,374.3814697265625
2025-02-07,377.5177307128906
2025-02-10,384.539306640625
2025-02-11,372.4537658691406
2025-02-12,369.2076721191406
2025-02-13,369.86688232421875
