Date,EDV.L
2018-01-30,2504.776611328125
2018-01-31,2504.776611328125
2018-02-01,2504.776611328125
2018-02-02,2504.776611328125
2018-02-05,2504.776611328125
2018-02-06,2504.776611328125
2018-02-07,2504.776611328125
2018-02-08,2204.403076171875
2018-02-09,2204.403076171875
2018-02-12,2204.403076171875
2018-02-13,2204.403076171875
2018-02-14,2204.403076171875
2018-02-15,2204.403076171875
2018-02-16,2204.403076171875
2018-02-19,2204.403076171875
2018-02-20,2204.403076171875
2018-02-21,2204.403076171875
2018-02-22,2204.403076171875
2018-02-23,2204.403076171875
2018-02-26,2204.403076171875
2018-02-27,2204.403076171875
2018-02-28,2204.403076171875
2018-03-01,2204.403076171875
2018-03-02,2204.403076171875
2018-03-05,2204.403076171875
2018-03-06,2204.403076171875
2018-03-07,2204.403076171875
2018-03-08,2204.403076171875
2018-03-09,2204.403076171875
2018-03-12,2204.403076171875
2018-03-13,2401.990966796875
2018-03-14,2401.990966796875
2018-03-15,2401.990966796875
2018-03-16,2401.990966796875
2018-03-19,2401.990966796875
2018-03-20,2401.990966796875
2018-03-21,2401.990966796875
2018-03-22,2401.990966796875
2018-03-23,2401.990966796875
2018-03-26,2401.990966796875
2018-03-27,2401.990966796875
2018-03-28,2401.990966796875
2018-03-29,2401.990966796875
2018-04-03,2401.990966796875
2018-04-04,2401.990966796875
2018-04-05,2401.990966796875
2018-04-06,2401.990966796875
2018-04-09,2401.990966796875
2018-04-10,2401.990966796875
2018-04-11,2401.990966796875
2018-04-12,2401.990966796875
2018-04-13,2401.990966796875
2018-04-16,2401.990966796875
2018-04-17,2401.990966796875
2018-04-18,2401.990966796875
2018-04-19,2401.990966796875
2018-04-20,2401.990966796875
2018-04-23,2401.990966796875
2018-04-24,2401.990966796875
2018-04-25,2401.990966796875
2018-04-26,2401.990966796875
2018-04-27,2401.990966796875
2018-04-30,2401.990966796875
2018-05-01,2401.990966796875
2018-05-02,2401.990966796875
2018-05-03,2401.990966796875
2018-05-04,2401.990966796875
2018-05-08,2401.990966796875
2018-05-09,2401.990966796875
2018-05-10,2401.990966796875
2018-05-11,2401.990966796875
2018-05-14,2401.990966796875
2018-05-15,2401.990966796875
2018-05-16,2401.990966796875
2018-05-17,2401.990966796875
2018-05-18,2401.990966796875
2018-05-21,2401.990966796875
2018-05-22,2401.990966796875
2018-05-23,2401.990966796875
2018-05-24,2401.990966796875
2018-05-25,2401.990966796875
2018-05-29,2401.990966796875
2018-05-30,2401.990966796875
2018-05-31,2401.990966796875
2018-06-01,2401.990966796875
2018-06-04,2401.990966796875
2018-06-05,2283.23876953125
2018-06-06,2283.23876953125
2018-06-07,2283.23876953125
2018-06-08,2283.23876953125
2018-06-11,2283.23876953125
2018-06-12,2283.23876953125
2018-06-13,2283.23876953125
2018-06-14,2283.23876953125
2018-06-15,2283.23876953125
2018-06-18,2283.23876953125
2018-06-19,2283.23876953125
2018-06-20,2283.23876953125
2018-06-21,2283.23876953125
2018-06-22,2283.23876953125
2018-06-25,2283.23876953125
2018-06-26,2283.23876953125
2018-06-27,2283.23876953125
2018-06-28,2283.23876953125
2018-06-29,2283.23876953125
2018-07-02,2283.23876953125
2018-07-03,2283.23876953125
2018-07-04,2283.23876953125
2018-07-05,2283.23876953125
2018-07-06,2283.23876953125
2018-07-09,2283.23876953125
2018-07-10,2283.23876953125
2018-07-11,2283.23876953125
2018-07-12,2283.23876953125
2018-07-13,2283.23876953125
2018-07-16,2283.23876953125
2018-07-17,2283.23876953125
2018-07-18,2283.23876953125
2018-07-19,2283.23876953125
2018-07-20,2283.23876953125
2018-07-23,2283.23876953125
2018-07-24,2283.23876953125
2018-07-25,2283.23876953125
2018-07-26,2283.23876953125
2018-07-27,2345.109375
2018-07-30,2345.109375
2018-07-31,2345.109375
2018-08-01,2345.109375
2018-08-02,2345.109375
2018-08-03,2345.109375
2018-08-06,2345.109375
2018-08-07,2345.109375
2018-08-08,2345.109375
2018-08-09,2345.109375
2018-08-10,2345.109375
2018-08-13,2345.109375
2018-08-14,2345.109375
2018-08-15,2345.109375
2018-08-16,2345.109375
2018-08-17,2345.109375
2018-08-20,2345.109375
2018-08-21,2345.109375
2018-08-22,2345.109375
2018-08-23,2345.109375
2018-08-24,2345.109375
2018-08-28,2345.109375
2018-08-29,2345.109375
2018-08-30,2345.109375
2018-08-31,2345.109375
2018-09-03,2345.109375
2018-09-04,2345.109375
2018-09-05,2345.109375
2018-09-06,2345.109375
2018-09-07,2345.109375
2018-09-10,2345.109375
2018-09-11,2345.109375
2018-09-12,1915.006591796875
2018-09-13,1915.006591796875
2018-09-14,1915.006591796875
2018-09-17,1915.006591796875
2018-09-18,1915.006591796875
2018-09-19,2068.686279296875
2018-09-20,2068.686279296875
2018-09-21,2068.686279296875
2018-09-24,2068.686279296875
2018-09-25,2068.686279296875
2018-09-26,2068.686279296875
2018-09-27,2068.686279296875
2018-09-28,2047.72998046875
2018-10-01,2047.72998046875
2018-10-02,2047.72998046875
2018-10-03,2047.72998046875
2018-10-04,2047.72998046875
2018-10-05,2047.72998046875
2018-10-08,2047.72998046875
2018-10-09,2047.72998046875
2018-10-10,2047.72998046875
2018-10-11,2047.72998046875
2018-10-12,2047.72998046875
2018-10-15,2047.72998046875
2018-10-16,2047.72998046875
2018-10-17,2047.72998046875
2018-10-18,2047.72998046875
2018-10-19,2047.72998046875
2018-10-22,2047.72998046875
2018-10-23,2047.72998046875
2018-10-24,2047.72998046875
2018-10-25,2047.72998046875
2018-10-26,2047.72998046875
2018-10-29,2047.72998046875
2018-10-30,2047.72998046875
2018-10-31,2047.72998046875
2018-11-01,2047.72998046875
2018-11-02,2047.72998046875
2018-11-05,2047.72998046875
2018-11-06,2047.72998046875
2018-11-07,2047.72998046875
2018-11-08,2047.72998046875
2018-11-09,2047.72998046875
2018-11-12,2047.72998046875
2018-11-13,2047.72998046875
2018-11-14,2047.72998046875
2018-11-15,2047.72998046875
2018-11-16,2047.72998046875
2018-11-19,2047.72998046875
2018-11-20,2047.72998046875
2018-11-21,2047.72998046875
2018-11-22,2047.72998046875
2018-11-23,2047.72998046875
2018-11-26,2047.72998046875
2018-11-27,2047.72998046875
2018-11-28,2047.72998046875
2018-11-29,2047.72998046875
2018-11-30,2047.72998046875
2018-12-03,2047.72998046875
2018-12-04,2047.72998046875
2018-12-05,2047.72998046875
2018-12-06,2047.72998046875
2018-12-07,2047.72998046875
2018-12-10,2047.72998046875
2018-12-11,2047.72998046875
2018-12-12,2047.72998046875
2018-12-13,2047.72998046875
2018-12-14,2047.72998046875
2018-12-17,2047.72998046875
2018-12-18,2047.72998046875
2018-12-19,2027.771484375
2018-12-20,2027.771484375
2018-12-21,2027.771484375
2018-12-24,2027.771484375
2018-12-27,2027.771484375
2018-12-28,2027.771484375
2018-12-31,2225.35986328125
2019-01-02,2213.384033203125
2019-01-03,2213.384033203125
2019-01-04,2213.384033203125
2019-01-07,2213.384033203125
2019-01-08,2134.548828125
2019-01-09,2134.548828125
2019-01-10,2134.548828125
2019-01-11,2134.548828125
2019-01-14,2134.548828125
2019-01-15,2134.548828125
2019-01-16,2116.58642578125
2019-01-17,2096.628173828125
2019-01-18,2096.628173828125
