Date,RECSI.OL
2015-08-24,11.989999771118164
2015-08-25,12.529999732971191
2015-08-26,12.489999771118164
2015-08-27,12.869999885559082
2015-08-28,13.020000457763672
2015-08-31,13.399999618530273
2015-09-01,13.720000267028809
2015-09-02,14.079999923706055
2015-09-03,14.949999809265137
2015-09-04,14.15999984741211
2015-09-07,13.609999656677246
2015-09-08,14.15999984741211
2015-09-09,15.699999809265137
2015-09-10,16.399999618530273
2015-09-11,15.819999694824219
2015-09-14,16.0
2015-09-15,16.899999618530273
2015-09-16,16.5
2015-09-17,16.6299991607666
2015-09-18,14.989999771118164
2015-09-21,15.59000015258789
2015-09-22,15.449999809265137
2015-09-23,14.670000076293945
2015-09-24,13.869999885559082
2015-09-25,14.390000343322754
2015-09-28,15.100000381469727
2015-09-29,13.800000190734863
2015-09-30,14.920000076293945
2015-10-01,15.739999771118164
2015-10-02,15.800000190734863
2015-10-05,16.06999969482422
2015-10-06,15.899999618530273
2015-10-07,16.31999969482422
2015-10-08,16.889999389648438
2015-10-09,16.43000030517578
2015-10-12,15.859999656677246
2015-10-13,15.130000114440918
2015-10-14,15.380000114440918
2015-10-15,15.369999885559082
2015-10-16,15.460000038146973
2015-10-19,15.0600004196167
2015-10-20,14.960000038146973
2015-10-21,15.039999961853027
2015-10-22,15.279999732971191
2015-10-23,15.199999809265137
2015-10-26,15.399999618530273
2015-10-27,14.600000381469727
2015-10-28,14.779999732971191
2015-10-29,15.020000457763672
2015-10-30,15.25
2015-11-02,14.550000190734863
2015-11-03,14.989999771118164
2015-11-04,16.280000686645508
2015-11-05,16.110000610351562
2015-11-06,16.239999771118164
2015-11-09,17.149999618530273
2015-11-10,16.770000457763672
2015-11-11,16.950000762939453
2015-11-12,16.81999969482422
2015-11-13,17.329999923706055
2015-11-16,17.649999618530273
2015-11-17,17.850000381469727
2015-11-18,18.31999969482422
2015-11-19,18.329999923706055
2015-11-20,18.139999389648438
2015-11-23,19.020000457763672
2015-11-24,18.889999389648438
2015-11-25,19.200000762939453
2015-11-26,19.649999618530273
2015-11-27,19.260000228881836
2015-11-30,20.100000381469727
2015-12-01,20.739999771118164
2015-12-02,20.420000076293945
2015-12-03,18.770000457763672
2015-12-04,18.700000762939453
2015-12-07,18.25
2015-12-08,17.15999984741211
2015-12-09,17.15999984741211
2015-12-10,16.670000076293945
2015-12-11,15.850000381469727
2015-12-14,16.520000457763672
2015-12-15,17.030000686645508
2015-12-16,18.5
2015-12-17,18.030000686645508
2015-12-18,18.010000228881836
2015-12-21,17.200000762939453
2015-12-22,17.8700008392334
2015-12-23,18.799999237060547
2015-12-28,18.690000534057617
2015-12-29,18.450000762939453
