Date,SGE.L
2015-08-24,488.5996398925781
2015-08-25,502.3686218261719
2015-08-26,493.88775634765625
2015-08-27,512.3463134765625
2015-08-28,514.341796875
2015-09-01,502.8675231933594
2015-09-02,500.37310791015625
2015-09-03,502.8675231933594
2015-09-04,497.97857666015625
2015-09-07,502.3686218261719
2015-09-08,503.36639404296875
2015-09-09,514.8405151367188
2015-09-10,507.35736083984375
2015-09-11,503.8652648925781
2015-09-14,504.8630676269531
2015-09-15,509.35284423828125
2015-09-16,512.3463134765625
2015-09-17,513.8426513671875
2015-09-18,511.84722900390625
2015-09-21,512.3463134765625
2015-09-22,496.68133544921875
2015-09-23,504.3641052246094
2015-09-24,506.85845947265625
2015-09-25,518.3326416015625
2015-09-28,512.3463134765625
2015-09-29,490.2957763671875
2015-09-30,498.27777099609375
2015-10-01,504.8630676269531
2015-10-02,503.36639404296875
2015-10-05,516.3372192382812
2015-10-06,514.341796875
2015-10-07,511.348388671875
2015-10-08,516.8358764648438
2015-10-09,518.8316650390625
2015-10-12,522.822509765625
2015-10-13,525.8157348632812
2015-10-14,518.8316650390625
2015-10-15,525.8157348632812
2015-10-16,524.3192749023438
2015-10-19,524.3192749023438
2015-10-20,528.310302734375
2015-10-21,539.7843627929688
2015-10-22,541.2809448242188
2015-10-23,538.7865600585938
2015-10-26,540.7821655273438
2015-10-27,534.7957153320312
2015-10-28,543.2764892578125
2015-10-29,544.7730712890625
2015-10-30,543.7755126953125
2015-11-02,541.2809448242188
2015-11-03,541.7798461914062
2015-11-04,543.7755126953125
2015-11-05,543.7755126953125
2015-11-06,541.7798461914062
2015-11-09,540.7821655273438
2015-11-10,532.7999877929688
2015-11-11,537.2899780273438
2015-11-12,538.7865600585938
2015-11-13,536.292236328125
2015-11-16,537.2899780273438
2015-11-17,543.7755126953125
2015-11-18,545.27197265625
2015-11-19,560.2381591796875
2015-11-20,560.2381591796875
2015-11-23,563.7304077148438
2015-11-24,557.2450561523438
2015-11-25,571.2135620117188
2015-11-26,572.7102661132812
2015-11-27,573.2089233398438
2015-11-30,585.1821899414062
2015-12-01,575.20458984375
2015-12-02,575.7034301757812
2015-12-03,580.1934814453125
2015-12-04,610.1260986328125
2015-12-07,612.6203002929688
2015-12-08,604.139404296875
2015-12-09,602.1438598632812
2015-12-10,590.6697387695312
2015-12-11,587.6766357421875
2015-12-14,578.1978759765625
2015-12-15,588.1751708984375
2015-12-16,585.6810913085938
2015-12-17,587.6766357421875
2015-12-18,588.6742553710938
2015-12-21,588.1751708984375
2015-12-22,588.1751708984375
2015-12-23,598.6519165039062
2015-12-24,594.6607666015625
2015-12-29,610.624755859375
2015-12-30,609.6270141601562
2015-12-31,602.1438598632812
2016-01-04,589.1732177734375
2016-01-05,591.6676635742188
2016-01-06,584.6831665039062
2016-01-07,572.7102661132812
2016-01-08,576.202392578125
2016-01-11,586.6785888671875
2016-01-12,588.1751708984375
2016-01-13,582.1887817382812
2016-01-14,574.2068481445312
2016-01-15,555.7484130859375
2016-01-18,553.7529296875
2016-01-19,565.7260131835938
2016-01-20,543.2764892578125
2016-01-21,548.7642211914062
2016-01-22,553.2540283203125
2016-01-25,566.7236328125
2016-01-26,566.2247314453125
2016-01-27,608.62939453125
2016-01-28,602.6429443359375
2016-01-29,619.6045532226562
2016-02-01,624.0944213867188
2016-02-02,619.6045532226562
2016-02-03,613.6182250976562
2016-02-04,606.1348266601562
2016-02-05,599.6495971679688
2016-02-08,573.2089233398438
2016-02-09,578.1978759765625
2016-02-10,575.7034301757812
2016-02-11,555.332763671875
2016-02-12,564.8129272460938
2016-02-15,565.3118286132812
2016-02-16,562.8170776367188
2016-02-17,575.2908935546875
2016-02-18,577.78564453125
2016-02-19,578.7835083007812
2016-02-22,579.2825317382812
2016-02-23,573.7940063476562
2016-02-24,566.8085327148438
2016-02-25,584.7708129882812
2016-02-26,588.762451171875
2016-02-29,595.2489013671875
2016-03-01,611.71435546875
2016-03-02,602.7332153320312
2016-03-03,594.7499389648438
2016-03-04,599.7394409179688
2016-03-07,595.7479248046875
2016-03-08,586.2677001953125
2016-03-09,585.27001953125
2016-03-10,579.2825317382812
2016-03-11,585.27001953125
2016-03-14,594.7499389648438
2016-03-15,600.2384033203125
2016-03-16,601.7352294921875
2016-03-17,602.7332153320312
2016-03-18,611.21533203125
2016-03-21,610.7163696289062
2016-03-22,618.2007446289062
2016-03-23,621.1943969726562
2016-03-24,615.20703125
2016-03-29,618.6995239257812
2016-03-30,626.1838989257812
2016-03-31,627.6807861328125
2016-04-01,630.1754760742188
2016-04-04,628.1796264648438
2016-04-05,622.1922607421875
2016-04-06,630.1754760742188
2016-04-07,624.6871337890625
2016-04-08,628.6785278320312
2016-04-11,624.1880493164062
2016-04-12,626.1838989257812
2016-04-13,629.177490234375
2016-04-14,625.18603515625
2016-04-15,621.6932373046875
2016-04-18,629.6765747070312
2016-04-19,635.1650390625
2016-04-20,626.1838989257812
2016-04-21,603.7310791015625
2016-04-22,596.246826171875
2016-04-25,599.2404174804688
2016-04-26,593.7518310546875
2016-04-27,598.2424926757812
2016-04-28,591.2571411132812
2016-04-29,590.7582397460938
2016-05-03,602.2341918945312
2016-05-04,602.7332153320312
2016-05-05,580.779296875
2016-05-06,579.7813720703125
2016-05-09,591.75634765625
2016-05-10,592.2551879882812
2016-05-11,597.7435302734375
2016-05-12,587.8116455078125
2016-05-13,592.3026733398438
2016-05-16,593.7994384765625
2016-05-17,595.7955322265625
2016-05-18,588.3106079101562
2016-05-19,581.3248291015625
2016-05-20,589.3087768554688
2016-05-23,591.3045654296875
2016-05-24,602.781494140625
2016-05-25,599.7875366210938
2016-05-26,603.2803955078125
2016-05-27,603.2803955078125
2016-05-31,611.7633666992188
2016-06-01,611.2643432617188
2016-06-02,619.2482299804688
2016-06-03,621.2442016601562
2016-06-06,624.737060546875
2016-06-07,629.227783203125
2016-06-08,631.2238159179688
2016-06-09,626.2340698242188
2016-06-10,616.2540893554688
2016-06-13,611.7633666992188
2016-06-14,603.2803955078125
2016-06-15,602.781494140625
2016-06-16,592.8015747070312
2016-06-17,589.8077392578125
2016-06-20,610.7652587890625
2016-06-21,615.25634765625
2016-06-22,622.2421264648438
2016-06-23,625.7349853515625
2016-06-24,602.2824096679688
2016-06-27,571.8439331054688
2016-06-28,610.266357421875
2016-06-29,628.7288818359375
2016-06-30,644.1976318359375
2016-07-01,623.7390747070312
2016-07-04,626.7330322265625
