Date,JUSTDIAL.NS
2015-08-21,914.7966918945312
2015-08-24,830.7037963867188
2015-08-25,783.2706909179688
2015-08-26,767.708984375
2015-08-27,816.1895751953125
2015-08-28,822.52392578125
2015-08-31,842.4747924804688
2015-09-01,848.0111694335938
2015-09-02,854.3455810546875
2015-09-03,848.0111694335938
2015-09-04,818.8330078125
2015-09-07,800.6777954101562
2015-09-08,824.020263671875
2015-09-09,811.9500122070312
2015-09-10,802.0499877929688
2015-09-11,816.6500244140625
2015-09-14,926.9000244140625
2015-09-15,913.9000244140625
2015-09-16,901.75
2015-09-18,938.0499877929688
2015-09-21,959.9500122070312
2015-09-22,968.0499877929688
2015-09-23,977.1500244140625
2015-09-24,989.5499877929688
2015-09-28,986.8499755859375
2015-09-29,962.4500122070312
2015-09-30,983.5499877929688
2015-10-01,987.2000122070312
2015-10-05,987.4000244140625
2015-10-06,990.8499755859375
2015-10-07,999.2999877929688
2015-10-08,1022.75
2015-10-09,1035.5
2015-10-12,1020.4000244140625
2015-10-13,1069.1500244140625
2015-10-14,1067.050048828125
2015-10-15,1052.5
2015-10-16,1042.050048828125
2015-10-19,1043.6500244140625
2015-10-20,1039.1500244140625
2015-10-21,1019.8499755859375
2015-10-23,1052.9000244140625
2015-10-26,996.2000122070312
2015-10-27,991.2000122070312
2015-10-28,963.4500122070312
2015-10-29,855.7999877929688
2015-10-30,802.0499877929688
2015-11-02,800.2999877929688
2015-11-03,793.2000122070312
2015-11-04,791.5
2015-11-05,775.8499755859375
2015-11-06,766.0
2015-11-09,769.1500244140625
2015-11-10,774.2000122070312
2015-11-13,789.5
2015-11-16,790.4000244140625
2015-11-17,805.1500244140625
2015-11-18,800.8499755859375
2015-11-19,804.9000244140625
2015-11-20,866.9500122070312
2015-11-23,899.8499755859375
2015-11-24,930.5999755859375
2015-11-26,962.6500244140625
2015-11-27,940.7999877929688
2015-11-30,939.0
2015-12-01,927.4000244140625
2015-12-02,914.25
2015-12-03,870.2000122070312
2015-12-04,824.4500122070312
2015-12-07,851.4500122070312
2015-12-08,869.5499877929688
2015-12-09,873.2000122070312
2015-12-10,884.9500122070312
2015-12-11,892.6500244140625
2015-12-14,895.5499877929688
2015-12-15,924.25
2015-12-16,899.7000122070312
2015-12-17,903.7999877929688
2015-12-18,874.25
2015-12-21,867.5499877929688
2015-12-22,860.9000244140625
2015-12-23,853.5499877929688
2015-12-24,866.4500122070312
2015-12-28,857.2000122070312
2015-12-29,862.5999755859375
2015-12-30,863.75
2015-12-31,842.75
2016-01-01,847.4000244140625
2016-01-04,837.8499755859375
2016-01-05,851.9500122070312
2016-01-06,845.8499755859375
2016-01-07,842.7999877929688
2016-01-08,835.1500244140625
2016-01-11,832.0499877929688
2016-01-12,826.7000122070312
2016-01-13,819.4000244140625
2016-01-14,806.4500122070312
2016-01-15,795.4500122070312
2016-01-18,800.25
2016-01-19,803.4000244140625
2016-01-20,790.3499755859375
2016-01-21,791.4000244140625
2016-01-22,796.0499877929688
2016-01-25,792.0999755859375
2016-01-27,784.9500122070312
2016-01-28,731.0999755859375
2016-01-29,608.2000122070312
2016-02-01,567.4500122070312
2016-02-02,591.0
2016-02-03,568.5
2016-02-04,580.0999755859375
2016-02-05,568.6500244140625
2016-02-08,541.4000244140625
2016-02-09,501.75
2016-02-10,516.0499877929688
2016-02-11,474.8999938964844
2016-02-12,415.3500061035156
2016-02-15,465.6499938964844
2016-02-16,443.29998779296875
2016-02-17,525.75
2016-02-18,551.7999877929688
2016-02-19,531.5
2016-02-22,556.5499877929688
2016-02-23,550.4000244140625
2016-02-24,550.3499755859375
2016-02-25,535.0499877929688
2016-02-26,550.25
2016-02-29,534.4000244140625
2016-03-01,548.5
2016-03-02,560.1500244140625
2016-03-03,662.8499755859375
2016-03-04,758.2000122070312
2016-03-08,650.0
2016-03-09,655.7999877929688
2016-03-10,678.1500244140625
2016-03-11,673.8499755859375
2016-03-14,674.6500244140625
2016-03-15,659.5999755859375
2016-03-16,648.2000122070312
2016-03-17,647.3499755859375
2016-03-18,641.8499755859375
2016-03-21,645.0999755859375
2016-03-22,703.0499877929688
2016-03-23,741.5999755859375
2016-03-28,754.2999877929688
2016-03-29,729.2000122070312
2016-03-30,748.75
2016-03-31,766.4000244140625
2016-04-01,761.9000244140625
2016-04-04,744.5499877929688
2016-04-05,732.2000122070312
2016-04-06,731.0499877929688
2016-04-07,729.2999877929688
2016-04-08,760.7000122070312
2016-04-11,817.5499877929688
2016-04-12,855.0499877929688
2016-04-13,859.9000244140625
2016-04-18,886.2000122070312
2016-04-20,886.6500244140625
2016-04-21,887.4500122070312
2016-04-22,873.2999877929688
2016-04-25,882.4500122070312
2016-04-26,860.6500244140625
2016-04-27,849.6500244140625
2016-04-28,860.8499755859375
2016-04-29,846.4500122070312
2016-05-02,851.75
2016-05-03,836.9500122070312
2016-05-04,799.5
2016-05-05,806.4500122070312
2016-05-06,788.0499877929688
2016-05-09,769.6500244140625
2016-05-10,730.5
2016-05-11,721.9500122070312
2016-05-12,719.0499877929688
2016-05-13,731.3499755859375
2016-05-16,731.5499877929688
2016-05-17,736.2999877929688
2016-05-18,738.75
2016-05-19,723.1500244140625
2016-05-20,750.7999877929688
2016-05-23,697.5499877929688
2016-05-24,640.75
2016-05-25,640.7000122070312
2016-05-26,665.7000122070312
2016-05-27,654.25
2016-05-30,643.4500122070312
2016-05-31,680.0
2016-06-01,695.5
2016-06-02,676.6500244140625
2016-06-03,669.7000122070312
2016-06-06,663.75
2016-06-07,653.8499755859375
