Date,BASF.NS
2015-08-21,1305.0091552734375
2015-08-24,1160.8238525390625
2015-08-25,1106.3017578125
2015-08-26,1112.76220703125
2015-08-27,1217.989013671875
2015-08-28,1178.345458984375
2015-08-31,1170.759521484375
2015-09-01,1123.040283203125
2015-09-02,1077.5234375
2015-09-03,1096.2196044921875
2015-09-04,1061.02978515625
2015-09-07,1032.447021484375
2015-09-08,1037.390380859375
2015-09-09,1065.3856201171875
2015-09-10,1063.4766845703125
2015-09-11,1062.595947265625
2015-09-14,1061.7149658203125
2015-09-15,1050.311279296875
2015-09-16,1059.708251953125
2015-09-18,1060.0509033203125
2015-09-21,1063.3302001953125
2015-09-22,1048.4024658203125
2015-09-23,1045.563720703125
2015-09-24,1053.4925537109375
2015-09-28,1041.2567138671875
2015-09-29,1047.1300048828125
2015-09-30,1060.6383056640625
2015-10-01,1018.3028564453125
2015-10-05,1064.162109375
2015-10-06,1084.913818359375
2015-10-07,1076.0062255859375
2015-10-08,1067.2940673828125
2015-10-09,1064.3577880859375
2015-10-12,1051.2410888671875
2015-10-13,1033.670654296875
2015-10-14,1027.3079833984375
2015-10-15,1023.58837890625
2015-10-16,1026.2802734375
2015-10-19,1021.6795043945312
2015-10-20,928.345947265625
2015-10-21,926.6329345703125
2015-10-23,933.142333984375
2015-10-26,926.7308349609375
2015-10-27,928.8353271484375
2015-10-28,919.3404541015625
2015-10-29,915.0333862304688
2015-10-30,881.5076293945312
2015-11-02,891.9324951171875
2015-11-03,891.1493530273438
2015-11-04,886.35302734375
2015-11-05,878.86474609375
2015-11-06,874.4600830078125
2015-11-09,868.8804321289062
2015-11-10,873.0405883789062
2015-11-13,874.0194702148438
2015-11-16,881.9971313476562
2015-11-17,877.2986450195312
2015-11-18,875.2431030273438
2015-11-19,870.3488159179688
2015-11-20,873.5789794921875
2015-11-23,866.2864990234375
2015-11-24,853.6591796875
2015-11-26,864.6223754882812
2015-11-27,869.9571533203125
2015-11-30,861.9794921875
2015-12-01,861.3922729492188
2015-12-02,860.4622802734375
2015-12-03,906.7131958007812
2015-12-04,889.68115234375
2015-12-07,892.17724609375
2015-12-08,872.99169921875
2015-12-09,859.140869140625
2015-12-10,875.7814331054688
2015-12-11,873.530029296875
2015-12-14,870.0550537109375
2015-12-15,869.859375
2015-12-16,869.6146850585938
2015-12-17,878.6201171875
2015-12-18,888.359619140625
2015-12-21,909.0625610351562
2015-12-22,908.0347290039062
2015-12-23,910.4818115234375
2015-12-24,927.416015625
2015-12-28,913.2716064453125
2015-12-29,898.4907836914062
2015-12-30,926.2413330078125
2015-12-31,931.1356811523438
2016-01-01,906.1258544921875
2016-01-04,911.6564331054688
2016-01-05,912.19482421875
2016-01-06,911.9990234375
2016-01-07,893.2050170898438
2016-01-08,892.0794067382812
2016-01-11,893.743408203125
2016-01-12,863.0562133789062
2016-01-13,869.02734375
2016-01-14,859.3367919921875
