Date,RICH.BA
2025-07-18,1355.0
2025-07-21,1355.0
2025-07-22,1365.0
2025-07-23,1335.0
2025-07-24,1335.0
2025-07-25,1355.0
2025-07-28,1385.0
2025-07-29,1490.0
2025-07-30,1425.0
2025-07-31,1490.0
2025-08-01,1590.0
2025-08-04,1450.0
2025-08-05,1450.0
2025-08-06,1450.0
2025-08-07,1420.0
2025-08-08,1380.0
2025-08-11,1375.0
2025-08-12,1355.0
2025-08-13,1350.0
2025-08-14,1280.0
2025-08-18,1240.0
2025-08-19,1285.0
2025-08-20,1310.0
2025-08-21,1255.0
2025-08-22,1235.0
