Date,PNDORA.CO
2015-08-24,574.4296875
2015-08-25,608.2916870117188
2015-08-26,603.803955078125
2015-08-27,620.5308837890625
2015-08-28,613.5953979492188
2015-08-31,627.0585327148438
2015-09-01,613.5953979492188
2015-09-02,615.227294921875
2015-09-03,634.81005859375
2015-09-04,624.2027587890625
2015-09-07,624.6107788085938
2015-09-08,632.3623046875
2015-09-09,638.0738525390625
2015-09-10,637.2579345703125
2015-09-11,631.5463256835938
2015-09-14,622.5708618164062
2015-09-15,625.0186767578125
2015-09-16,640.1138305664062
2015-09-17,643.7854614257812
2015-09-18,645.4174194335938
2015-09-21,648.2733154296875
2015-09-22,632.3623046875
2015-09-23,640.5218505859375
2015-09-24,624.2027587890625
2015-09-25,654.3928833007812
2015-09-28,640.5218505859375
2015-09-29,629.0984497070312
2015-09-30,635.6260986328125
2015-10-01,634.81005859375
2015-10-02,632.3623046875
2015-10-05,655.6168823242188
2015-10-06,665.0003662109375
2015-10-07,663.7763671875
2015-10-08,659.6965942382812
2015-10-09,647.04931640625
2015-10-12,659.6965942382812
2015-10-13,652.3530883789062
2015-10-14,613.5953979492188
2015-10-15,617.2671508789062
2015-10-16,619.3070068359375
2015-10-19,619.715087890625
2015-10-20,620.1229858398438
2015-10-21,622.9788208007812
2015-10-22,616.451171875
2015-10-23,635.6260986328125
2015-10-26,641.3377685546875
2015-10-27,642.1536865234375
2015-10-28,637.6659545898438
2015-10-29,642.1536865234375
2015-10-30,638.4818725585938
2015-11-02,650.3131713867188
2015-11-03,642.9696655273438
2015-11-04,643.7854614257812
2015-11-05,649.497314453125
2015-11-06,642.9696655273438
2015-11-09,648.6812744140625
2015-11-10,665.8162231445312
2015-11-11,685.3990478515625
2015-11-12,693.150634765625
2015-11-13,679.6875610351562
2015-11-16,687.031005859375
2015-11-17,683.7671508789062
2015-11-18,675.19970703125
2015-11-19,681.727294921875
2015-11-20,676.0156860351562
2015-11-23,674.7916870117188
2015-11-24,656.8408203125
2015-11-25,666.6322631835938
2015-11-26,670.7119750976562
2015-11-27,672.7518920898438
2015-11-30,682.951171875
2015-12-01,683.7671508789062
2015-12-02,697.6382446289062
2015-12-03,694.37451171875
2015-12-04,695.1905517578125
2015-12-07,697.6382446289062
2015-12-08,690.2947998046875
2015-12-09,684.1751708984375
2015-12-10,676.8316650390625
2015-12-11,655.2088623046875
2015-12-14,659.6965942382812
2015-12-15,683.3592529296875
2015-12-16,677.2395629882812
2015-12-17,696.4144287109375
2015-12-18,673.5678100585938
2015-12-21,678.0555419921875
2015-12-22,670.303955078125
2015-12-23,688.2549438476562
2015-12-28,692.7427368164062
2015-12-29,701.718017578125
2015-12-30,711.5095825195312
2016-01-04,698.454345703125
2016-01-05,696.4144287109375
2016-01-06,702.5340576171875
2016-01-07,733.9481201171875
2016-01-08,718.037109375
2016-01-11,716.4052734375
2016-01-12,721.708984375
2016-01-13,723.7488403320312
2016-01-14,693.55859375
2016-01-15,676.4236450195312
2016-01-18,699.2702026367188
2016-01-19,720.0770874023438
2016-01-20,684.1751708984375
2016-01-21,706.6138305664062
2016-01-22,718.8531494140625
2016-01-25,721.708984375
2016-01-26,727.8285522460938
2016-01-27,733.1322021484375
2016-01-28,719.2611083984375
2016-01-29,748.2273559570312
2016-02-01,771.4819946289062
2016-02-02,762.9144287109375
2016-02-03,751.8991088867188
2016-02-04,742.5156860351562
2016-02-05,711.91748046875
2016-02-08,672.3439331054688
2016-02-09,623.3868408203125
2016-02-10,652.7610473632812
2016-02-11,638.4818725585938
2016-02-12,629.0984497070312
2016-02-15,668.2640991210938
2016-02-16,666.2242431640625
2016-02-17,684.5830688476562
2016-02-18,692.334716796875
2016-02-19,683.7671508789062
2016-02-22,690.7027587890625
2016-02-23,692.7427368164062
2016-02-24,675.6076049804688
2016-02-25,702.1260986328125
2016-02-26,710.6935424804688
2016-02-29,709.0616455078125
2016-03-01,720.4849853515625
2016-03-02,719.2611083984375
2016-03-03,702.1260986328125
2016-03-04,711.5095825195312
2016-03-07,700.902099609375
2016-03-08,680.9113159179688
2016-03-09,682.13525390625
2016-03-10,669.080078125
2016-03-11,682.951171875
2016-03-14,696.822509765625
2016-03-15,692.334716796875
2016-03-16,709.877685546875
2016-03-17,687.9269409179688
2016-03-18,684.1994018554688
2016-03-21,687.5127563476562
2016-03-22,682.9569702148438
2016-03-23,703.6651611328125
2016-03-29,711.948486328125
2016-03-30,718.1609497070312
2016-03-31,710.2918701171875
2016-04-01,723.5450439453125
2016-04-04,728.5150146484375
2016-04-05,728.92919921875
2016-04-06,735.9700317382812
2016-04-07,726.030029296875
2016-04-08,719.4033813476562
2016-04-11,708.2208862304688
