Date,JUBLINGREA.NS
2021-03-19,258.75244140625
2021-03-22,271.6563720703125
2021-03-23,285.2343444824219
2021-03-24,270.9822692871094
2021-03-25,257.452392578125
2021-03-26,244.5966339111328
2021-03-30,256.7783508300781
2021-03-31,250.0856475830078
2021-04-01,262.55621337890625
2021-04-05,275.6526794433594
2021-04-06,330.783203125
2021-04-07,318.36083984375
2021-04-08,311.37921142578125
2021-04-09,321.490478515625
2021-04-12,297.5604553222656
2021-04-13,306.03466796875
2021-04-15,299.5827331542969
2021-04-16,289.90478515625
2021-04-19,302.2790832519531
2021-04-20,304.879150390625
2021-04-22,323.41644287109375
2021-04-23,318.0718688964844
2021-04-26,316.0496520996094
2021-04-27,314.0274353027344
2021-04-28,319.3719482421875
2021-04-29,362.4653015136719
2021-04-30,394.9657897949219
2021-05-03,417.54766845703125
2021-05-04,393.42498779296875
2021-05-05,402.8622131347656
2021-05-06,402.8622131347656
2021-05-07,401.2733154296875
2021-05-10,405.5585021972656
2021-05-11,422.8921203613281
2021-05-12,425.2032775878906
2021-05-14,408.6882019042969
2021-05-17,407.9178161621094
2021-05-18,406.7622375488281
2021-05-19,403.8251953125
2021-05-20,397.2287902832031
2021-05-21,420.7735900878906
2021-05-24,466.32257080078125
2021-05-25,454.1889953613281
2021-05-26,466.6595764160156
2021-05-27,459.3890686035156
2021-05-28,465.9854736328125
2021-05-31,467.3336181640625
2021-06-01,453.4667663574219
2021-06-02,483.4153747558594
2021-06-03,502.5305480957031
2021-06-04,550.6795043945312
2021-06-07,567.6279296875
2021-06-08,552.3646240234375
2021-06-09,533.24951171875
2021-06-10,559.5870361328125
2021-06-11,554.9165649414062
2021-06-14,546.4905395507812
2021-06-15,542.8311767578125
2021-06-16,530.7939453125
2021-06-17,543.4570922851562
2021-06-18,531.612548828125
2021-06-21,526.5087280273438
2021-06-22,533.5866088867188
2021-06-23,524.9679565429688
2021-06-24,519.7196655273438
2021-06-25,529.3013916015625
2021-06-28,519.912353515625
2021-06-29,511.05291748046875
2021-06-30,504.07135009765625
2021-07-01,535.8015747070312
2021-07-02,523.1382446289062
2021-07-05,531.0829467773438
2021-07-06,525.4013061523438
2021-07-07,539.6533813476562
2021-07-08,541.2422485351562
2021-07-09,542.9756469726562
2021-07-12,542.7830810546875
2021-07-13,539.0274658203125
2021-07-14,541.434814453125
2021-07-15,542.2052001953125
2021-07-16,541.7718505859375
2021-07-19,545.3349609375
2021-07-20,566.0389404296875
2021-07-22,628.632568359375
2021-07-23,606.2432861328125
2021-07-26,605.376708984375
2021-07-27,595.9395141601562
2021-07-28,577.8355102539062
2021-07-29,570.2761840820312
2021-07-30,571.3353881835938
2021-08-02,591.60595703125
2021-08-03,581.6873168945312
2021-08-04,587.5133666992188
2021-08-05,587.8988647460938
2021-08-06,590.8858032226562
2021-08-09,606.7840576171875
2021-08-10,605.6759643554688
2021-08-11,672.6414184570312
2021-08-12,663.92138671875
2021-08-13,693.1163940429688
2021-08-16,721.4443969726562
2021-08-17,704.4862670898438
2021-08-18,693.9354248046875
2021-08-20,674.4240112304688
2021-08-23,630.3424072265625
2021-08-24,657.5140991210938
2021-08-25,651.1065063476562
2021-08-26,681.9876708984375
2021-08-27,689.3104858398438
2021-08-30,734.2593383789062
2021-08-31,718.3128051757812
2021-09-01,721.6851806640625
2021-09-02,723.8532104492188
2021-09-03,723.6123657226562
2021-09-06,715.4222412109375
2021-09-07,690.4185180664062
2021-09-08,688.6360473632812
2021-09-09,677.8927001953125
2021-09-13,714.314208984375
2021-09-14,745.9180908203125
2021-09-15,744.3763427734375
2021-09-16,749.5314331054688
2021-09-17,727.4182739257812
2021-09-20,720.5770874023438
2021-09-21,744.52099609375
2021-09-22,733.3439331054688
2021-09-23,749.1458740234375
2021-09-24,735.1746826171875
2021-09-27,729.0563354492188
2021-09-28,708.8702392578125
2021-09-29,699.3312377929688
2021-09-30,728.1890869140625
2021-10-01,720.7216186523438
2021-10-04,739.3178100585938
2021-10-05,750.2057495117188
2021-10-06,739.7033081054688
2021-10-07,743.990966796875
2021-10-08,742.20849609375
2021-10-11,736.5235595703125
2021-10-12,764.4177856445312
2021-10-13,759.8411865234375
2021-10-14,764.1769409179688
2021-10-18,780.6052856445312
2021-10-19,680.1088256835938
2021-10-20,648.9866943359375
2021-10-21,650.335693359375
2021-10-22,652.7445068359375
2021-10-25,616.9011840820312
2021-10-26,643.20556640625
2021-10-27,651.9254760742188
2021-10-28,629.6197509765625
2021-10-29,644.8916625976562
2021-11-01,639.3515014648438
2021-11-02,640.122314453125
2021-11-03,608.807373046875
2021-11-04,613.0470581054688
2021-11-08,645.2771606445312
2021-11-09,637.9060668945312
2021-11-10,622.0560302734375
2021-11-11,618.9728393554688
2021-11-12,625.8138427734375
2021-11-15,618.0092163085938
2021-11-16,619.936279296875
