Date,LYB
2015-08-03,52.93578338623047
2015-08-04,53.811485290527344
2015-08-05,53.858497619628906
2015-08-06,53.00044250488281
2015-08-07,51.125614166259766
2015-08-10,53.72922897338867
2015-08-11,52.51849365234375
2015-08-12,52.5302619934082
2015-08-13,52.471500396728516
2015-08-14,51.19614791870117
2015-08-17,51.319557189941406
2015-08-18,50.649559020996094
2015-08-19,49.914920806884766
2015-08-20,49.3154411315918
2015-08-21,47.60693359375
2015-08-24,45.827232360839844
2015-08-25,46.10606002807617
2015-08-26,47.99253463745117
2015-08-27,50.57904052734375
2015-08-28,50.67987823486328
2015-08-31,50.65022277832031
2015-09-01,48.378143310546875
2015-09-02,49.09595489501953
2015-09-03,49.054439544677734
2015-09-04,47.60693359375
2015-09-08,49.339176177978516
2015-09-09,49.30950164794922
2015-09-10,49.89681625366211
2015-09-11,49.69510269165039
2015-09-14,48.87646484375
2015-09-15,49.701045989990234
2015-09-16,51.78923034667969
2015-09-17,51.13666534423828
2015-09-18,50.83412551879883
2015-09-21,51.46889114379883
2015-09-22,50.38327407836914
2015-09-23,49.356971740722656
2015-09-24,49.74256134033203
2015-09-25,50.13411331176758
2015-09-28,47.81455993652344
2015-09-29,48.028141021728516
2015-09-30,49.45188522338867
2015-10-01,51.00616455078125
2015-10-02,52.45958709716797
2015-10-05,53.717227935791016
2015-10-06,55.54440689086914
2015-10-07,56.707115173339844
2015-10-08,57.84019470214844
2015-10-09,56.62407684326172
2015-10-12,54.98081588745117
2015-10-13,54.7435302734375
2015-10-14,55.85285949707031
2015-10-15,55.40793991088867
2015-10-16,55.85882568359375
2015-10-19,55.38421630859375
2015-10-20,55.372344970703125
2015-10-21,54.132503509521484
2015-10-22,56.06644821166992
2015-10-23,55.85882568359375
2015-10-26,54.820648193359375
2015-10-27,53.64604949951172
2015-10-28,54.66642761230469
2015-10-29,54.57741928100586
2015-10-30,55.117252349853516
2015-11-02,55.53846740722656
2015-11-03,56.54100799560547
2015-11-04,56.606285095214844
2015-11-05,56.35121154785156
2015-11-06,57.057125091552734
2015-11-09,56.05458068847656
2015-11-10,55.44947052001953
2015-11-11,54.89181900024414
