Date,VBL.NS
2016-11-08,26.483917236328125
2016-11-09,25.03436279296875
2016-11-10,25.149633407592773
2016-11-11,25.397470474243164
2016-11-15,25.2504940032959
2016-11-16,25.112171173095703
2016-11-17,25.371530532836914
2016-11-18,25.388824462890625
2016-11-21,25.35424041748047
2016-11-22,25.406112670898438
2016-11-23,25.544445037841797
2016-11-24,25.267791748046875
2016-11-25,25.155397415161133
2016-11-28,24.662607192993164
2016-11-29,25.077590942382812
2016-11-30,25.322546005249023
2016-12-01,24.959436416625977
2016-12-02,24.904680252075195
2016-12-05,24.927732467651367
2016-12-06,24.380191802978516
2016-12-07,23.668380737304688
2016-12-08,24.365781784057617
2016-12-09,23.93062400817871
2016-12-12,24.253387451171875
2016-12-13,24.068952560424805
2016-12-14,24.008434295654297
2016-12-15,24.213043212890625
2016-12-16,23.80094337463379
2016-12-19,23.68855094909668
2016-12-20,23.40325164794922
2016-12-21,22.919103622436523
2016-12-22,22.135250091552734
2016-12-23,21.43785285949707
2016-12-26,20.717395782470703
2016-12-27,21.045923233032227
2016-12-28,21.16983985900879
2016-12-29,21.567537307739258
2016-12-30,21.933523178100586
2017-01-02,23.011323928833008
2017-01-03,23.65973472595215
2017-01-04,23.93062400817871
2017-01-05,24.080480575561523
2017-01-06,23.798057556152344
2017-01-09,24.063186645507812
2017-01-10,24.054546356201172
2017-01-11,23.821117401123047
2017-01-12,23.884519577026367
2017-01-13,24.057422637939453
2017-01-16,23.86722183227539
2017-01-17,23.74042510986328
2017-01-18,23.541582107543945
2017-01-19,23.685670852661133
2017-01-20,23.319679260253906
2017-01-23,22.864355087280273
2017-01-24,23.32832908630371
2017-01-25,23.334091186523438
2017-01-27,22.982505798339844
2017-01-30,23.0689640045166
2017-01-31,22.916223526000977
2017-02-01,22.968097686767578
2017-02-02,22.87588119506836
2017-02-03,22.700088500976562
2017-02-06,23.247631072998047
2017-02-07,23.31679916381836
2017-02-08,23.282217025756836
2017-02-09,23.270689010620117
2017-02-10,23.187116622924805
2017-02-13,23.282217025756836
2017-02-14,23.10930824279785
2017-02-15,23.25051498413086
2017-02-16,23.126598358154297
2017-02-17,23.221698760986328
2017-02-20,23.30527114868164
2017-02-21,23.063199996948242
2017-02-22,22.385971069335938
2017-02-23,22.527177810668945
2017-02-27,22.77790069580078
2017-02-28,22.495479583740234
2017-03-01,22.22170639038086
2017-03-02,21.69721794128418
2017-03-03,21.48684310913086
2017-03-06,21.4810791015625
2017-03-07,21.61652374267578
2017-03-08,21.10068130493164
2017-03-09,20.550251007080078
2017-03-10,20.622299194335938
2017-03-14,20.074748992919922
2017-03-15,20.143918991088867
2017-03-16,20.181379318237305
2017-03-17,20.515666961669922
2017-03-20,21.579057693481445
2017-03-21,21.47531509399414
2017-03-22,21.527189254760742
2017-03-23,21.743322372436523
2017-03-24,21.783668518066406
2017-03-27,22.17559814453125
2017-03-28,21.98539924621582
2017-03-29,21.838424682617188
2017-03-30,22.132368087768555
2017-03-31,23.339855194091797
2017-04-03,23.32256507873535
2017-04-05,23.668380737304688
2017-04-06,24.26203727722168
2017-04-07,24.524276733398438
2017-04-10,24.968076705932617
2017-04-11,25.080469131469727
2017-04-12,25.99112319946289
2017-04-13,27.590538024902344
2017-04-17,27.535778045654297
2017-04-18,27.947877883911133
2017-04-19,28.210128784179688
2017-04-20,27.68275260925293
2017-04-21,26.872961044311523
2017-04-24,26.924833297729492
2017-04-25,26.636653900146484
2017-04-26,26.97958755493164
2017-04-27,27.2504825592041
2017-04-28,27.109275817871094
2017-05-02,27.103506088256836
2017-05-03,27.821083068847656
2017-05-04,27.175554275512695
2017-05-05,27.927703857421875
2017-05-08,28.365747451782227
2017-05-09,28.67409896850586
2017-05-10,28.766321182250977
2017-05-11,28.362865447998047
2017-05-12,28.11214256286621
2017-05-15,28.051624298095703
2017-05-16,28.397445678710938
2017-05-17,28.875825881958008
2017-05-18,28.27928924560547
2017-05-19,28.65968894958496
2017-05-22,28.331161499023438
2017-05-23,27.7720890045166
2017-05-24,27.042987823486328
2017-05-25,27.826847076416016
2017-05-26,28.074678421020508
2017-05-29,27.72021484375
2017-05-30,28.201478958129883
2017-05-31,28.71156120300293
2017-06-01,28.795133590698242
2017-06-02,29.43201446533203
2017-06-05,30.478118896484375
2017-06-06,30.527109146118164
2017-06-07,29.87582015991211
2017-06-08,29.54440689086914
2017-06-09,29.616453170776367
2017-06-12,30.919038772583008
2017-06-13,31.403181076049805
2017-06-14,31.112117767333984
2017-06-15,31.45793342590332
2017-06-16,31.63084602355957
2017-06-19,31.42912483215332
2017-06-20,30.919038772583008
2017-06-21,30.06025505065918
2017-06-22,30.06025505065918
2017-06-23,29.645273208618164
2017-06-27,29.138072967529297
2017-06-28,29.553056716918945
2017-06-29,29.933456420898438
2017-06-30,30.826814651489258
2017-07-03,30.025672912597656
2017-07-04,30.161117553710938
2017-07-05,30.03432273864746
2017-07-06,30.339792251586914
2017-07-07,30.656789779663086
2017-07-10,30.080425262451172
2017-07-11,30.227397918701172
2017-07-12,31.201457977294922
2017-07-13,30.550161361694336
2017-07-14,30.132295608520508
2017-07-17,29.651037216186523
2017-07-18,29.3887882232666
2017-07-19,29.506942749023438
2017-07-20,29.429134368896484
2017-07-21,29.094844818115234
2017-07-24,28.91329002380371
2017-07-25,29.109251022338867
2017-07-26,29.656803131103516
2017-07-27,29.028562545776367
2017-07-28,29.501178741455078
2017-07-31,28.714445114135742
2017-08-01,28.83548355102539
2017-08-02,28.81242561340332
2017-08-03,28.702917098999023
2017-08-04,28.9622859954834
