Date,MAERSK-B.CO
2015-08-24,5514.24560546875
2015-08-25,5669.78857421875
2015-08-26,5579.47412109375
2015-08-27,5669.78857421875
2015-08-28,5694.87646484375
2015-08-31,5684.84228515625
2015-09-01,5574.45654296875
2015-09-02,5609.578125
2015-09-03,5674.80517578125
2015-09-04,5559.40283203125
2015-09-07,5504.21044921875
2015-09-08,5469.087890625
2015-09-09,5644.70068359375
2015-09-10,5549.36767578125
2015-09-11,5479.123046875
2015-09-14,5423.93115234375
2015-09-15,5348.66796875
2015-09-16,5383.79052734375
2015-09-17,5393.82470703125
2015-09-18,5313.54541015625
2015-09-21,5348.66796875
2015-09-22,5258.353515625
2015-09-23,5218.21240234375
2015-09-24,5032.56494140625
2015-09-25,5062.669921875
2015-09-28,4992.42431640625
2015-09-29,5042.599609375
2015-09-30,5152.98583984375
2015-10-01,5173.05517578125
2015-10-02,5142.94970703125
2015-10-05,5223.2294921875
2015-10-06,5243.30029296875
2015-10-07,5514.24560546875
2015-10-08,5544.3515625
2015-10-09,5709.92919921875
2015-10-12,5589.5087890625
2015-10-13,5539.33349609375
2015-10-14,5469.087890625
2015-10-15,5368.73828125
2015-10-16,5343.650390625
2015-10-19,5353.685546875
2015-10-20,5313.54541015625
2015-10-21,5223.2294921875
2015-10-22,5253.33447265625
2015-10-23,4979.8798828125
2015-10-26,5047.6171875
2015-10-27,4934.72314453125
2015-10-28,5012.494140625
2015-10-29,4982.3896484375
2015-10-30,5017.51171875
2015-11-02,5004.96875
2015-11-03,5077.7216796875
2015-11-04,5238.28271484375
2015-11-05,5147.9677734375
2015-11-06,5273.4052734375
2015-11-09,5198.142578125
2015-11-10,5062.669921875
2015-11-11,5102.81005859375
2015-11-12,4992.42431640625
2015-11-13,4952.28515625
2015-11-16,4952.28515625
2015-11-17,5052.634765625
2015-11-18,5042.599609375
2015-11-19,5092.7744140625
2015-11-20,5017.51171875
2015-11-23,5017.51171875
2015-11-24,5092.7744140625
2015-11-25,5142.94970703125
2015-11-26,5243.30029296875
2015-11-27,5223.2294921875
2015-11-30,5408.87841796875
2015-12-01,5403.8603515625
2015-12-02,5403.8603515625
2015-12-03,5117.86279296875
2015-12-04,5032.56494140625
2015-12-07,4987.4072265625
2015-12-08,4987.4072265625
2015-12-09,4831.86474609375
2015-12-10,4766.63623046875
2015-12-11,4613.60205078125
2015-12-14,4613.60205078125
2015-12-15,4623.6376953125
2015-12-16,4520.77880859375
2015-12-17,4548.37451171875
2015-12-18,4548.37451171875
2015-12-21,4417.919921875
2015-12-22,4425.4453125
2015-12-23,4425.4453125
2015-12-28,4493.18212890625
2015-12-29,4490.67333984375
