Date,TIINDIA.NS
2017-11-02,258.519775390625
2017-11-03,245.8439178466797
2017-11-06,236.08201599121094
2017-11-07,242.92991638183594
2017-11-08,255.0230255126953
2017-11-09,267.7474060058594
2017-11-10,281.10321044921875
2017-11-13,283.4830322265625
2017-11-14,281.5888977050781
2017-11-15,285.0857238769531
2017-11-16,282.17169189453125
2017-11-17,271.4385070800781
2017-11-20,267.3589172363281
2017-11-21,261.3851623535156
2017-11-22,257.2085266113281
2017-11-23,258.0827331542969
2017-11-24,261.8708801269531
2017-11-27,262.06512451171875
2017-11-28,257.35418701171875
2017-11-29,253.3717498779297
2017-11-30,251.47756958007812
2017-12-01,248.41790771484375
2017-12-04,251.47756958007812
2017-12-05,249.7292938232422
2017-12-06,245.30967712402344
2017-12-07,244.58116149902344
2017-12-08,251.76904296875
2017-12-11,262.6479187011719
2017-12-12,250.50625610351562
2017-12-13,252.351806640625
2017-12-14,252.4975128173828
2017-12-15,255.55723571777344
2017-12-18,257.5484313964844
2017-12-19,257.0141906738281
2017-12-20,256.38287353515625
2017-12-21,256.9169921875
2017-12-22,262.30792236328125
2017-12-26,265.6105041503906
2017-12-27,263.0364990234375
2017-12-28,263.57073974609375
2017-12-29,261.8222351074219
2018-01-01,262.06512451171875
2018-01-02,260.46246337890625
2018-01-03,265.99908447265625
2018-01-04,272.5554504394531
2018-01-05,286.0085144042969
2018-01-08,286.2512512207031
2018-01-09,287.1255187988281
2018-01-10,285.66845703125
2018-01-11,279.1605529785156
2018-01-12,279.1119689941406
2018-01-15,285.717041015625
2018-01-16,271.3412780761719
2018-01-17,275.27520751953125
2018-01-18,260.65667724609375
2018-01-19,264.8334045410156
2018-01-22,269.398681640625
2018-01-23,265.85333251953125
2018-01-24,253.27455139160156
2018-01-25,260.46246337890625
2018-01-29,256.5285339355469
2018-01-30,259.5882263183594
2018-01-31,259.5882263183594
2018-02-01,258.1312561035156
2018-02-02,255.89720153808594
2018-02-05,252.351806640625
2018-02-06,254.5858917236328
2018-02-07,257.257080078125
2018-02-08,254.3916015625
2018-02-09,262.4537048339844
2018-02-12,272.0212707519531
2018-02-14,278.3835144042969
2018-02-15,265.2705078125
2018-02-16,262.7936096191406
2018-02-19,260.12237548828125
2018-02-20,266.1932678222656
2018-02-21,263.4736022949219
2018-02-22,260.0581359863281
2018-02-23,256.935546875
2018-02-26,253.7152862548828
2018-02-27,253.7640380859375
2018-02-28,254.9838409423828
2018-03-01,256.6914978027344
2018-03-05,259.6189880371094
2018-03-06,255.3253936767578
2018-03-07,253.9104766845703
2018-03-08,257.8625183105469
2018-03-09,254.39834594726562
2018-03-12,254.6910858154297
2018-03-13,254.25192260742188
2018-03-14,252.25155639648438
2018-03-15,249.76318359375
2018-03-16,242.24928283691406
2018-03-19,242.7372283935547
2018-03-20,245.12799072265625
2018-03-21,239.029052734375
2018-03-22,235.61367797851562
2018-03-23,228.58770751953125
2018-03-26,225.8065948486328
2018-03-27,219.7564697265625
2018-03-28,217.02413940429688
2018-04-02,247.90908813476562
2018-04-03,242.78602600097656
2018-04-04,232.10069274902344
2018-04-05,237.3213653564453
2018-04-06,233.8083953857422
2018-04-09,235.76004028320312
2018-04-10,234.29629516601562
2018-04-11,227.07518005371094
2018-04-12,226.48968505859375
2018-04-13,227.12396240234375
2018-04-16,228.58770751953125
2018-04-17,225.6114501953125
2018-04-18,225.3186798095703
2018-04-19,225.51385498046875
2018-04-20,228.78286743164062
2018-04-23,234.19874572753906
2018-04-24,236.1015625
2018-04-25,232.6862030029297
2018-04-26,228.88046264648438
2018-04-27,231.51519775390625
2018-04-30,229.0756072998047
2018-05-02,227.95343017578125
2018-05-03,224.781982421875
2018-05-04,224.09889221191406
2018-05-07,224.781982421875
2018-05-08,219.41494750976562
2018-05-09,217.0729217529297
2018-05-10,222.6839599609375
2018-05-11,222.9279022216797
2018-05-14,222.39117431640625
2018-05-15,220.29319763183594
2018-05-16,218.04873657226562
2018-05-17,223.9037322998047
2018-05-18,219.70765686035156
2018-05-21,217.3656768798828
2018-05-22,216.389892578125
2018-05-23,210.09576416015625
2018-05-24,207.0218963623047
2018-05-25,216.389892578125
2018-05-28,223.12307739257812
2018-05-29,220.39077758789062
2018-05-30,212.53533935546875
2018-05-31,211.70587158203125
2018-06-01,214.97491455078125
2018-06-04,215.5115966796875
2018-06-05,211.1204376220703
2018-06-06,215.1700897216797
2018-06-07,213.65753173828125
2018-06-08,217.65843200683594
2018-06-11,223.95254516601562
2018-06-12,227.36790466308594
2018-06-13,231.07608032226562
2018-06-14,228.392578125
2018-06-15,231.61280822753906
2018-06-18,229.4171600341797
2018-06-19,233.3692626953125
2018-06-20,227.6606903076172
2018-06-21,220.97625732421875
2018-06-22,217.80479431152344
2018-06-25,216.87777709960938
2018-06-26,227.22157287597656
2018-06-27,224.9283447265625
2018-06-28,221.26898193359375
2018-06-29,225.6114501953125
2018-07-02,226.34329223632812
2018-07-03,226.83119201660156
2018-07-04,227.2703399658203
2018-07-05,228.14859008789062
2018-07-06,238.39479064941406
2018-07-09,242.44444274902344
2018-07-10,233.41807556152344
2018-07-11,239.077880859375
2018-07-12,238.8826904296875
2018-07-13,230.44174194335938
2018-07-16,230.636962890625
2018-07-17,228.392578125
2018-07-18,223.9037322998047
2018-07-19,221.26898193359375
2018-07-20,218.3903045654297
2018-07-23,225.17230224609375
2018-07-24,242.88356018066406
2018-07-25,242.298095703125
2018-07-26,239.12661743164062
2018-07-27,239.51699829101562
2018-07-30,242.59713745117188
2018-07-31,240.44589233398438
2018-08-01,236.73019409179688
2018-08-02,236.58351135253906
